ZAT,codigo_upz,nombre_upz,codigo_localidad,nombre_localidad,accesibilidad_arterial
256.0,97,CHICO LAGO,02,CHAPINERO,5.0
242.0,97,CHICO LAGO,02,CHAPINERO,5.0
488.0,96,LOURDES,03,SANTA FE,1.0
473.0,96,LOURDES,03,SANTA FE,3.0
460.0,94,LA CANDELARIA,17,CANDELARIA,3.0
474.0,94,LA CANDELARIA,17,CANDELARIA,4.0
459.0,94,LA CANDELARIA,17,CANDELARIA,2.0
457.0,94,LA CANDELARIA,17,CANDELARIA,3.0
664.0,70,JERUSALEM,19,CIUDAD BOLIVAR,3.0
165.0,97,CHICO LAGO,02,CHAPINERO,7.0
164.0,97,CHICO LAGO,02,CHAPINERO,5.0
168.0,98,LOS ALCAZARES,12,BARRIOS UNIDOS,14.0
241.0,97,CHICO LAGO,02,CHAPINERO,4.0
224.0,98,LOS ALCAZARES,12,BARRIOS UNIDOS,6.0
246.0,97,CHICO LAGO,02,CHAPINERO,1.0
472.0,96,LOURDES,03,SANTA FE,3.0
491.0,96,LOURDES,03,SANTA FE,1.0
471.0,32,SAN BLAS,04,SAN CRISTOBAL,3.0
461.0,95,LAS CRUCES,03,SANTA FE,3.0
489.0,96,LOURDES,03,SANTA FE,0.0
490.0,96,LOURDES,03,SANTA FE,0.0
492.0,32,SAN BLAS,04,SAN CRISTOBAL,6.0
452.0,95,LAS CRUCES,03,SANTA FE,8.0
493.0,32,SAN BLAS,04,SAN CRISTOBAL,0.0
602.0,32,SAN BLAS,04,SAN CRISTOBAL,6.0
453.0,93,LAS NIEVES,03,SANTA FE,5.0
604.0,32,SAN BLAS,04,SAN CRISTOBAL,0.0
443.0,102,LA SABANA,14,LOS MARTIRES,6.0
454.0,93,LAS NIEVES,03,SANTA FE,15.0
465.0,33,SOSIEGO,04,SAN CRISTOBAL,1.0
470.0,33,SOSIEGO,04,SAN CRISTOBAL,5.0
469.0,33,SOSIEGO,04,SAN CRISTOBAL,0.0
462.0,95,LAS CRUCES,03,SANTA FE,4.0
494.0,33,SOSIEGO,04,SAN CRISTOBAL,2.0
621.0,69,ISMAEL PERDOMO,19,CIUDAD BOLIVAR,4.0
963.0,70,JERUSALEM,19,CIUDAD BOLIVAR,3.0
662.0,66,SAN FRANCISCO,19,CIUDAD BOLIVAR,5.0
661.0,66,SAN FRANCISCO,19,CIUDAD BOLIVAR,4.0
663.0,66,SAN FRANCISCO,19,CIUDAD BOLIVAR,1.0
670.0,66,SAN FRANCISCO,19,CIUDAD BOLIVAR,1.0
672.0,66,SAN FRANCISCO,19,CIUDAD BOLIVAR,1.0
712.0,67,LUCERO,19,CIUDAD BOLIVAR,2.0
622.0,69,ISMAEL PERDOMO,19,CIUDAD BOLIVAR,1.0
442.0,102,LA SABANA,14,LOS MARTIRES,5.0
355.0,93,LAS NIEVES,03,SANTA FE,12.0
455.0,93,LAS NIEVES,03,SANTA FE,5.0
463.0,33,SOSIEGO,04,SAN CRISTOBAL,3.0
464.0,33,SOSIEGO,04,SAN CRISTOBAL,1.0
466.0,33,SOSIEGO,04,SAN CRISTOBAL,4.0
451.0,35,CIUDAD JARDIN,15,ANTONIO NARIÑO,5.0
468.0,33,SOSIEGO,04,SAN CRISTOBAL,1.0
446.0,37,SANTA ISABEL,14,LOS MARTIRES,7.0
969.0,33,SOSIEGO,04,SAN CRISTOBAL,4.0
445.0,37,SANTA ISABEL,14,LOS MARTIRES,9.0
444.0,102,LA SABANA,14,LOS MARTIRES,9.0
449.0,35,CIUDAD JARDIN,15,ANTONIO NARIÑO,5.0
448.0,35,CIUDAD JARDIN,15,ANTONIO NARIÑO,5.0
500.0,35,CIUDAD JARDIN,15,ANTONIO NARIÑO,5.0
499.0,33,SOSIEGO,04,SAN CRISTOBAL,3.0
467.0,33,SOSIEGO,04,SAN CRISTOBAL,1.0
498.0,33,SOSIEGO,04,SAN CRISTOBAL,0.0
497.0,33,SOSIEGO,04,SAN CRISTOBAL,1.0
968.0,33,SOSIEGO,04,SAN CRISTOBAL,2.0
620.0,65,ARBORIZADORA,19,CIUDAD BOLIVAR,3.0
572.0,65,ARBORIZADORA,19,CIUDAD BOLIVAR,3.0
627.0,65,ARBORIZADORA,19,CIUDAD BOLIVAR,3.0
628.0,65,ARBORIZADORA,19,CIUDAD BOLIVAR,5.0
629.0,65,ARBORIZADORA,19,CIUDAD BOLIVAR,4.0
630.0,42,VENECIA,06,TUNJUELITO,6.0
659.0,62,TUNJUELITO,06,TUNJUELITO,3.0
660.0,66,SAN FRANCISCO,19,CIUDAD BOLIVAR,8.0
573.0,42,VENECIA,06,TUNJUELITO,2.0
450.0,35,CIUDAD JARDIN,15,ANTONIO NARIÑO,2.0
447.0,38,RESTREPO,15,ANTONIO NARIÑO,9.0
438.0,37,SANTA ISABEL,14,LOS MARTIRES,4.0
434.0,37,SANTA ISABEL,14,LOS MARTIRES,7.0
439.0,37,SANTA ISABEL,14,LOS MARTIRES,5.0
432.0,40,CIUDAD MONTES,16,PUENTE ARANDA,8.0
433.0,102,LA SABANA,14,LOS MARTIRES,11.0
440.0,102,LA SABANA,14,LOS MARTIRES,2.0
501.0,38,RESTREPO,15,ANTONIO NARIÑO,8.0
619.0,42,VENECIA,06,TUNJUELITO,3.0
618.0,42,VENECIA,06,TUNJUELITO,4.0
631.0,42,VENECIA,06,TUNJUELITO,6.0
632.0,42,VENECIA,06,TUNJUELITO,8.0
987.0,42,VENECIA,06,TUNJUELITO,5.0
