ZAT,codigo_upz,nombre_upz,codigo_localidad,nombre_localidad
709.0,67,LUCERO,19,CIUDAD BOLIVAR
710.0,67,LUCERO,19,CIUDAD BOLIVAR
711.0,67,LUCERO,19,CIUDAD BOLIVAR
502.0,38,RESTREPO,15,ANTONIO NARIÑO
437.0,38,RESTREPO,15,ANTONIO NARIÑO
436.0,37,SANTA ISABEL,14,LOS MARTIRES
431.0,40,CIUDAD MONTES,16,PUENTE ARANDA
435.0,37,SANTA ISABEL,14,LOS MARTIRES
430.0,40,CIUDAD MONTES,16,PUENTE ARANDA
587.0,39,QUIROGA,18,RAFAEL URIBE URIBE
588.0,39,QUIROGA,18,RAFAEL URIBE URIBE
586.0,39,QUIROGA,18,RAFAEL URIBE URIBE
975.0,36,SAN JOSE,18,RAFAEL URIBE URIBE
637.0,53,MARCO FIDEL SUAREZ,18,RAFAEL URIBE URIBE
609.0,36,SAN JOSE,18,RAFAEL URIBE URIBE
638.0,53,MARCO FIDEL SUAREZ,18,RAFAEL URIBE URIBE
655.0,54,MARRUECOS,18,RAFAEL URIBE URIBE
977.0,53,MARCO FIDEL SUAREZ,18,RAFAEL URIBE URIBE
973.0,54,MARRUECOS,18,RAFAEL URIBE URIBE
636.0,53,MARCO FIDEL SUAREZ,18,RAFAEL URIBE URIBE
654.0,54,MARRUECOS,18,RAFAEL URIBE URIBE
679.0,54,MARRUECOS,18,RAFAEL URIBE URIBE
678.0,62,TUNJUELITO,06,TUNJUELITO
680.0,54,MARRUECOS,18,RAFAEL URIBE URIBE
614.0,39,QUIROGA,18,RAFAEL URIBE URIBE
613.0,39,QUIROGA,18,RAFAEL URIBE URIBE
612.0,39,QUIROGA,18,RAFAEL URIBE URIBE
611.0,53,MARCO FIDEL SUAREZ,18,RAFAEL URIBE URIBE
585.0,39,QUIROGA,18,RAFAEL URIBE URIBE
982.0,39,QUIROGA,18,RAFAEL URIBE URIBE
591.0,36,SAN JOSE,18,RAFAEL URIBE URIBE
590.0,36,SAN JOSE,18,RAFAEL URIBE URIBE
592.0,36,SAN JOSE,18,RAFAEL URIBE URIBE
615.0,39,QUIROGA,18,RAFAEL URIBE URIBE
616.0,42,VENECIA,06,TUNJUELITO
576.0,42,VENECIA,06,TUNJUELITO
617.0,42,VENECIA,06,TUNJUELITO
574.0,42,VENECIA,06,TUNJUELITO
584.0,39,QUIROGA,18,RAFAEL URIBE URIBE
581.0,38,RESTREPO,15,ANTONIO NARIÑO
582.0,38,RESTREPO,15,ANTONIO NARIÑO
504.0,38,RESTREPO,15,ANTONIO NARIÑO
593.0,34,20 DE JULIO,04,SAN CRISTOBAL
505.0,38,RESTREPO,15,ANTONIO NARIÑO
986.0,38,RESTREPO,15,ANTONIO NARIÑO
583.0,39,QUIROGA,18,RAFAEL URIBE URIBE
694.0,51,LOS LIBERTADORES,04,SAN CRISTOBAL
695.0,51,LOS LIBERTADORES,04,SAN CRISTOBAL
696.0,51,LOS LIBERTADORES,04,SAN CRISTOBAL
698.0,50,LA GLORIA,04,SAN CRISTOBAL
697.0,50,LA GLORIA,04,SAN CRISTOBAL
647.0,50,LA GLORIA,04,SAN CRISTOBAL
700.0,51,LOS LIBERTADORES,04,SAN CRISTOBAL
756.0,58,COMUNEROS,05,USME
755.0,58,COMUNEROS,05,USME
759.0,61,CIUDAD USME,05,USME
762.0,61,CIUDAD USME,05,USME
746.0,61,CIUDAD USME,05,USME
738.0,64,MONTE BLANCO,19,CIUDAD BOLIVAR
757.0,58,COMUNEROS,05,USME
758.0,64,MONTE BLANCO,19,CIUDAD BOLIVAR
685.0,60,PARQUE ENTRENUBES,05,USME
701.0,52,LA FLORA,05,USME
693.0,51,LOS LIBERTADORES,04,SAN CRISTOBAL
747.0,52,LA FLORA,05,USME
749.0,52,LA FLORA,05,USME
692.0,51,LOS LIBERTADORES,04,SAN CRISTOBAL
691.0,51,LOS LIBERTADORES,04,SAN CRISTOBAL
690.0,50,LA GLORIA,04,SAN CRISTOBAL
753.0,58,COMUNEROS,05,USME
760.0,59,ALFONSO LOPEZ,05,USME
761.0,59,ALFONSO LOPEZ,05,USME
750.0,59,ALFONSO LOPEZ,05,USME
737.0,58,COMUNEROS,05,USME
730.0,63,EL MOCHUELO,19,CIUDAD BOLIVAR
739.0,58,COMUNEROS,05,USME
734.0,57,GRAN YOMASA,05,USME
702.0,56,DANUBIO,05,USME
684.0,55,DIANA TURBAY,18,RAFAEL URIBE URIBE
682.0,55,DIANA TURBAY,18,RAFAEL URIBE URIBE
686.0,51,LOS LIBERTADORES,04,SAN CRISTOBAL
735.0,57,GRAN YOMASA,05,USME
741.0,58,COMUNEROS,05,USME
961.0,58,COMUNEROS,05,USME
744.0,57,GRAN YOMASA,05,USME
745.0,57,GRAN YOMASA,05,USME
743.0,57,GRAN YOMASA,05,USME
740.0,57,GRAN YOMASA,05,USME
736.0,57,GRAN YOMASA,05,USME
732.0,57,GRAN YOMASA,05,USME
733.0,57,GRAN YOMASA,05,USME
731.0,56,DANUBIO,05,USME
704.0,56,DANUBIO,05,USME
703.0,56,DANUBIO,05,USME
649.0,50,LA GLORIA,04,SAN CRISTOBAL
688.0,50,LA GLORIA,04,SAN CRISTOBAL
689.0,51,LOS LIBERTADORES,04,SAN CRISTOBAL
318.0,114,MODELIA,09,FONTIBON
652.0,54,MARRUECOS,18,RAFAEL URIBE URIBE
651.0,55,DIANA TURBAY,18,RAFAEL URIBE URIBE
650.0,50,LA GLORIA,04,SAN CRISTOBAL
644.0,50,LA GLORIA,04,SAN CRISTOBAL
687.0,50,LA GLORIA,04,SAN CRISTOBAL
642.0,34,20 DE JULIO,04,SAN CRISTOBAL
643.0,32,SAN BLAS,04,SAN CRISTOBAL
681.0,55,DIANA TURBAY,18,RAFAEL URIBE URIBE
705.0,63,EL MOCHUELO,19,CIUDAD BOLIVAR
706.0,63,EL MOCHUELO,19,CIUDAD BOLIVAR
729.0,68,EL TESORO,19,CIUDAD BOLIVAR
639.0,34,20 DE JULIO,04,SAN CRISTOBAL
970.0,34,20 DE JULIO,04,SAN CRISTOBAL
971.0,34,20 DE JULIO,04,SAN CRISTOBAL
594.0,34,20 DE JULIO,04,SAN CRISTOBAL
606.0,34,20 DE JULIO,04,SAN CRISTOBAL
595.0,34,20 DE JULIO,04,SAN CRISTOBAL
723.0,68,EL TESORO,19,CIUDAD BOLIVAR
725.0,68,EL TESORO,19,CIUDAD BOLIVAR
726.0,68,EL TESORO,19,CIUDAD BOLIVAR
722.0,68,EL TESORO,19,CIUDAD BOLIVAR
720.0,67,LUCERO,19,CIUDAD BOLIVAR
719.0,67,LUCERO,19,CIUDAD BOLIVAR
724.0,68,EL TESORO,19,CIUDAD BOLIVAR
727.0,68,EL TESORO,19,CIUDAD BOLIVAR
716.0,67,LUCERO,19,CIUDAD BOLIVAR
715.0,67,LUCERO,19,CIUDAD BOLIVAR
707.0,63,EL MOCHUELO,19,CIUDAD BOLIVAR
717.0,67,LUCERO,19,CIUDAD BOLIVAR
718.0,67,LUCERO,19,CIUDAD BOLIVAR
728.0,68,EL TESORO,19,CIUDAD BOLIVAR
748.0,52,LA FLORA,05,USME
751.0,59,ALFONSO LOPEZ,05,USME
742.0,57,GRAN YOMASA,05,USME
967.0,32,SAN BLAS,04,SAN CRISTOBAL
646.0,32,SAN BLAS,04,SAN CRISTOBAL
600.0,32,SAN BLAS,04,SAN CRISTOBAL
599.0,32,SAN BLAS,04,SAN CRISTOBAL
598.0,32,SAN BLAS,04,SAN CRISTOBAL
645.0,32,SAN BLAS,04,SAN CRISTOBAL
648.0,50,LA GLORIA,04,SAN CRISTOBAL
699.0,50,LA GLORIA,04,SAN CRISTOBAL
597.0,34,20 DE JULIO,04,SAN CRISTOBAL
596.0,34,20 DE JULIO,04,SAN CRISTOBAL
640.0,50,LA GLORIA,04,SAN CRISTOBAL
683.0,55,DIANA TURBAY,18,RAFAEL URIBE URIBE
