codigo_upz;poblacion_2005;codigo_localidad;nombre_localidad;nombre_upz;area_urbana_2009;poblacion_urbana_2009;densidad_urbana_2009;poblacion_por_localidad_2005;personas_por_localidad_2007;personas_por_hogar_2007_localidad;gasto_promedio_mensual_2007_localidad;ICV_2007_localidad
85.0;211484.0;7.0;BOSA;BOSA CENTRAL;714.656.412.136;221236.0;309.569.740.428;508.828;546.809;3,98;703.807;85,4
86.0;64288.0;7.0;BOSA;EL PORVENIR;461.032.121.294;73629.0;159.704.707.328;508.828;546.809;3,98;703.807;85,4
87.0;26624.0;7.0;BOSA;TINTAL SUR;576.903.769.222;42439.0;735.633.952.561;508.828;546.809;3,98;703.807;85,4
88.0;29898.0;2.0;CHAPINERO;EL REFUGIO;335.978.485.908;30763.0;915.624.103.635;122.827;122.507;2,43;2.288.835;96,61
89.0;9415.0;2.0;CHAPINERO;SAN ISIDRO-PATIOS;11.301.823.434;16201.0;143.348.549.857;122.827;122.507;2,43;2.288.835;96,61
90.0;19711.0;2.0;CHAPINERO;PARDO RUBIO;285.199.005.156;37191.0;130.403.680.685;122.827;122.507;2,43;2.288.835;96,61
91.0;13842.0;3.0;SANTA FE;SAGRADO CORAZON;146.189.273.671;5879.0;40.214.988.777;109.107;96.241;3,18;896.890;88,28
92.0;22054.0;3.0;SANTA FE;LA MACARENA;858.972.814.617;14350.0;167.060.001.851;109.107;96.241;3,18;896.890;88,28
93.0;47454.0;3.0;SANTA FE;LAS NIEVES;17.257.386.015;13773.0;798.093.059.287;109.107;96.241;3,18;896.890;88,28
94.0;22622.0;17.0;LA CANDELARIA;LA CANDELARIA;206.024.323.421;24095.0;116.952.210.302;22.621;22.115;2,83;1.050.888;88,9
95.0;86735.0;3.0;SANTA FE;LAS CRUCES;923.683.070.697;23241.0;251.612.276.302;109.107;96.241;3,18;896.890;88,28
96.0;44891.0;3.0;SANTA FE;LOURDES;200.137.127.152;46301.0;231.346.380.648;109.107;96.241;3,18;896.890;88,28
97.0;5899.0;2.0;CHAPINERO;CHICO LAGO;422.447.428.769;26291.0;622.349.627.659;122.827;122.507;2,43;2.288.835;96,61
98.0;80118.0;12.0;BARRIOS UNIDOS;LOS ALCAZARES;414.026.997.622;82086.0;198.262.433.299;223.073;230.066;3,36;1.462.840;92,44
99.0;13261.0;2.0;CHAPINERO;CHAPINERO;15.930.253.068;20282.0;127.317.500.315;122.827;122.507;2,43;2.288.835;96,61
100.0;33355.0;13.0;TEUSAQUILLO;GALERIAS;237.568.113.094;34344.0;144.564.855.749;137.53;139.298;2,87;1.933.116;96,03
101.0;26797.0;13.0;TEUSAQUILLO;TEUSAQUILLO;235.700.797.363;27316.0;115.892.692.369;137.53;139.298;2,87;1.933.116;96,03
102.0;50981.0;14.0;LOS MARTIRES;LA SABANA;450.942.153.879;52197.0;11.575.098.835;94.842;94.944;3,53;1.059.511;89,78
103.0;3651.0;12.0;BARRIOS UNIDOS;PARQUE EL SALITRE;165.246.908.484;4141.0;250.594.703.283;223.073;230.066;3,36;1.462.840;92,44
104.0;3249.0;13.0;TEUSAQUILLO;PARQUE SIMON BOLIVAR-CAN;398.684.265.835;3404.0;853.808.462.411;137.53;139.298;2,87;1.933.116;96,03
105.0;1601.0;10.0;ENGATIVA;JARDIN BOTANICO;161.705.211.764;2464.0;152.376.041.138;804.47;824.337;3,41;1.089.512;91,78
106.0;33512.0;13.0;TEUSAQUILLO;LA ESMERALDA;192.878.482.398;33784.0;175.156.915.276;137.53;139.298;2,87;1.933.116;96,03
107.0;25931.0;13.0;TEUSAQUILLO;QUINTA PAREDES;173.955.954.056;27099.0;155.780.813.293;137.53;139.298;2,87;1.933.116;96,03
108.0;4190.0;16.0;PUENTE ARANDA;ZONA INDUSTRIAL;34.695.352.294;4247.0;122.408.326.165;253.638;250.715;3,55;1.116.511;90,43
109.0;14686.0;13.0;TEUSAQUILLO;CIUDAD SALITRE ORIENTAL;180.529.656.927;17944.0;993.964.111.241;137.53;139.298;2,87;1.933.116;96,03
110.0;35890.0;9.0;FONTIBON;CIUDAD SALITRE OCCIDENTAL;225.701.253.811;41106.0;182.125.705.134;301.375;317.179;3,46;1.428.379;90,03
111.0;12917.0;16.0;PUENTE ARANDA;PUENTE ARANDA;356.447.429.991;14658.0;41.122.473.517;253.638;250.715;3,55;1.116.511;90,43
