ZAT,codigo_upz,nombre_upz,codigo_localidad,nombre_localidad,estrato_mean,poblacion_2005,area_urbana_2009,poblacion_urbana_2009,densidad_urbana_2009,poblacion_por_localidad_2005,personas_por_localidad_2007,personas_por_hogar_2007_localidad,gasto_promedio_mensual_2007_localidad,ICV_2007_localidad,num_est_transmi,acceso_transmi,accesibilidad_arterial
68.0,19,EL PRADO,11,SUBA,3.0,86564.0,433.403.358.117,89013.0,205.381.426.639,923.064,981.613,"3,41",1.388.086,"91,6",3.0,1,4.0
93.0,24,NIZA,11,SUBA,4.67,66141.0,756.595.298.134,65073.0,860.076.716.846,923.064,981.613,"3,41",1.388.086,"91,6",3.0,1,12.0
67.0,19,EL PRADO,11,SUBA,3.68,86564.0,433.403.358.117,89013.0,205.381.426.639,923.064,981.613,"3,41",1.388.086,"91,6",4.0,1,10.0
92.0,24,NIZA,11,SUBA,4.21,66141.0,756.595.298.134,65073.0,860.076.716.846,923.064,981.613,"3,41",1.388.086,"91,6",3.0,1,5.0
44.0,23,CASA BLANCA SUBA,11,SUBA,3.11,29874.0,420.483.819.457,36521.0,868.547.095.276,923.064,981.613,"3,41",1.388.086,"91,6",2.0,1,6.0
66.0,19,EL PRADO,11,SUBA,4.13,86564.0,433.403.358.117,89013.0,205.381.426.639,923.064,981.613,"3,41",1.388.086,"91,6",3.0,1,5.0
45.0,23,CASA BLANCA SUBA,11,SUBA,4.0,29874.0,420.483.819.457,36521.0,868.547.095.276,923.064,981.613,"3,41",1.388.086,"91,6",0.0,0,2.0
46.0,18,BRITALIA,11,SUBA,3.18,50139.0,328.656.231.464,57730.0,175.654.664.276,923.064,981.613,"3,41",1.388.086,"91,6",0.0,0,6.0
126.0,28,EL RINCON,11,SUBA,2.23,271222.0,710.088.818.863,302006.0,42.530.735.871,923.064,981.613,"3,41",1.388.086,"91,6",0.0,0,2.0
125.0,29,MINUTO DE DIOS,10,ENGATIVA,3.0,143506.0,373.264.507.687,147709.0,39.572.206.025,804.47,824.337,"3,41",1.089.512,"91,78",4.0,1,6.0
129.0,29,MINUTO DE DIOS,10,ENGATIVA,3.0,143506.0,373.264.507.687,147709.0,39.572.206.025,804.47,824.337,"3,41",1.089.512,"91,78",4.0,1,3.0
184.0,30,BOYACA REAL,10,ENGATIVA,3.0,129771.0,453.781.819.192,121920.0,268.675.374.031,804.47,824.337,"3,41",1.089.512,"91,78",4.0,1,3.0
183.0,30,BOYACA REAL,10,ENGATIVA,3.0,129771.0,453.781.819.192,121920.0,268.675.374.031,804.47,824.337,"3,41",1.089.512,"91,78",3.0,1,2.0
127.0,25,LA FLORESTA,11,SUBA,4.5,25414.0,393.477.586.199,25324.0,643.594.473.694,923.064,981.613,"3,41",1.388.086,"91,6",3.0,1,5.0
91.0,19,EL PRADO,11,SUBA,3.0,86564.0,433.403.358.117,89013.0,205.381.426.639,923.064,981.613,"3,41",1.388.086,"91,6",4.0,1,3.0
140.0,20,LA ALHAMBRA,11,SUBA,5.0,38521.0,284.774.117.529,36637.0,128.652.843.587,923.064,981.613,"3,41",1.388.086,"91,6",4.0,1,5.0
139.0,24,NIZA,11,SUBA,5.0,66141.0,756.595.298.134,65073.0,860.076.716.846,923.064,981.613,"3,41",1.388.086,"91,6",3.0,1,8.0
852.0,16,SANTA BARBARA,01,USAQUEN,5.52,51582.0,458.698.320.974,51474.0,112.217.546.144,425.192,430.156,"3,12",1.867.529,"93,6",2.0,1,8.0
138.0,20,LA ALHAMBRA,11,SUBA,4.98,38521.0,284.774.117.529,36637.0,128.652.843.587,923.064,981.613,"3,41",1.388.086,"91,6",7.0,1,10.0
133.0,24,NIZA,11,SUBA,5.0,66141.0,756.595.298.134,65073.0,860.076.716.846,923.064,981.613,"3,41",1.388.086,"91,6",3.0,1,5.0
147.0,16,SANTA BARBARA,01,USAQUEN,5.97,51582.0,458.698.320.974,51474.0,112.217.546.144,425.192,430.156,"3,12",1.867.529,"93,6",0.0,0,11.0
851.0,16,SANTA BARBARA,01,USAQUEN,6.0,51582.0,458.698.320.974,51474.0,112.217.546.144,425.192,430.156,"3,12",1.867.529,"93,6",2.0,1,5.0
143.0,20,LA ALHAMBRA,11,SUBA,5.0,38521.0,284.774.117.529,36637.0,128.652.843.587,923.064,981.613,"3,41",1.388.086,"91,6",6.0,1,3.0
142.0,20,LA ALHAMBRA,11,SUBA,5.0,38521.0,284.774.117.529,36637.0,128.652.843.587,923.064,981.613,"3,41",1.388.086,"91,6",6.0,1,1.0
167.0,21,LOS ANDES,12,BARRIOS UNIDOS,4.54,45172.0,274.816.645.782,46625.0,169.658.573.145,223.073,230.066,"3,36",1.462.840,"92,44",11.0,1,7.0
153.0,14,USAQUEN,01,USAQUEN,5.0,34100.0,492.691.983.265,41634.0,8.450.310.014,425.192,430.156,"3,12",1.867.529,"93,6",0.0,0,8.0
152.0,14,USAQUEN,01,USAQUEN,4.55,34100.0,492.691.983.265,41634.0,8.450.310.014,425.192,430.156,"3,12",1.867.529,"93,6",0.0,0,7.0
