codigo_upz,year,quarter,cantidad_oxxo,dummy_oxxo,cantidad_ara,dummy_ara,cantidad_d1,dummy_d1,cantidad_jb,dummy_jb,spillover_oxxo
44,2015,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0
62,2015,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0
69,2015,3,1.0,1,0.0,0,0.0,0,0.0,0,0.0
93,2015,3,2.0,1,0.0,0,0.0,0,0.0,0,2.0
18,2015,3,0.0,0,0.0,0,2.0,1,0.0,0,1.0
15,2015,4,0.0,0,0.0,0,0.0,0,0.0,0,1.0
86,2015,4,0.0,0,0.0,0,0.0,0,0.0,0,0.0
71,2015,4,0.0,0,0.0,0,1.0,1,0.0,0,0.0
29,2015,4,1.0,1,0.0,0,0.0,0,0.0,0,0.0
80,2015,4,0.0,0,0.0,0,0.0,0,0.0,0,0.0
99,2015,4,4.0,1,0.0,0,0.0,0,0.0,0,4.0
3,2015,4,0.0,0,0.0,0,0.0,0,0.0,0,0.0
97,2015,4,6.0,1,0.0,0,0.0,0,0.0,0,1.0
94,2015,4,3.0,1,0.0,0,0.0,0,0.0,0,1.0
76,2015,4,0.0,0,0.0,0,0.0,0,0.0,0,0.0
114,2015,4,0.0,0,0.0,0,0.0,0,0.0,0,0.0
89,2015,4,0.0,0,0.0,0,0.0,0,0.0,0,0.0
38,2015,4,0.0,0,0.0,0,0.0,0,0.0,0,0.0
52,2015,4,0.0,0,0.0,0,0.0,0,0.0,0,0.0
96,2015,4,0.0,0,0.0,0,0.0,0,0.0,0,0.0
84,2015,4,0.0,0,0.0,0,0.0,0,0.0,0,0.0
111,2015,4,0.0,0,0.0,0,0.0,0,0.0,0,0.0
112,2015,4,0.0,0,0.0,0,0.0,0,0.0,0,0.0
75,2015,4,0.0,0,0.0,0,3.0,1,0.0,0,0.0
12,2015,4,1.0,1,0.0,0,1.0,1,0.0,0,0.0
16,2015,4,0.0,0,0.0,0,4.0,1,0.0,0,1.0
82,2015,4,0.0,0,0.0,0,0.0,0,0.0,0,0.0
35,2015,4,0.0,0,0.0,0,0.0,0,0.0,0,0.0
68,2015,4,0.0,0,0.0,0,0.0,0,0.0,0,0.0
27,2015,4,1.0,1,0.0,0,4.0,1,0.0,0,0.0
22,2015,4,1.0,1,0.0,0,2.0,1,0.0,0,0.0
105,2015,4,0.0,0,0.0,0,0.0,0,0.0,0,0.0
104,2015,4,0.0,0,0.0,0,0.0,0,0.0,0,0.0
74,2015,4,0.0,0,0.0,0,0.0,0,0.0,0,0.0
47,2015,4,0.0,0,0.0,0,0.0,0,0.0,0,0.0
70,2015,4,0.0,0,0.0,0,0.0,0,0.0,0,0.0
66,2015,4,0.0,0,0.0,0,0.0,0,0.0,0,0.0
65,2015,4,0.0,0,0.0,0,0.0,0,0.0,0,1.0
79,2015,4,0.0,0,0.0,0,0.0,0,0.0,0,0.0
59,2015,4,0.0,0,0.0,0,0.0,0,0.0,0,0.0
45,2015,4,0.0,0,0.0,0,0.0,0,0.0,0,0.0
20,2015,4,1.0,1,0.0,0,3.0,1,0.0,0,0.0
51,2015,4,0.0,0,0.0,0,0.0,0,0.0,0,0.0
115,2015,4,0.0,0,0.0,0,0.0,0,0.0,0,1.0
43,2015,4,0.0,0,0.0,0,0.0,0,0.0,0,0.0
25,2015,4,1.0,1,0.0,0,2.0,1,0.0,0,0.0
56,2015,4,0.0,0,0.0,0,0.0,0,0.0,0,0.0
26,2015,4,0.0,0,0.0,0,1.0,1,0.0,0,0.0
