codigo_localidad,AÑO,theft_to_people,genero_-,genero_FEMENINO,genero_MASCULINO,TOTAL_POBLACION,Hombre,Mujer,crime_index,theft_to_people_index,male_index,female_index
10.0,2022,569,0,224,345,827582,391310,436272,6.875451616879053,6.875451616879053,8.816539316654314,5.134411559760883
10.0,2023,6,0,2,4,828832,391744,437088,0.07239102737346048,0.07239102737346048,0.10210749877471001,0.04575737608902555
11.0,2018,633,0,272,361,1149040,540726,608314,5.508946598899951,5.508946598899951,6.676209392557414,4.471374980684318
11.0,2019,756,0,350,406,1189086,559950,629136,6.357824413036568,6.357824413036568,7.250647379230289,5.5631850665039035
11.0,2020,576,0,232,344,1209766,570978,638788,4.761251349434518,4.761251349434518,6.024750515781694,3.631877868713877
11.0,2021,668,0,276,392,1226336,580155,646181,5.447120528142369,5.447120528142369,6.756814989097741,4.2712490772709195
11.0,2022,622,0,262,360,1235165,585969,649196,5.035764452522537,5.035764452522537,6.143669716316051,4.035761156877122
11.0,2023,1,0,0,1,1239895,589354,650541,0.008065199069276028,0.008065199069276028,0.01696773076962233,0.0
12.0,2018,282,0,107,175,133126,62070,71056,21.182939470877216,21.182939470877216,28.193974544868695,15.058545372663813
12.0,2019,359,0,163,196,138316,65700,72616,25.955059429133286,25.955059429133286,29.832572298325722,22.44684367081635
12.0,2020,192,0,71,121,140237,66673,73564,13.691108623259197,13.691108623259197,18.14827591378819,9.651459953237996
12.0,2021,277,0,98,179,140987,67054,73933,19.6472015150333,19.6472015150333,26.69490261580219,13.255244613366155
12.0,2022,220,0,91,129,140890,66929,73961,15.61501880899993,15.61501880899993,19.274156195371216,12.303781722799854
12.0,2023,1,0,1,0,140630,66723,73907,0.07110858280594468,0.07110858280594468,0.0,0.13530518083537418
13.0,2018,447,0,217,230,144526,67745,76781,30.928691031371518,30.928691031371518,33.95084508081777,28.262200283924408
13.0,2019,515,0,217,298,152414,69301,83113,33.789546892017796,33.789546892017796,43.00082249895384,26.109032281351894
13.0,2020,286,0,103,183,154339,70288,84051,18.530637104037215,18.530637104037215,26.035738675165035,12.25446455128434
13.0,2021,340,0,119,221,156451,71249,85202,21.732043898728676,21.732043898728676,31.017979199708066,13.96680829088519
13.0,2022,349,0,135,214,157675,71984,85691,22.134136673537338,22.134136673537338,29.72882862858413,15.754279912709618
14.0,2018,268,0,103,165,73277,35873,37404,36.57354968134613,36.57354968134613,45.995595573272375,27.537161800876913
14.0,2019,337,0,117,220,82957,38757,44200,40.62345552515159,40.62345552515159,56.76393941739557,26.470588235294116
14.0,2020,209,0,58,151,84302,39409,44893,24.791819885649215,24.791819885649215,38.3161206830927,12.919608847704541
14.0,2021,281,0,88,193,84690,39411,45279,33.17983232967293,33.17983232967293,48.971099439242856,19.435058194748116
14.0,2022,241,0,89,152,84501,39145,45356,28.52037253996994,28.52037253996994,38.829991058883635,19.622541670341302
14.0,2023,2,0,0,2,84395,39030,45365,0.23698086379524852,0.23698086379524852,0.5124263387138099,0.0
15.0,2018,122,0,51,71,79229,37925,41304,15.398402100241073,15.398402100241073,18.72116018457482,12.347472399767577
15.0,2019,155,0,68,87,80095,38097,41998,19.352019476871217,19.352019476871217,22.836443814473583,16.191247202247727
15.0,2020,107,0,49,58,81356,38705,42651,13.152072373273022,13.152072373273022,14.985144038237955,11.488593467913999
15.0,2021,161,0,75,86,81238,38578,42660,19.818311627563457,19.818311627563457,22.29249831510187,17.580872011251756
