codigo_upz,AÑO,theft_to_people,homicide,sexual,theft_to_vehicle,theft_to_motorbike,genero_-,genero_FEMENINO,genero_MASCULINO,TOTAL_POBLACION,Hombre,Mujer,crime_index,theft_to_people_index,homicide_index,sexual_index,theft_to_vehicle_index,theft_to_motorbike_index,male_index,female_index
13.0,2019,550,2,41,17,11,0,272,349,126708,56234,70474,49.010322947248795,43.40688827856173,0.15784323010386084,3.2357862171291476,1.3416674558828172,0.8681377655712347,62.062097663335344,38.59579419360331
13.0,2020,96,2,24,28,12,0,71,91,128724,57206,71518,12.585065722009881,7.4578167241540045,0.1553711817532084,1.8644541810385011,2.1751965445449177,0.9322270905192506,15.907422298360311,9.927570681506754
13.0,2021,103,0,46,32,15,2,86,108,130855,58135,72720,14.97841121852432,7.871307936265333,0.0,3.5153414084291774,2.4454548928202975,1.1463069810095143,18.5774490410252,11.826182618261825
13.0,2022,90,1,0,26,11,0,42,86,132098,58771,73327,9.689775772532514,6.813123590061924,0.07570137322291026,0.0,1.9682357037956668,0.8327151054520129,14.63306732912491,5.727767398093471
13.0,2023,1,1,0,17,6,0,5,20,132653,59075,73578,1.8846162544382714,0.07538465017753085,0.07538465017753085,0.0,1.2815390530180246,0.45230790106518515,3.3855268726195513,0.6795509527304358
14.0,2015,252,2,15,2,10,0,111,170,39067,18187,20880,71.92771392735557,64.50456907364271,0.5119410243939898,3.8395576829549234,0.5119410243939898,2.559705121969949,93.47336009237367,53.160919540229884
14.0,2016,314,0,22,3,5,0,142,202,39260,18344,20916,87.62098828323994,79.97962302598064,0.0,5.603667855323485,0.7641365257259297,1.273560876209883,110.11774967291757,67.89061005928475
14.0,2017,690,1,15,12,9,0,341,386,39473,18517,20956,184.1765257264459,174.80302991918526,0.25333772452055836,3.8000658678083754,3.0400526942467,2.2800395206850252,208.45709348166548,162.72189349112426
14.0,2018,1069,4,37,13,12,0,532,603,39868,18825,21043,284.68947526838565,268.1348449884619,1.0033109260559847,9.280626066017858,3.2607605096819507,3.0099327781679546,320.3187250996016,252.8156631658984
14.0,2019,252,0,16,7,8,0,137,146,40865,19334,21531,69.2524164933317,61.66646274317876,0.0,3.9153309678208736,1.7129572984216324,1.9576654839104368,75.51463742629564,63.62918582508941
14.0,2020,46,0,17,7,17,0,43,44,41354,19655,21699,21.037868162692845,11.123470522803114,0.0,4.110847801905499,1.6927020360787348,4.110847801905499,22.38616128211651,19.816581409281536
14.0,2021,48,2,17,14,7,0,36,52,41886,19970,21916,21.00940648426682,11.459676264145537,0.4774865110060641,4.058635343551545,3.3424055770424483,1.6712027885212242,26.039058587881822,16.42635517430188
14.0,2022,78,0,0,13,6,0,36,61,42132,20181,21951,23.02288047090098,18.51324409000285,0.0,0.0,3.0855406816671413,1.4240956992309883,30.226450621872058,16.400164001640015
14.0,2023,0,0,0,3,2,0,1,4,42154,20277,21877,1.1861270579304455,0.0,0.0,0.0,0.7116762347582674,0.4744508231721782,1.9726784041031709,0.45710106504548154
15.0,2015,142,0,8,2,1,0,65,88,24875,11083,13792,61.50753768844221,57.08542713567839,0.0,3.2160804020100504,0.8040201005025126,0.4020100502512563,79.40088423711991,47.12877030162413
15.0,2016,165,1,4,1,1,0,67,105,24687,11016,13671,69.67229716044882,66.83679669461661,0.4050714951188885,1.620285980475554,0.4050714951188885,0.4050714951188885,95.31590413943354,49.00885085216883
15.0,2017,371,0,2,5,0,0,160,218,24508,10957,13551,154.23535172188673,151.37914150481475,0.0,0.8160600620205648,2.040150155051412,0.0,198.95956922515285,118.0724669766069
15.0,2018,640,2,17,12,4,0,335,340,24440,10977,13463,276.18657937806876,261.8657937806874,0.8183306055646482,6.955810147299509,4.909983633387888,1.6366612111292964,309.7385442288421,248.83012701478125
15.0,2019,136,0,12,5,1,0,84,70,24929,11192,13737,61.77544225600706,54.55493601829195,0.0,4.813670825143408,2.0056961771430863,0.4011392354286173,62.544674767691205,61.14872242847783
15.0,2020,20,1,5,5,3,0,16,18,24915,11215,13700,13.646397752358018,8.027292795504716,0.4013646397752358,2.006823198876179,2.006823198876179,1.2040939193257074,16.049933125278645,11.678832116788323
15.0,2021,25,1,9,5,5,0,16,29,24914,11228,13686,18.06213374006583,10.034518744481014,0.4013807497792406,3.612426748013165,2.006903748896203,2.006903748896203,25.828286426790168,11.690778898144089
15.0,2022,15,1,0,4,0,0,6,14,24743,11179,13564,8.083094208463,6.062320656347249,0.40415471042315004,0.0,1.6166188416926002,0.0,12.523481527864746,4.423473901503981
16.0,2015,477,3,34,7,11,0,242,289,65473,29173,36300,81.25486841904296,72.85445909000657,0.45820414522016706,5.1929803124952265,1.0691430055137232,1.6800818658072794,99.06420320159052,66.66666666666667
16.0,2016,688,2,20,4,16,0,303,427,66113,29506,36607,110.41701329541844,104.06425362636698,0.3025123651929273,3.025123651929273,0.6050247303858546,2.4200989215434183,144.71632888226122,82.77105471631108
16.0,2017,1518,2,12,15,21,0,711,857,66787,29864,36923,234.7762289068232,227.28974201566172,0.29945947564645814,1.7967568538787488,2.245946067348436,3.1443244942878104,286.9675863916421,192.56290117271078
