codigo_upz,estrato_mean,poblacion_2005,poblacion_urbana_2009,num_est_transmi,acceso_transmi,accesibilidad_arterial,personas_por_localidad_2007,personas_por_hogar_2007_localidad,gasto_promedio_mensual_2007_localidad,ICV_2007_localidad,nombre_localidad,nombre_upz
107,3.77,207448.0,216792.0,32.0,8,35.0,139.298,"2,87",1.933.116,"96,03",TEUSAQUILLO,QUINTA PAREDES
108,2.685714285714286,33520.0,33976.0,48.0,8,66.0,250.715,"3,55",1.116.511,"90,43",PUENTE ARANDA,ZONA INDUSTRIAL
109,4.123333333333334,44058.0,53832.0,12.0,3,32.0,139.298,"2,87",1.933.116,"96,03",TEUSAQUILLO,CIUDAD SALITRE ORIENTAL
110,4.074999999999999,71780.0,82212.0,7.0,2,29.0,317.179,"3,46",1.428.379,"90,03",FONTIBON,CIUDAD SALITRE OCCIDENTAL
111,2.9375,64585.0,73290.0,16.0,5,63.0,250.715,"3,55",1.116.511,"90,43",PUENTE ARANDA,PUENTE ARANDA
112,3.1133333333333333,126427.0,160027.0,0.0,0,71.0,317.179,"3,46",1.428.379,"90,03",FONTIBON,GRANJAS DE TECHO
113,3.2925,104270.0,104965.0,8.0,3,26.0,979.914,"3,72",999.300,"88,94",KENNEDY,BAVARIA
114,3.8,191930.0,197050.0,9.0,4,24.0,317.179,"3,46",1.428.379,"90,03",FONTIBON,MODELIA
115,3.314,77135.0,83285.0,6.0,3,26.0,317.179,"3,46",1.428.379,"90,03",FONTIBON,CAPELLANIA
116,3.1550000000000002,24638.0,27282.0,3.0,1,17.0,824.337,"3,41",1.089.512,"91,78",ENGATIVA,ALAMOS
117,3.0,824.0,1670.0,1.0,1,17.0,317.179,"3,46",1.428.379,"90,03",FONTIBON,AEROPUERTO EL DORADO
