codigo_upz,AÑO,semester,theft_to_people,homicide,sexual,theft_to_vehicle,theft_to_motorbike,dia_Domingo,dia_Jueves,dia_Lunes,dia_Martes,dia_Miércoles,dia_Sábado,dia_Viernes,genero_FEMENINO,genero_MASCULINO,TOTAL_POBLACION,Hombre,Mujer,crime_index,theft_to_people_index,homicide_index,sexual_index,theft_to_vehicle_index,theft_to_motorbike_index,male_index,female_index
62.0,2017,2,160,5,8,11,11,22,31,21,26,35,26,34,86,109,39702,19776,19926,49.11591355599214,40.30023676389099,1.2593823988715935,2.0150118381945497,2.7706412775175053,2.7706412775175053,55.1173139158576,43.15969085616782
62.0,2018,1,197,4,20,14,19,27,31,39,33,48,30,46,96,158,39681,19601,20080,64.01048360676394,49.64592626193897,1.0080391119175425,5.040195559587712,3.5281368917113984,4.788185781608326,80.60813223815113,47.808764940239044
62.0,2018,2,224,5,35,9,14,25,50,32,45,47,40,48,126,161,39681,19601,20080,72.32680628008367,56.450190267382375,1.260048889896928,8.820342229278497,2.2680880018144705,3.5281368917113984,82.1386663945717,62.74900398406375
62.0,2019,1,88,0,5,2,1,9,8,11,13,23,17,15,42,54,40340,20058,20282,23.797719385225584,21.81457610312345,0.0,1.2394645513138323,0.49578582052553294,0.24789291026276647,26.92192641340114,20.70801696085199
63.0,2015,2,3,0,1,1,0,1,0,0,1,1,1,1,3,2,83,46,37,602.4096385542168,361.4457831325301,0.0,120.48192771084338,120.48192771084338,0.0,434.7826086956522,810.8108108108108
63.0,2016,1,4,0,1,0,0,0,3,0,0,1,0,1,4,1,64,34,30,781.25,625.0,0.0,156.25,0.0,0.0,294.11764705882354,1333.3333333333333
63.0,2016,2,3,7,1,2,3,3,4,1,2,1,5,0,6,10,64,34,30,2500.0,468.75,1093.75,156.25,312.5,468.75,2941.1764705882356,2000.0
63.0,2017,1,6,2,0,0,0,1,1,2,1,0,2,1,5,3,47,26,21,1702.127659574468,1276.5957446808509,425.531914893617,0.0,0.0,0.0,1153.8461538461538,2380.9523809523807
63.0,2017,2,13,2,1,3,0,1,3,5,3,3,3,1,5,14,47,26,21,4042.5531914893613,2765.9574468085107,425.531914893617,212.7659574468085,638.2978723404254,0.0,5384.615384615385,2380.9523809523807
63.0,2018,1,10,1,3,2,0,4,2,2,1,3,1,3,8,8,36,18,18,4444.444444444444,2777.777777777778,277.77777777777777,833.3333333333333,555.5555555555555,0.0,4444.444444444444,4444.444444444444
