ZAT,AÑO,theft_to_people,homicide,sexual,theft_to_vehicle,theft_to_motorbike,genero_FEMENINO,genero_MASCULINO
106.0,2016,64,2,6,2,9,31,52
106.0,2017,140,2,8,3,16,74,95
106.0,2018,116,1,8,10,6,55,86
106.0,2019,24,1,2,2,1,16,14
107.0,2015,73,2,13,3,10,40,61
107.0,2016,106,1,4,4,9,55,69
107.0,2017,242,2,4,2,16,118,148
107.0,2018,287,3,16,10,9,157,168
107.0,2019,60,0,2,1,1,32,32
108.0,2015,42,1,7,2,3,25,30
108.0,2016,74,0,8,2,6,35,55
108.0,2017,176,2,4,5,5,80,112
108.0,2018,191,2,7,6,18,85,139
108.0,2019,36,0,0,2,4,17,25
109.0,2015,22,2,3,2,3,11,21
109.0,2016,45,1,3,1,1,23,28
109.0,2017,93,0,9,0,1,54,49
109.0,2018,99,1,3,4,2,48,61
109.0,2019,15,1,1,0,2,9,10
110.0,2015,32,0,1,3,4,10,30
110.0,2016,56,0,3,7,6,34,38
110.0,2017,110,0,7,3,13,65,68
110.0,2018,149,0,10,10,12,74,107
110.0,2019,26,1,1,1,2,12,19
111.0,2015,21,0,3,0,0,12,12
111.0,2016,25,0,1,0,5,14,17
111.0,2017,46,0,3,2,5,19,37
111.0,2018,60,0,12,1,5,39,39
111.0,2019,14,0,3,0,1,10,8
112.0,2015,46,1,7,3,7,27,37
112.0,2016,74,4,11,1,10,40,60
112.0,2017,139,1,12,6,9,73,94
112.0,2018,205,2,20,10,14,95,155
112.0,2019,31,0,1,1,1,13,21
113.0,2015,22,6,12,1,5,21,25
113.0,2016,48,2,6,6,10,28,44
113.0,2017,51,0,9,4,8,33,39
113.0,2018,78,5,14,4,10,47,64
113.0,2019,11,0,2,2,2,5,12
114.0,2015,46,4,15,1,5,33,38
114.0,2016,94,6,13,1,10,49,75
114.0,2017,150,6,7,5,18,76,110
114.0,2018,179,10,28,14,13,120,123
114.0,2019,31,0,4,2,2,19,20
115.0,2015,64,8,19,1,12,51,53
115.0,2016,102,6,22,3,3,54,82
115.0,2017,213,8,19,7,21,108,160
115.0,2018,225,8,32,7,9,121,159
115.0,2019,41,1,2,2,4,17,33
116.0,2015,30,2,5,3,7,16,31
116.0,2016,48,3,12,3,11,29,48
116.0,2017,102,2,9,3,10,52,74
116.0,2018,98,3,13,2,12,52,76
116.0,2019,23,0,1,1,1,12,14
117.0,2015,24,5,12,0,4,18,27
117.0,2016,44,6,14,0,3,32,35
117.0,2017,75,8,12,1,6,39,63
117.0,2018,67,5,10,1,15,40,58
117.0,2019,4,0,0,0,2,2,4
118.0,2015,8,6,3,1,4,6,16
118.0,2016,21,5,6,1,0,17,16
118.0,2017,41,3,5,0,4,24,29
118.0,2018,43,3,14,1,2,27,36
118.0,2019,5,0,0,0,1,3,3
119.0,2015,12,0,1,0,0,4,9
119.0,2016,10,1,0,0,0,5,6
119.0,2017,26,0,0,2,0,9,19
119.0,2018,47,0,2,4,1,19,35
119.0,2019,8,0,0,0,0,2,6
120.0,2015,61,1,4,31,16,37,76
120.0,2016,89,0,1,22,14,39,87
120.0,2017,298,0,7,15,10,125,205
120.0,2018,495,0,10,24,0,223,306
120.0,2019,82,0,1,1,3,37,50
121.0,2015,17,1,4,6,3,7,24
121.0,2016,32,1,3,1,3,13,27
121.0,2017,42,0,0,9,5,23,33
121.0,2018,63,1,5,4,6,27,52
121.0,2019,8,0,1,2,0,4,7
122.0,2015,40,5,11,9,13,30,48
122.0,2016,85,7,14,21,19,46,100
122.0,2017,155,6,7,22,25,67,148
122.0,2018,246,2,12,16,23,113,186
122.0,2019,39,0,0,2,2,15,28
123.0,2015,17,0,3,3,6,6,23
123.0,2016,48,0,2,2,1,26,27
123.0,2017,73,0,2,3,3,37,44
123.0,2018,128,1,4,4,4,58,83
123.0,2019,21,0,0,0,2,12,11
124.0,2015,24,2,6,4,3,17,22
124.0,2016,62,1,4,2,3,35,37
124.0,2017,111,0,4,4,7,44,82
124.0,2018,131,0,3,4,4,66,76
124.0,2019,24,0,0,1,4,8,21
125.0,2015,25,1,8,3,3,18,22
125.0,2016,64,0,3,2,4,24,49
125.0,2017,119,1,4,8,9,49,92
125.0,2018,151,1,3,8,7,62,108
125.0,2019,31,0,2,0,0,18,15
126.0,2015,6,0,0,0,1,1,6
126.0,2016,17,0,0,0,0,6,11
126.0,2017,20,0,0,0,0,8,12
126.0,2018,34,0,3,0,0,15,22
126.0,2019,7,0,0,0,0,2,5
127.0,2015,13,0,1,1,0,6,9
127.0,2016,18,0,0,3,2,7,16
127.0,2017,42,0,3,5,0,21,28
127.0,2018,44,1,3,1,0,21,28
127.0,2019,12,0,0,0,0,6,6
128.0,2015,20,0,2,1,5,8,20
128.0,2016,30,1,1,1,0,13,20
128.0,2017,53,0,0,2,2,19,38
128.0,2018,77,0,2,2,1,42,40
128.0,2019,7,0,0,0,0,1,6
129.0,2015,24,0,5,2,5,13,23
129.0,2016,46,0,4,3,5,21,37
129.0,2017,131,0,3,3,3,54,86
129.0,2018,127,0,7,4,6,61,83
129.0,2019,14,0,0,0,0,7,7
130.0,2015,20,2,4,2,1,15,14
130.0,2016,50,0,2,3,2,30,27
130.0,2017,77,0,0,2,0,29,50
130.0,2018,97,0,2,1,3,44,59
130.0,2019,22,0,0,1,1,16,8
131.0,2015,45,1,4,5,7,21,41
131.0,2016,90,0,2,2,4,37,61
131.0,2017,220,0,3,3,6,90,142
131.0,2018,319,0,2,4,4,137,192
131.0,2019,47,0,0,1,0,18,30
132.0,2015,1,0,1,0,0,1,1
132.0,2016,6,0,2,0,0,4,4
132.0,2017,13,0,0,0,1,5,9
132.0,2018,13,0,1,0,1,5,10
132.0,2019,2,0,2,0,0,1,3
133.0,2015,39,0,8,1,0,19,29
133.0,2016,50,0,2,1,2,21,34
133.0,2017,72,0,6,1,0,36,43
133.0,2018,70,0,0,0,0,36,34
133.0,2019,11,0,0,1,1,5,8
134.0,2015,42,0,3,2,1,20,27
134.0,2016,60,0,0,2,1,24,39
134.0,2017,124,0,8,3,3,56,82
134.0,2018,132,0,4,4,1,63,78
134.0,2019,23,0,0,0,0,8,15
135.0,2015,24,0,4,3,0,15,16
135.0,2016,40,0,3,1,0,17,27
135.0,2017,83,2,6,5,4,39,61
135.0,2018,100,1,4,2,2,39,70
135.0,2019,27,0,0,0,0,12,15
136.0,2015,57,0,1,1,4,23,40
136.0,2016,72,0,2,3,4,26,55
136.0,2017,148,1,12,4,4,73,96
136.0,2018,188,0,2,1,6,85,112
136.0,2019,42,0,1,2,0,23,22
137.0,2015,11,0,2,0,1,6,8
137.0,2016,16,0,0,0,0,9,7
137.0,2017,55,0,3,0,1,27,32
137.0,2018,82,0,2,0,0,30,54
137.0,2019,19,0,1,0,0,8,12
