codigo_upz,AÑO,quarter,theft_to_people,homicide,sexual,theft_to_vehicle,theft_to_motorbike,genero_-,genero_FEMENINO,genero_MASCULINO,TOTAL_POBLACION,Hombre,Mujer,crime_index,theft_to_people_index,homicide_index,sexual_index,theft_to_vehicle_index,theft_to_motorbike_index,male_index,female_index
3.0,2021,1,0,0,1,2,1,0,2,2,2417,1178,1239,16.54944145635085,0.0,0.0,4.137360364087712,8.274720728175424,4.137360364087712,16.97792869269949,16.142050040355123
3.0,2021,2,0,0,0,1,0,0,0,1,2417,1178,1239,4.137360364087712,0.0,0.0,0.0,4.137360364087712,0.0,8.488964346349745,0.0
3.0,2021,3,1,0,0,0,0,0,0,1,2417,1178,1239,4.137360364087712,4.137360364087712,0.0,0.0,0.0,0.0,8.488964346349745,0.0
3.0,2022,1,1,0,0,0,0,0,1,0,2446,1200,1246,4.088307440719542,4.088307440719542,0.0,0.0,0.0,0.0,0.0,8.025682182985554
3.0,2022,2,0,0,0,1,1,0,0,2,2446,1200,1246,8.176614881439084,0.0,0.0,0.0,4.088307440719542,4.088307440719542,16.666666666666668,0.0
3.0,2022,4,1,0,0,1,0,0,1,1,2446,1200,1246,8.176614881439084,4.088307440719542,0.0,0.0,4.088307440719542,0.0,8.333333333333334,8.025682182985554
9.0,2018,1,7,3,13,12,4,1,13,25,119080,56578,62502,3.2751091703056767,0.5878401074907625,0.2519314746388982,1.091703056768559,1.0077258985555928,0.3359086328518643,4.418678638339991,2.079933442129852
9.0,2018,2,5,1,20,16,7,0,24,25,119080,56578,62502,4.1148807524353375,0.41988579106483037,0.08397715821296607,1.6795431642593215,1.3436345314074571,0.5878401074907625,4.418678638339991,3.8398771239320344
9.0,2018,3,13,4,36,10,8,0,44,27,119080,56578,62502,5.9623782331205915,1.091703056768559,0.3359086328518643,3.023177695666779,0.8397715821296607,0.6718172657037286,4.77217292940719,7.039774727208729
9.0,2018,4,7,2,13,11,6,2,15,22,119080,56578,62502,3.2751091703056767,0.5878401074907625,0.16795431642593214,1.091703056768559,0.9237487403426269,0.5038629492777964,3.8884372017391917,2.399923202457521
9.0,2019,1,7,2,15,6,7,0,21,16,122844,58302,64542,3.011950115593761,0.5698284002474684,0.1628081143564195,1.2210608576731463,0.4884243430692586,0.5698284002474684,2.7443312407807623,3.2536952681974527
9.0,2019,2,7,2,15,5,9,0,18,20,122844,58302,64542,3.093354172771971,0.5698284002474684,0.1628081143564195,1.2210608576731463,0.4070202858910488,0.7326365146038879,3.4304140509759526,2.7888816584549594
9.0,2019,3,12,1,37,5,7,0,35,27,122844,58302,64542,5.047051545049006,0.9768486861385172,0.08140405717820975,3.011950115593761,0.4070202858910488,0.5698284002474684,4.631058968817536,5.422825446995755
9.0,2019,4,11,1,27,7,11,0,27,30,122844,58302,64542,4.640031259157956,0.8954446289603073,0.08140405717820975,2.197909543811664,0.5698284002474684,0.8954446289603073,5.145621076463929,4.18332248768244
9.0,2020,1,8,3,19,3,8,0,20,21,125093,59368,65725,3.2775614942482796,0.6395241939996643,0.2398215727498741,1.5188699607492024,0.2398215727498741,0.6395241939996643,3.537259129497372,3.0429821224800304
9.0,2020,2,3,4,11,7,6,0,14,17,125093,59368,65725,2.478156251748699,0.2398215727498741,0.31976209699983216,0.8793457667495383,0.5595836697497062,0.4796431454997482,2.863495485783587,2.1300874857360212
9.0,2020,3,6,7,19,4,4,0,22,18,125093,59368,65725,3.1976209699983213,0.4796431454997482,0.5595836697497062,1.5188699607492024,0.31976209699983216,0.31976209699983216,3.031936396712033,3.3472803347280338
9.0,2020,4,7,2,9,9,6,0,16,17,125093,59368,65725,2.6380373002486146,0.5595836697497062,0.15988104849991608,0.7194647182496223,0.7194647182496223,0.4796431454997482,2.863495485783587,2.434385697984024
9.0,2021,1,4,4,15,6,9,0,18,20,127453,60391,67062,2.9814912163699563,0.3138411806705217,0.3138411806705217,1.1769044275144562,0.4707617710057825,0.7061426565086738,3.311751751088738,2.6840833855238433
9.0,2021,2,8,5,20,6,12,0,19,32,127453,60391,67062,4.001475053549151,0.6276823613410434,0.3923014758381521,1.5692059033526085,0.4707617710057825,0.941523542011565,5.2988028017419815,2.833199129164057
9.0,2021,3,15,3,21,13,15,0,27,40,127453,60391,67062,5.256839776231239,1.1769044275144562,0.23538088550289124,1.6476661985202388,1.0199838371791954,1.1769044275144562,6.623503502177476,4.026125078285766
9.0,2021,4,14,3,25,8,6,0,30,26,127453,60391,67062,4.393776529387304,1.098444132346826,0.23538088550289124,1.9615073791907605,0.6276823613410434,0.4707617710057825,4.30527727641536,4.4734723092064055
