codigo_localidad,AÑO,quarter,theft_to_people,homicide,sexual,theft_to_vehicle,theft_to_motorbike,dia_Domingo,dia_Jueves,dia_Lunes,dia_Martes,dia_Miércoles,dia_Sábado,dia_Viernes,genero_FEMENINO,genero_MASCULINO,TOTAL_POBLACION,crime_index,theft_to_people_index,homicide_index,sexual_index,theft_to_vehicle_index,theft_to_motorbike_index
5.0,2015,2,160,32,37,23,23,40,34,37,35,46,41,42,109,165,346583,0.000793460729464515,0.00046164987896117236,9.232997579223447e-05,0.00010675653450977111,6.636217010066852e-05,6.636217010066852e-05
5.0,2015,3,138,29,48,31,27,41,49,31,38,36,34,44,102,171,346583,0.0007876901059775004,0.00039817302060401116,8.367404056171249e-05,0.0001384949636883517,8.944466404872714e-05,7.790341707469783e-05
5.0,2015,4,135,33,28,17,26,23,34,28,50,40,28,36,73,166,346583,0.0006895895066982512,0.0003895170853734892,9.52152875357418e-05,8.078872881820517e-05,4.905029963962456e-05,7.501810533119051e-05
5.0,2016,1,245,34,67,12,26,36,60,56,48,71,56,57,148,235,348770,0.0011010121283367262,0.000702468675631505,9.748544886314764e-05,0.00019210367864208505,3.440662901052269e-05,7.454769618946583e-05
5.0,2016,2,189,20,43,14,23,30,56,35,32,52,37,47,108,179,348770,0.0008286263153367549,0.0005419044069157324,5.734438168420449e-05,0.00012329042062103965,4.014106717894314e-05,6.594603893683517e-05
5.0,2016,3,174,28,60,18,42,35,48,57,48,50,37,47,119,203,348770,0.0009232445451156923,0.000498896120652579,8.028213435788628e-05,0.00017203314505261346,5.160994351578404e-05,0.00012042320153682943
5.0,2016,4,199,36,33,35,30,51,58,44,52,44,39,45,107,226,348770,0.0009547839550420047,0.0005705765977578347,0.00010321988703156809,9.461822977893741e-05,0.00010035266794735786,8.601657252630673e-05
5.0,2017,1,299,24,61,21,47,58,57,68,56,91,61,61,167,285,351225,0.0012869243362516906,0.0008513061427859634,6.833226564168268e-05,0.00017367784183927682,5.979073243647235e-05,0.00013381735354829526
5.0,2017,2,293,36,54,18,35,53,60,66,71,71,59,56,176,260,351225,0.0012413694924905687,0.0008342230763755428,0.00010249839846252402,0.00015374759769378604,5.124919923126201e-05,9.96512207274539e-05
5.0,2017,3,347,27,48,19,24,50,64,63,86,71,64,67,201,264,351225,0.001323937646807602,0.0009879706740693287,7.687379884689302e-05,0.00013666453128336536,5.4096376966332124e-05,6.833226564168268e-05
5.0,2017,4,413,14,39,16,35,54,71,72,68,77,90,85,211,306,351225,0.0014719908890312478,0.001175884404583956,3.986048829098156e-05,0.00011103993166773435,4.555484376112179e-05,9.96512207274539e-05
5.0,2018,1,400,23,88,20,36,57,94,73,74,94,89,86,240,326,355461,0.0015951117000177234,0.0011252992592717627,6.470470740812635e-05,0.0002475658370397878,5.626496296358813e-05,0.00010127693333445863
5.0,2018,2,467,24,73,22,62,51,117,84,97,101,92,106,265,382,355461,0.0018229848000202555,0.0013137868851997828,6.751795555630575e-05,0.00020536711481709667,6.189145925994695e-05,0.0001744213851871232
5.0,2018,3,511,16,117,19,49,80,116,94,104,104,99,115,329,380,355461,0.002003032681503737,0.0014375698037196766,4.50119703708705e-05,0.00032915003333699056,5.345171481540872e-05,0.00013784915926079092
5.0,2018,4,519,28,78,23,32,71,110,92,127,79,90,111,287,390,355461,0.0019130087407619963,0.001460075788905112,7.877094814902338e-05,0.00021943335555799372,6.470470740812635e-05,9.0023940741741e-05
5.0,2019,1,370,14,37,11,26,38,71,52,64,86,71,76,185,273,366436,0.0012498771954720606,0.0010097261186128,3.8205853136700544e-05,0.00010097261186128001,3.0018884607407568e-05,7.095372725387244e-05
6.0,2015,1,210,8,21,15,27,30,34,34,41,48,45,49,108,173,170388,0.0016491771721013216,0.0012324811606451158,4.695166326267108e-05,0.00012324811606451158,8.803436861750828e-05,0.00015846186351151488
6.0,2015,2,198,10,13,23,31,29,49,27,40,47,37,46,86,189,170388,0.0016139634246543184,0.0011620536657511093,5.868957907833885e-05,7.62964528018405e-05,0.00013498603188017935,0.00018193769514285044
6.0,2015,3,161,17,17,18,33,34,39,29,41,45,25,33,78,168,170388,0.0014437636453271357,0.0009449022231612555,9.977228443317605e-05,9.977228443317605e-05,0.00010564124234100993,0.0001936756109585182
6.0,2015,4,136,11,12,26,32,30,29,31,33,28,34,32,67,150,170388,0.001273563865999953,0.0007981782754654084,6.455853698617273e-05,7.042749489400662e-05,0.000152592905603681,0.00018780665305068433
6.0,2016,1,275,5,50,24,27,40,71,52,56,54,54,54,160,221,170248,0.0022379117522672806,0.0016152906348385885,2.936892063342888e-05,0.0002936892063342888,0.00014097081904045864,0.00015859217142051595
6.0,2016,2,236,15,12,26,19,35,44,59,41,46,47,36,86,222,170248,0.001809125511019219,0.001386213053897843,8.810676190028664e-05,7.048540952022932e-05,0.00015271838729383018,0.00011160189840702975
6.0,2016,3,254,5,33,28,31,35,57,50,59,53,41,56,112,239,170248,0.002061698228466707,0.0014919411681781872,2.936892063342888e-05,0.00019383487618063061,0.00016446595554720173,0.00018208730792725907
6.0,2016,4,194,9,16,26,24,23,44,27,51,47,41,36,94,175,170248,0.0015800479300784737,0.0011395141205770406,5.286405714017198e-05,9.398054602697242e-05,0.00015271838729383018,0.00014097081904045864
6.0,2017,1,324,6,21,24,32,51,60,61,63,64,64,44,166,241,170440,0.002387937103966205,0.0019009622154423844,3.520300398967379e-05,0.00012321051396385824,0.00014081201595869515,0.00018774935461159353
6.0,2017,2,292,8,21,26,21,30,63,53,55,61,50,56,144,224,170440,0.0021591175780333255,0.001713212860830791,4.693733865289838e-05,0.00012321051396385824,0.00015254635062191975,0.00012321051396385824
6.0,2017,3,437,8,13,24,21,57,79,63,65,78,85,76,207,296,170440,0.0029511851678009856,0.002563952123914574,4.693733865289838e-05,7.627317531095987e-05,0.00014081201595869515,0.00012321051396385824
6.0,2017,4,503,4,18,24,20,60,88,69,83,85,94,90,221,348,170440,0.0033384182116873973,0.0029511851678009856,2.346866932644919e-05,0.00010560901196902135,0.00014081201595869515,0.00011734334663224596
6.0,2018,1,437,5,28,28,25,41,78,73,87,78,68,98,200,322,171632,0.0030472173021348,0.002546145240980703,2.913209657872658e-05,0.00016313974084086885,0.00016313974084086885,0.0001456604828936329
6.0,2018,2,568,3,36,18,37,60,95,105,104,103,93,102,278,384,171632,0.003857089587023399,0.0033094061713433392,1.747925794723595e-05,0.00020975109536683137,0.00010487554768341568,0.00021557751468257667
6.0,2018,3,590,10,47,37,31,77,115,97,116,102,94,114,288,427,171632,0.004165889810757901,0.003437587396289736,5.826419315745316e-05,0.00027384170784002984,0.00021557751468257667,0.00018061899878810478
6.0,2018,4,569,4,31,40,19,62,102,105,85,99,99,111,269,394,171632,0.003862916006339144,0.0033152325906590846,2.3305677262981263e-05,0.00018061899878810478,0.00023305677262981263,0.000110701966999161
6.0,2019,1,375,24,13,17,10,35,82,47,62,74,69,70,162,277,175481,0.002501695340236265,0.0021369834910902035,0.00013676694342977302,7.408209435779373e-05,9.687658492942256e-05,5.698622642907209e-05
7.0,2015,1,281,31,64,15,65,49,64,72,74,68,59,70,150,305,671404,0.0006791737910408636,0.000418525954566848,4.617190246111134e-05,9.532263733906859e-05,2.2341243126344197e-05,9.681205354749152e-05
7.0,2015,2,190,36,39,15,84,40,56,61,59,44,47,57,109,255,671404,0.0005421474998659525,0.00028298907960035987,5.361898350322608e-05,5.8087232128494914e-05,2.2341243126344197e-05,0.00012511096150752751
7.0,2015,3,291,24,85,18,103,54,82,69,89,97,70,60,193,328,671404,0.0007759858445883552,0.0004334201166510774,3.5745989002150714e-05,0.00012660037771595046,2.680949175161304e-05,0.0001534098694675635
7.0,2015,4,264,39,42,36,90,39,78,47,83,72,73,79,133,338,671404,0.0007015150341672078,0.0003932058790236579,5.8087232128494914e-05,6.255548075376376e-05,5.361898350322608e-05,0.00013404745875806519
7.0,2016,1,481,24,72,26,89,77,93,95,132,118,81,96,272,420,677908,0.0010207874814871635,0.0007095358072186787,3.540303404001723e-05,0.00010620910212005169,3.8353286876685334e-05,0.00013128625123173056
7.0,2016,2,334,33,62,25,70,55,74,71,73,93,74,84,173,351,677908,0.0007729662432070429,0.0004926922237235731,4.867917180502369e-05,9.145783793671118e-05,3.687816045835128e-05,0.00010325884928338359
7.0,2016,3,414,32,72,26,83,74,87,74,97,99,85,111,219,408,677908,0.0009249042642954502,0.0006107023371902972,4.7204045386689636e-05,0.00010620910212005169,3.8353286876685334e-05,0.00012243549272172624
7.0,2016,4,361,36,45,25,61,65,66,77,75,87,86,72,176,352,677908,0.0007788667488803791,0.0005325206370185925,5.310455106002584e-05,6.63806888250323e-05,3.687816045835128e-05,8.998271151837713e-05
7.0,2017,1,669,25,76,29,83,82,137,111,124,146,137,145,330,552,684570,0.001288400017529252,0.0009772557956089223,3.651927487327812e-05,0.00011101859561476548,4.2362358853002617e-05,0.00012124399257928335
7.0,2017,2,634,32,89,32,72,96,122,117,138,134,122,130,330,528,684570,0.0012548022846458362,0.0009261288107863331,4.6744671837795986e-05,0.0001300086185488701,4.6744671837795986e-05,0.00010517551163504097
7.0,2017,3,774,34,50,38,88,99,144,135,128,176,149,153,408,576,684570,0.0014373986590122266,0.0011306367500766904,4.966621382765824e-05,7.303854974655623e-05,5.550929780738274e-05,0.00012854784755393897
7.0,2017,4,905,31,40,46,82,123,162,135,162,169,175,178,396,706,684570,0.0016126911784039616,0.0013219977504126679,4.528390084286486e-05,5.8430839797244984e-05,6.719546576683173e-05,0.00011978322158435223
7.0,2018,1,921,25,108,44,111,104,206,151,169,204,182,193,471,737,694397,0.0017410789505138992,0.0013263306149076104,3.600245968804589e-05,0.00015553062585235824,6.336432905096077e-05,0.00015985092101492373
7.0,2018,2,1120,23,137,39,151,147,214,218,246,217,190,238,609,861,694397,0.002116944629657098,0.0016129101940244557,3.3122262913002213e-05,0.00019729347909049145,5.616383711335158e-05,0.00021745485651579715
7.0,2018,3,1094,28,183,64,145,177,236,183,220,279,188,231,602,911,694397,0.002180308958708059,0.001575467635948888,4.032275485061139e-05,0.0002635380049164959,9.216629680139748e-05,0.00020881426619066615
7.0,2018,4,1161,26,100,50,139,159,228,204,227,215,228,215,580,889,694397,0.002125585219982229,0.001671954227912851,3.7442558075567724e-05,0.00014400983875218355,7.200491937609177e-05,0.00020017367586553514
7.0,2019,1,773,12,42,23,92,90,154,135,153,133,132,145,347,594,707173,0.001332064431192933,0.0010930847190150077,1.6968973645769848e-05,5.9391407760194467e-05,3.252386615439221e-05,0.00013009546461756883
8.0,2015,1,657,34,78,111,134,131,145,135,167,132,150,154,333,680,1001537,0.0010124438737660216,0.0006559917406945524,3.3947822197282776e-05,7.788029798200167e-05,0.00011082965482054083,0.00013379435807164388
8.0,2015,2,650,39,64,99,151,119,152,122,166,158,129,157,297,706,1001537,0.0010014607548198419,0.0006490024831833472,3.8940148991000835e-05,6.39017829595911e-05,9.88480705156175e-05,0.00015076826917028528
8.0,2015,3,665,33,103,170,170,140,154,167,161,199,150,170,365,776,1001537,0.0011392489743264603,0.0006639794635645013,3.2949356838539165e-05,0.00010284193195059193,0.00016973911098641388,0.00016973911098641388
8.0,2015,4,731,43,58,127,143,126,173,144,159,175,162,163,312,790,1001537,0.0011003088253354594,0.0007298781772415797,4.2934010425975275e-05,5.791099080712944e-05,0.0001268051005604386,0.0001427805463003364
8.0,2016,1,1307,27,112,152,154,188,268,259,256,290,234,257,592,1157,1004979,0.0017433200096718439,0.0013005246875805365,2.6866233025764717e-05,0.00011144511477354253,0.00015124694147837915,0.00015323703281362098
8.0,2016,2,925,46,84,182,152,175,186,170,204,216,214,224,413,975,1004979,0.0013821184323254516,0.0009204172425493468,4.577210071056211e-05,8.358383608015689e-05,0.0001810983115070066,0.00015124694147837915
8.0,2016,3,1061,48,96,186,172,159,241,205,217,224,221,296,480,1083,1004979,0.0015552563784914908,0.0010557434533457913,4.776219204580394e-05,9.552438409160789e-05,0.00018507849417749028,0.00017114785483079745
8.0,2016,4,1002,33,78,180,140,171,217,164,219,212,214,236,476,957,1004979,0.0014259004417007718,0.0009970357589561573,3.283650703149021e-05,7.761356207443141e-05,0.00017910822017176478,0.00013930639346692816
8.0,2017,1,1831,31,98,208,159,269,335,277,328,323,386,409,821,1506,1009665,0.002304724834474801,0.001813472785527873,3.0703253059183e-05,9.706189676773979e-05,0.00020600892375193753,0.00015747797536806761
8.0,2017,2,1654,30,125,174,118,245,320,259,330,311,329,307,769,1332,1009665,0.0020808882153981766,0.0016381671148351187,2.9712825541144836e-05,0.00012380343975477014,0.00017233438813864005,0.00011687044712850302
8.0,2017,3,2279,30,115,179,137,262,409,329,413,397,481,449,1055,1684,1009665,0.002713771399424562,0.0022571843136089693,2.9712825541144836e-05,0.00011389916457438853,0.00017728652572883085,0.00013568856997122808
