codigo_upz,AÑO,quarter,theft_to_people,homicide,sexual,theft_to_vehicle,theft_to_motorbike,genero_-,genero_FEMENINO,genero_MASCULINO,TOTAL_POBLACION,Hombre,Mujer,crime_index,theft_to_people_index,homicide_index,sexual_index,theft_to_vehicle_index,theft_to_motorbike_index,male_index,female_index
2.0,2022,1,2,0,0,0,0,0,0,2,6160,2976,3184,3.2467532467532467,3.2467532467532467,0.0,0.0,0.0,0.0,6.720430107526882,0.0
2.0,2022,2,0,1,0,1,0,0,1,1,6160,2976,3184,3.2467532467532467,0.0,1.6233766233766234,0.0,1.6233766233766234,0.0,3.360215053763441,3.14070351758794
2.0,2022,3,1,0,0,2,0,0,1,2,6160,2976,3184,4.87012987012987,1.6233766233766234,0.0,0.0,3.2467532467532467,0.0,6.720430107526882,3.14070351758794
2.0,2022,4,1,0,0,1,1,0,0,3,6160,2976,3184,4.87012987012987,1.6233766233766234,0.0,0.0,1.6233766233766234,1.6233766233766234,10.080645161290322,0.0
2.0,2023,1,0,0,0,2,0,0,0,2,6720,3239,3481,2.9761904761904763,0.0,0.0,0.0,2.9761904761904763,0.0,6.174745291756715,0.0
2.0,2023,2,0,1,0,1,0,0,0,2,6720,3239,3481,2.9761904761904763,0.0,1.4880952380952381,0.0,1.4880952380952381,0.0,6.174745291756715,0.0
2.0,2023,3,0,0,0,3,0,0,0,3,6720,3239,3481,4.464285714285714,0.0,0.0,0.0,4.464285714285714,0.0,9.262117937635072,0.0
3.0,2015,1,1,0,0,1,1,0,0,3,1886,911,975,15.906680805938494,5.302226935312832,0.0,0.0,5.302226935312832,5.302226935312832,32.93084522502744,0.0
3.0,2015,2,0,0,1,0,0,0,1,0,1886,911,975,5.302226935312832,0.0,0.0,5.302226935312832,0.0,0.0,0.0,10.256410256410257
3.0,2015,3,1,0,0,0,0,0,0,1,1886,911,975,5.302226935312832,5.302226935312832,0.0,0.0,0.0,0.0,10.976948408342482,0.0
3.0,2015,4,6,0,0,0,0,0,4,2,1886,911,975,31.81336161187699,31.81336161187699,0.0,0.0,0.0,0.0,21.953896816684964,41.02564102564103
3.0,2016,1,4,0,0,0,0,0,2,2,1941,937,1004,20.607934054611025,20.607934054611025,0.0,0.0,0.0,0.0,21.344717182497334,19.9203187250996
