ZAT,AÑO,quarter,theft_to_people,homicide,sexual,theft_to_vehicle,theft_to_motorbike,dia_Domingo,dia_Jueves,dia_Lunes,dia_Martes,dia_Miércoles,dia_Sábado,dia_Viernes,genero_FEMENINO,genero_MASCULINO
25.0,2015,3,2,0,1,0,1,0,0,1,1,1,1,0,3,1
25.0,2015,4,7,0,2,2,0,2,2,0,0,4,2,1,4,7
25.0,2016,1,6,0,0,0,0,1,1,1,1,1,1,0,1,5
25.0,2016,2,7,0,3,1,1,2,3,1,2,0,3,1,6,6
25.0,2016,3,13,0,3,1,0,2,0,5,1,2,3,4,8,9
25.0,2016,4,15,0,0,0,0,3,2,1,2,3,2,2,3,12
25.0,2017,1,17,2,0,1,0,2,3,4,2,3,4,2,6,14
25.0,2017,2,9,0,0,0,0,1,2,3,1,0,1,1,3,6
25.0,2017,3,19,0,1,2,0,2,3,2,3,5,4,3,9,13
25.0,2017,4,27,0,0,0,0,4,3,3,7,5,1,4,11,16
25.0,2018,1,37,0,2,2,1,2,4,3,8,11,7,7,18,23
25.0,2018,2,23,0,0,0,0,2,4,3,2,4,3,5,6,17
25.0,2018,3,22,0,1,1,0,3,2,6,1,5,2,5,10,14
25.0,2018,4,23,1,0,1,0,2,1,5,1,2,9,5,9,16
25.0,2019,1,13,0,0,0,1,1,2,2,4,0,2,3,4,10
26.0,2015,1,28,0,0,0,0,4,7,4,8,3,2,0,11,17
26.0,2015,2,17,0,0,0,0,2,2,2,3,4,2,2,7,10
26.0,2015,3,11,0,0,0,0,0,1,1,1,3,2,3,6,5
26.0,2015,4,20,0,0,0,0,1,6,1,3,2,1,6,15,5
26.0,2016,1,17,0,1,0,0,1,3,4,6,2,1,1,12,6
26.0,2016,2,17,0,1,1,0,0,2,0,5,5,3,4,6,13
26.0,2016,3,21,0,2,0,0,3,5,1,3,3,3,5,10,13
26.0,2016,4,17,0,0,0,0,1,5,3,2,3,1,2,12,5
26.0,2017,1,29,0,0,0,1,3,4,5,3,6,5,4,13,17
26.0,2017,2,31,0,0,0,0,2,2,5,5,6,8,3,8,23
26.0,2017,3,54,0,0,1,0,6,4,7,8,10,7,13,21,34
26.0,2017,4,93,0,0,0,0,6,17,12,14,20,6,18,37,56
26.0,2018,1,87,0,0,1,0,5,15,11,15,21,11,10,43,45
26.0,2018,2,91,0,1,0,0,5,22,12,14,12,10,17,46,46
26.0,2018,3,103,0,3,2,0,12,11,16,13,14,19,23,58,50
26.0,2018,4,89,1,0,1,0,6,14,10,19,9,11,22,33,58
26.0,2019,1,90,0,0,1,1,6,21,7,12,16,15,15,40,52
27.0,2015,1,45,0,2,2,0,6,13,4,8,5,6,7,21,28
27.0,2015,2,18,0,1,2,0,3,4,2,3,2,3,4,4,17
27.0,2015,3,22,0,3,3,0,2,5,2,5,3,6,5,13,15
27.0,2015,4,21,0,2,0,1,2,2,2,2,10,3,3,10,14
27.0,2016,1,33,0,4,1,0,5,6,1,6,7,7,6,14,24
27.0,2016,2,31,1,0,2,0,2,6,2,8,4,7,5,12,22
27.0,2016,3,26,0,1,2,0,1,5,2,3,6,7,5,10,19
27.0,2016,4,24,2,0,1,0,1,3,1,9,3,4,6,12,15
27.0,2017,1,57,1,1,0,0,8,4,16,8,7,6,10,31,28
27.0,2017,2,52,1,2,1,0,7,6,5,14,7,6,11,24,32
27.0,2017,3,66,0,1,2,1,8,10,5,16,13,6,12,35,35
27.0,2017,4,81,0,0,1,0,4,17,10,13,11,12,15,34,48
27.0,2018,1,112,0,2,3,1,8,24,12,21,18,11,24,44,74
27.0,2018,2,120,0,2,2,3,7,16,22,20,16,19,27,52,75
27.0,2018,3,93,0,3,3,1,12,17,11,19,14,11,16,42,58
27.0,2018,4,97,1,1,0,0,2,16,16,20,19,7,19,32,67
27.0,2019,1,78,0,3,2,1,6,18,10,20,9,9,12,34,50
28.0,2015,1,3,0,0,0,0,0,0,0,2,0,0,1,2,1
28.0,2015,2,3,0,0,0,0,1,0,0,0,1,0,1,1,2
28.0,2015,3,6,0,1,0,0,1,0,1,4,1,0,0,4,3
28.0,2015,4,6,0,0,0,0,1,1,1,1,2,0,0,3,3
