codigo_localidad,AÑO,semester,theft_to_people,homicide,sexual,theft_to_vehicle,theft_to_motorbike,dia_Domingo,dia_Jueves,dia_Lunes,dia_Martes,dia_Miércoles,dia_Sábado,dia_Viernes,genero_FEMENINO,genero_MASCULINO,TOTAL_POBLACION,Hombre,Mujer,crime_index,theft_to_people_index,homicide_index,sexual_index,theft_to_vehicle_index,theft_to_motorbike_index,male_index,female_index
6.0,2016,1,511,20,62,50,46,75,115,111,97,100,101,90,246,443,170248,83365,86883,40.470372632865,30.015036887364317,1.1747568253371552,3.6417461585451814,2.936892063342888,2.7019406982754566,53.13980687338811,28.313939435792964
6.0,2016,2,448,14,49,54,55,58,101,77,110,100,82,92,206,414,170248,83365,86883,36.41746158545181,26.314552887552278,0.8223297777360087,2.8781542220760303,3.171843428410319,3.230581269677177,49.661128771067,23.710046844607117
6.0,2017,1,616,14,42,50,53,81,123,114,118,125,114,100,310,465,170440,83545,86895,45.470546819995306,36.14175076273175,0.8214034264257216,2.464210279277165,2.933583665806149,3.1095986857545177,55.65862708719852,35.67524023246447
6.0,2017,2,940,12,31,48,41,117,167,132,148,163,179,166,428,644,170440,83545,86895,62.89603379488383,55.1513729171556,0.7040600797934757,1.8188218727998122,2.816240319173903,2.405538605961042,77.08420611646419,49.25484780482191
6.0,2018,1,1005,8,64,46,62,101,173,178,191,181,161,200,478,706,171632,83369,88263,69.043068891582,58.555514123240414,0.4661135452596253,3.7289083620770023,2.6801528852428453,3.6123799757620954,84.68375535270904,54.156328246264
6.0,2018,2,1159,14,78,77,50,139,217,202,201,201,193,225,557,821,171632,83369,88263,80.28805817097044,67.5281998694882,0.8156987042043442,4.544607066281346,4.486342873123893,2.913209657872658,98.47785147956674,63.10685111541643
6.0,2019,1,375,24,13,17,10,35,82,47,62,74,69,70,162,277,175481,85805,89676,25.01695340236265,21.369834910902036,1.3676694342977302,0.7408209435779373,0.9687658492942256,0.569862264290721,32.28250101975409,18.06503412284223
7.0,2015,1,471,67,103,30,149,89,120,133,133,112,106,127,259,560,671404,325275,346129,12.213212909068163,7.0151503416720775,0.9979088596433742,1.534098694675635,0.4468248625268839,2.2192301505501906,17.216201675505342,7.4827593180577185
7.0,2015,2,555,63,127,54,193,93,160,116,172,169,143,139,326,666,671404,325275,346129,14.77500878755563,8.266259956747353,0.9383322113064564,1.891558584697142,0.8042847525483912,2.8745732822562866,20.47498270694028,9.41845381346261
7.0,2016,1,815,57,134,51,159,132,167,166,205,211,155,180,445,771,677908,327737,350171,17.937537246942064,12.022280309422516,0.8408220584504092,1.9766694005676286,0.752314473350366,2.3454510051511415,23.524960562890367,12.708076910994913
7.0,2016,2,775,68,117,51,144,139,153,151,172,186,171,183,395,760,677908,327737,350171,17.037710131758292,11.432229742088897,1.0030859644671548,1.72589790945084,0.752314473350366,2.1241820424010336,23.189325587284927,11.280203100770766
7.0,2017,1,1303,57,165,61,155,178,259,228,262,280,259,275,660,1080,684570,330392,354178,25.43202302175088,19.033846063952552,0.8326394671107411,2.410272141636356,0.891070306907986,2.264195042143243,32.68844281943873,18.634697807317224
7.0,2017,2,1679,65,90,84,170,222,306,270,290,345,324,331,804,1282,684570,330392,354178,30.50089837416188,24.52634500489358,0.9495011467052311,1.314693895438012,1.2270476357421447,2.4833106913829117,38.80239230974115,22.700450056186437
7.0,2018,1,2041,48,245,83,262,251,420,369,415,421,372,431,1080,1598,694397,334223,360174,38.58023580170997,29.392408089320664,0.691247226010481,3.5282410494284973,1.1952816616431234,3.7730577753072088,47.81238873446771,29.985507004947607
7.0,2018,2,2255,54,283,114,284,336,464,387,447,494,416,446,1182,1800,694397,334223,360174,43.058941786902885,32.47421863861739,0.7776531292617912,4.075478436686795,1.6417121617748924,4.089879420562013,53.85625764833659,32.81747155541488
7.0,2019,1,773,12,42,23,92,90,154,135,153,133,132,145,347,594,707173,340010,367163,13.320644311929328,10.930847190150077,0.16968973645769847,0.5939140776019447,0.32523866154392206,1.3009546461756882,17.47007440957619,9.450843358399403
8.0,2015,1,1307,73,142,210,285,250,297,257,333,290,279,311,630,1386,1001537,483553,517984,20.139046285858633,13.049942238778996,0.7288797118828361,1.4178208094159277,2.096777253361583,2.845626272419292,28.662835304506434,12.16253783900661
8.0,2015,2,1396,76,161,297,313,266,327,311,320,374,312,333,677,1566,1001537,483553,517984,22.395577996619195,13.93857640806081,0.7588336726451445,1.6075292275772137,2.965442115468525,3.125196572867503,32.38528144794883,13.06990177302774
8.0,2016,1,2232,73,196,334,306,363,454,429,460,506,448,481,1005,2132,1004979,484709,520270,31.254384419972954,22.209419301298833,0.7263833373632683,1.9502895085369945,3.3234525298538578,3.0448397429200016,43.98515397898533,19.316893151632804
8.0,2016,2,2063,81,174,366,312,330,458,369,436,436,435,532,956,2040,1004979,484709,520270,29.811568201922626,20.527792123019484,0.8059869907729416,1.7313794616603928,3.6418671434925507,3.1045424829772563,42.08710793486401,18.375074480558172
8.0,2017,1,3485,61,223,382,277,514,655,536,658,634,715,716,1590,2838,1009665,486609,523056,43.856130498729776,34.51639900362992,0.6041607860032783,2.2086533652250995,3.7834331189057755,2.7434842249657065,58.321979248225986,30.39827475451959
