codigo_municipio,year,cantidad_oxxo,dummy_oxxo,cantidad_ara,dummy_ara,cantidad_d1,dummy_d1,cantidad_jb,dummy_jb,crime_count,population,crime_rate_per_100k_inhabitants
13052,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,59637.0,11.737679628418599
13062,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8537.0,0.0
13074,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13654.0,0.0
13140,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,19812.0,35.332121946295175
13160,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6207.0,0.0
13188,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10070.0,0.0
13212,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14894.0,0.0
13222,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12674.0,7.8901688496133815
13244,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,68564.0,21.877370048421913
13248,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8027.0,0.0
13268,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10338.0,9.67305088024763
13300,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13421.0,0.0
13430,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,119009.0,99.15216496231378
13433,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,24395.0,12.297601967616316
13440,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9518.0,0.0
13442,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,40217.0,27.351617475197056
13458,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11623.0,0.0
13468,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,40150.0,14.9439601494396
13473,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,17286.0,17.355085039916695
13490,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13549,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21921.0,4.56183568267871
13580,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5517.0,0.0
13600,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14704.0,0.0
13620,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7329.0,0.0
13647,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16408.0,6.094588005850804
13650,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10861.0,18.414510634379894
13654,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24563.0,4.0711639457720965
13655,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7343.0,0.0
13657,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,34188.0,23.4000234000234
13667,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,22485.0,8.8948187680676
13670,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,23480.0,12.776831345826237
13673,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12581.0,7.948493760432397
13683,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,17488.0,11.436413540713632
13688,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,24770.0,56.51998385143318
13744,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,13987.0,21.448487881604347
13760,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9791.0,0.0
13780,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15035.0,0.0
13810,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15812.0,0.0
13836,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,83448.0,23.96702137858307
13838,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14256.0,7.014590347923682
13873,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,20520.0,9.746588693957115
13894,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11564.0,0.0
15001,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.0,140936.0,230.60112391440086
15022,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4415.0,0.0
15047,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,15694.0,50.97489486427934
15051,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5230.0,57.361376673040155
15087,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7963.0,0.0
15090,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1823.0,0.0
15092,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2287.0,0.0
15097,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8185.0,12.217470983506415
15104,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5179.0,57.926240586985905
15106,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2579.0,77.54943776657619
15109,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4885.0,40.941658137154555
