LONGITUD,LATITUD,nombre_localidad,nombre_upz,FECHA_HECHO,HORA_HECHO,DIA,MES,AÑO,DIA_SEMANA,DIRECCION_HECHO,GENERO,theft_to_people,theft_to_vehicle,theft_to_motorbike,sexual,homicide
-74.15049999999997,4.6318499998479465,KENNEDY,CASTILLA,2023-08-16,00:00:00,16,8,2023,Miércoles,CIUDAD KENNEDY NORTE,MASCULINO,0,1,0,0,0
-74.15439999999995,4.5729699998498825,CIUDAD BOLÍVAR,JERUSALEM,2023-02-12,00:00:00,12,2,2023,Domingo,LOS LAURELES II,MASCULINO,0,1,0,0,0
-74.10829999999999,4.753479999843973,SUBA,TIBABUYES,2023-01-28,00:00:00,28,1,2023,Sábado,SABANA DE TIBABUYES NORTE,FEMENINO,0,1,0,0,0
-74.09629999999999,4.588149999849373,ANTONIO NARIÑO,RESTREPO,2023-08-12,00:00:00,12,8,2023,Sábado,SAN ANTONIO,MASCULINO,0,1,0,0,0
-74.12559999999996,4.704719999845607,ENGATIVÁ,GARCES NAVAS,2023-05-18,00:00:00,18,5,2023,Jueves,SAN ANTONIO ENGATIVA,FEMENINO,0,1,0,0,0
-74.15359999999998,4.61423999984854,KENNEDY,TIMIZA,2023-01-23,00:00:00,23,1,2023,Lunes,TIMIZA B,FEMENINO,0,1,0,0,0
-74.10279999999995,4.698909999845796,ENGATIVÁ,BOYACA REAL,2023-05-25,00:00:00,25,5,2023,Jueves,LA SOLEDAD NORTE,FEMENINO,0,1,0,0,0
-74.05629999999996,4.667839999846811,CHAPINERO,CHICO LAGO,2023-03-22,00:00:00,22,3,2023,Miércoles,EL RETIRO,MASCULINO,0,1,0,0,0
-74.16969999999998,4.628549999848091,KENNEDY,CORABASTOS,2023-03-08,00:00:00,8,3,2023,Miércoles,TINTALITO,MASCULINO,0,1,0,0,0
-74.09499999999997,4.690109999846074,ENGATIVÁ,BOYACA REAL,2023-07-28,00:00:00,28,7,2023,Viernes,SANTA MARIA,MASCULINO,0,1,0,0,0
-74.09169999999995,4.557709999850363,SAN CRISTÓBAL,20 DE JULIO,2023-01-06,00:00:00,6,1,2023,Viernes,ATENAS,FEMENINO,0,1,0,0,0
-74.12889999999999,4.6226299998482885,KENNEDY,AMERICAS,2023-04-25,00:00:00,25,4,2023,Martes,HIPOTECHO SUR,MASCULINO,0,1,0,0,0
-74.13339999999994,4.649499999847379,KENNEDY,CASTILLA,2023-01-21,00:00:00,21,1,2023,Sábado,VISION DE ORIENTE,MASCULINO,0,1,0,0,0
-74.11139999999995,4.581829999849559,RAFAEL URIBE URIBE,QUIROGA,2023-01-12,00:00:00,12,1,2023,Jueves,QUIROGA I,MASCULINO,0,1,0,0,0
-74.03319999999997,4.758149999843857,USAQUÉN,VERBENAL,2023-04-09,00:00:00,9,4,2023,Domingo,SAN JOSE DE USAQUEN,MASCULINO,0,1,0,0,0
