LONGITUD,LATITUD,codigo_localidad,nombre_localidad,codigo_upz,nombre_upz,FECHA_HECHO,HORA_HECHO,GENERO,AÑO,theft_to_motorcycles
-74.11949770599995,4.598778060849067,16,PUENTE ARANDA,41,MUZU,2019-01-31,00:00:00,FEMENINO,2019,1
-74.17335759899998,4.615815396848497,08,KENNEDY,81,GRAN BRITALIA,2019-07-02,00:00:00,MASCULINO,2019,1
-74.04017144299996,4.692257278845988,01,USAQUÉN,16,SANTA BARBARA,2021-08-11,00:00:00,MASCULINO,2021,1
-74.07494832899994,4.652525756847273,12,BARRIOS UNIDOS,98,LOS ALCAZARES,2018-02-05,00:00:00,MASCULINO,2018,1
-74.18048324599994,4.591294289849289,19,CIUDAD BOLÍVAR,69,ISMAEL PERDOMO,2018-07-26,00:00:00,MASCULINO,2018,1
-74.11987844499998,4.645950684847512,09,FONTIBÓN,112,GRANJAS DE TECHO,2018-05-15,00:00:00,MASCULINO,2018,1
-74.08119536399994,4.616452296848434,14,LOS MÁRTIRES,102,LA SABANA,2021-01-02,00:00:00,MASCULINO,2021,1
-74.08156797499998,4.649563539847365,13,TEUSAQUILLO,106,LA ESMERALDA,2019-07-04,00:00:00,MASCULINO,2019,1
-74.10199934799994,4.720899556845067,10,ENGATIVÁ,29,MINUTO DE DIOS,2019-06-27,00:00:00,FEMENINO,2019,1
-74.09388324899999,4.570372036849931,04,SAN CRISTÓBAL,34,20 DE JULIO,2020-11-19,00:00:00,MASCULINO,2020,1
-74.06892797599994,4.626773764848129,13,TEUSAQUILLO,101,TEUSAQUILLO,2021-01-27,00:00:00,MASCULINO,2021,1
-74.09972543699996,4.582904779849535,15,ANTONIO NARIÑO,38,RESTREPO,2019-02-08,00:00:00,MASCULINO,2019,1
-74.14594835499997,4.644740991847528,08,KENNEDY,46,CASTILLA,2019-01-03,00:00:00,FEMENINO,2019,1
-74.16590276899996,4.681084600846368,09,FONTIBÓN,77,ZONA FRANCA,2020-08-20,00:00:00,MASCULINO,2020,1
-74.13066741299997,4.719961545845079,10,ENGATIVÁ,73,GARCES NAVAS,2020-05-03,00:00:00,MASCULINO,2020,1
-74.13395467799995,4.632006113847937,08,KENNEDY,113,BAVARIA,2018-05-03,00:00:00,MASCULINO,2018,1
-74.14359341399995,4.6746596518465715,09,FONTIBÓN,75,FONTIBON,2019-12-12,00:00:00,MASCULINO,2019,1
-74.12347706699995,4.577037778849711,18,RAFAEL URIBE URIBE,39,QUIROGA,2021-08-02,00:00:00,MASCULINO,2021,1
-74.09588275599998,4.5692270178499985,04,SAN CRISTÓBAL,34,20 DE JULIO,2019-07-23,00:00:00,MASCULINO,2019,1
-74.11205789699994,4.713367426845292,10,ENGATIVÁ,72,BOLIVIA,2020-09-25,00:00:00,MASCULINO,2020,1
-74.12075879599996,4.54168471985088,05,USME,56,DANUBIO,2020-01-27,00:00:00,MASCULINO,2020,1
-74.09580681399996,4.577972610849722,15,ANTONIO NARIÑO,35,CIUDAD JARDIN,2020-03-05,00:00:00,FEMENINO,2020,1
-74.10434782599998,4.5907499308493085,15,ANTONIO NARIÑO,38,RESTREPO,2019-08-02,00:00:00,MASCULINO,2019,1
-74.10887126799997,4.74602334284424,11,SUBA,71,TIBABUYES,2020-09-30,00:00:00,MASCULINO,2020,1
-74.10169591499994,4.62280304084826,16,PUENTE ARANDA,108,ZONA INDUSTRIAL,2018-12-06,00:00:00,FEMENINO,2018,1
-74.10980927099996,4.555815288850452,18,RAFAEL URIBE URIBE,54,MARRUECOS,2019-03-28,00:00:00,MASCULINO,2019,1
-74.16421509299994,4.610949983848646,08,KENNEDY,48,TIMIZA,2019-11-08,00:00:00,MASCULINO,2019,1
-74.11177304699999,4.50383368485215,05,USME,58,COMUNEROS,2019-01-05,00:00:00,FEMENINO,2019,1
-74.08717100999996,4.581016275849635,04,SAN CRISTÓBAL,33,SOSIEGO,2019-12-11,00:00:00,MASCULINO,2019,1
-74.07218870399998,4.7231304698450005,11,SUBA,24,NIZA,2021-06-05,00:00:00,MASCULINO,2021,1
