AÑO,FECHA_HECHO,DIA_SEMANA,GENERO,HORA_HECHO,DIRECCION_HECHO,LONGITUD,LATITUD
2018,2018-03-01,Jueves,MASCULINO,21:25:00,CL 37 F KR 72 J  SURESTE,"-74,1426800418","4,6124567363"
2018,2018-03-02,Viernes,MASCULINO,22:50:00,KR 59 B CL 129   NORTE,"-74,0722618703","4,7195283337"
2018,2018-03-03,Sábado,MASCULINO,19:50:00,KR 112  CL 78  2 NORTE,"-74,1212095943","4,7183660477"
2018,2018-03-05,Lunes,MASCULINO,22:05:00,KR 55  CL 46 SUR  SUR,"-74,142714127","4,5948895091"
2018,2018-03-06,Martes,MASCULINO,00:10:00,CL 4 SUR KR 68 C  SUR,"-74,1278676773","4,6188998816"
2018,2018-03-07,Miércoles,MASCULINO,00:30:00,KR 92  CL 73 A 16 OCCIDENTE,"-74,1105179947","4,7006071198"
2018,2018-03-07,Miércoles,MASCULINO,23:30:00,KR 28  CL 74   NORTE,"-74,0677048889","4,6637574291"
2018,2018-03-08,Jueves,MASCULINO,22:50:00,AK 72  CL 72  37 SUR,"-74,1404926653","4,6142958677"
2018,2018-03-09,Viernes,MASCULINO,21:30:00,CL 74  KR 81 B 4 SUR,"-74,2009999481","4,6075137062"
2018,2018-03-09,Viernes,MASCULINO,21:30:00,CL 74 A KR 81 B 4 NORTE,"-74,1013934341","4,6953272203"
2018,2018-03-11,Domingo,MASCULINO,22:00:00,CL 69 A KR 58  25 NOROCCIDENTE,"-74,1042687622","4,6894209108"
2018,2018-03-12,Lunes,MASCULINO,23:30:00,CL 27  KR 20 B  CENTRO,"-74,0756442276","4,6203947102"
2018,2018-03-13,Martes,MASCULINO,23:00:00,TR 54  CL 1 BSUR  ,"-74,1197067834","4,6009506536"
2018,2018-03-13,Martes,MASCULINO,22:30:00,KR 35 B CL 72 F  SUR,"-74,1586840734","4,5486011311"
2018,2018-03-13,Martes,MASCULINO,03:00:00,KR 136 A CL 144  58 ,"-74,0678221323","4,7583953711"
2018,2018-03-16,Viernes,MASCULINO,00:10:00,CL 67  KR 63  73 ,"-74,085535942","4,6703360101"
2018,2018-03-18,Domingo,MASCULINO,20:30:00,CL 48 BSUR KR 72 M 87 ,"-74,1693598367","4,6341448699"
2018,2018-03-19,Lunes,MASCULINO,22:00:00,CL 75 C KR 71 A 2 NOROCCIDENTE,"-74,0891302288","4,6918033464"
2018,2018-03-19,Lunes,MASCULINO,22:40:00,KR 51 A CL 38 SUR  SUR,"-74,112055215","4,6202503416"
2018,2018-03-20,Martes,MASCULINO,23:30:00,CL 49 C KR 39 05  SUR,"-74,1371900418","4,589554362"
2018,2018-03-20,Martes,FEMENINO,19:00:00,TR 51 A CL 1 63  SUR,"-74,1194641471","4,6087381869"
2018,2018-03-20,Martes,MASCULINO,20:30:00,CL 8 B KR 78   ,"-74,1412502863","4,6325194162"
2018,2018-03-21,Miércoles,MASCULINO,22:40:00,CL 63 B KR 35  68 ,"-74,0789111424","4,6540439009"
2018,2018-03-21,Miércoles,MASCULINO,21:30:00,DG 32 BBIS TR 12 G  SUR,"-74,1106794031","4,5689715085"
2018,2018-03-21,Miércoles,MASCULINO,23:40:00,KR 70 C CL 122 81  NORTE,"-74,1209199158","4,652935713"
2018,2018-03-21,Miércoles,MASCULINO,22:14:00,CL 5 BIS KR 41 B  NOROCCIDENTE,"-74,1077164243","4,6160957212"
2018,2018-03-22,Jueves,MASCULINO,23:30:00,KR 72 B CL 11 A  SUROCCIDENTE,"-74,1353531567","4,6432112543"
2018,2018-03-22,Jueves,MASCULINO,21:30:00,KR 5 N CL 49 GSUR 12 SUR,"-74,1193255847","4,5563849341"
2018,2018-03-23,Viernes,MASCULINO,00:00:00,CL 76  KR 55 B 6 NORESTE,"-74,0753132124","4,6743531833"
2018,2018-03-23,Viernes,MASCULINO,00:30:00,KR 21   144  75 NORESTE,"-74,0483578688","4,7262108422"
2018,2018-03-25,Domingo,MASCULINO,00:30:00,KR 61  CL 73   NORTE,"-74,0793939558","4,6737449125"
2018,2018-03-25,Domingo,MASCULINO,03:20:00,KR 27 c CL 70 37  NOROCCIDENTE,"-74,0730590717","4,6587808629"
2018,2018-03-27,Martes,MASCULINO,22:00:00,KR 22   37  82 SUR,"-74,118497881","4,5788581168"
2018,2018-03-27,Martes,MASCULINO,23:50:00,KR 68  CL 21  66 ,"-74,1462713815","4,6435980927"
2018,2018-03-29,Jueves,MASCULINO,20:00:00,AK 3  CL 10   ESTE,"-74,0695549262","4,5935421976"
2018,2018-03-29,Jueves,MASCULINO,15:30:00,TR 6 este CL 9 c  ,"-74,0640059311","4,5865150771"
2018,2018-04-01,Domingo,MASCULINO,22:12:00,CL 70  KR 113  1 ,"-74,1228666455","4,7094507785"
2018,2018-04-01,Domingo,FEMENINO,21:15:00,CL 4 D KR 54  19 ,"-74,1177541353","4,6207347647"
2018,2018-04-02,Lunes,MASCULINO,23:15:00,KR 32 A CL 23  79 NORTE,"-74,0889585847","4,6294405072"
2018,2018-04-03,Martes,FEMENINO,21:15:00,KR 70 G CL 78 A  ,"-74,0877563097","4,6934072067"
2018,2018-04-03,Martes,MASCULINO,23:55:00,KR 34  CL 29 SUR  SUR,"-74,1147885473","4,5936197897"
2018,2018-04-03,Martes,MASCULINO,22:45:00,KR 51 A CL 37 B 31 SUR,"-74,1205873219","4,6179137048"
2018,2018-04-04,Miércoles,MASCULINO,04:40:00,CL 6  KR 78 C 99 ,"-74,1488033868","4,6352570203"
2018,2018-04-04,Miércoles,MASCULINO,00:20:00,KR  C CL 75 C 31 ,"-74,090718746","4,6890664406"
2018,2018-04-05,Jueves,MASCULINO,01:00:00,CL 35 ASUR KR 22   ,"-74,1174695466","4,5794123473"
2018,2018-04-05,Jueves,MASCULINO,21:00:00,CL 47  KR 84   SUR,"-74,1734714634","4,6254247875"
2018,2018-04-05,Jueves,MASCULINO,23:30:00,KR 112 B CL 70   ,"-74,1316945916","4,7095024488"
