LONGITUD,LATITUD,codigo_localidad,nombre_localidad,codigo_upz,nombre_upz,FECHA_HECHO,HORA_HECHO,DIA,MES,AÑO,DIA_SEMANA,DIRECCION_HECHO,GENERO,theft_to_vehicle
-74.11999723599996,4.609802383848657,16,PUENTE ARANDA,40,CIUDAD MONTES,2020-06-20,00:00:00,20,6,2020,Sábado,LA CAMELIA,MASCULINO,1
-74.14947823399996,4.6318891848479415,08,KENNEDY,46,CASTILLA,2021-06-16,00:00:00,16,6,2021,Miércoles,LAS DOS AVENIDAS,MASCULINO,1
-74.07307094599997,4.638772506847739,13,TEUSAQUILLO,100,GALERIAS,2018-01-16,00:00:00,16,1,2018,Martes,ALFONSO LOPEZ,FEMENINO,1
-74.14191264699997,4.620399049848341,08,KENNEDY,44,AMERICAS,2021-03-30,00:00:00,30,3,2021,Martes,CIUDAD KENNEDY,MASCULINO,1
-74.04922025399998,4.757246764843878,11,SUBA,17,SAN JOSE DE BAVARIA,2021-03-28,00:00:00,28,3,2021,Domingo,NUEVA ZELANDIA,MASCULINO,1
-74.13692950599994,4.627787158848077,08,KENNEDY,44,AMERICAS,2018-04-15,00:00:00,15,4,2018,Domingo,HIPOTECHO,FEMENINO,1
-74.05568189999997,4.654452477847224,02,CHAPINERO,97,CHICO LAGO,2019-01-21,00:00:00,21,1,2019,Lunes,QUINTA CAMACHO,MASCULINO,1
-74.19647701999997,4.600035444849001,07,BOSA,85,BOSA CENTRAL,2020-06-12,00:00:00,12,6,2020,Viernes,JOSE MARIA CARBONEL,MASCULINO,1
-74.05026218999996,4.680498058846386,02,CHAPINERO,97,CHICO LAGO,2021-06-14,00:00:00,14,6,2021,Lunes,CHICO NORTE III SECTOR,MASCULINO,1
-74.11578161399996,4.71570496084521,10,ENGATIVÁ,72,BOLIVIA,2019-07-18,00:00:00,18,7,2019,Jueves,BOLIVIA,MASCULINO,1
-74.11173066799995,4.602893942848875,16,PUENTE ARANDA,40,CIUDAD MONTES,2020-07-30,00:00:00,30,7,2020,Jueves,REMANSO,MASCULINO,1
-74.13077317399996,4.67167800084665,09,FONTIBÓN,115,CAPELLANIA,2018-07-10,00:00:00,10,7,2018,Martes,FERROCAJA FONTIBON,MASCULINO,1
-74.10497831299995,4.709736436845436,10,ENGATIVÁ,29,MINUTO DE DIOS,2021-06-14,00:00:00,14,6,2021,Lunes,QUIRIGUA II,MASCULINO,1
-74.09515622899994,4.675913327846515,10,ENGATIVÁ,26,LAS FERIAS,2019-04-22,00:00:00,22,4,2019,Lunes,LA ESTRADA,MASCULINO,1
-74.08825501199993,4.724823204844948,11,SUBA,28,EL RINCON,2021-05-15,00:00:00,15,5,2021,Sábado,VILLA ALCAZAR,MASCULINO,1
-74.10582511399997,4.715920458845247,10,ENGATIVÁ,29,MINUTO DE DIOS,2021-02-11,00:00:00,11,2,2021,Jueves,CIUDAD BACHUE I ETAPA,MASCULINO,1
-74.09131054999995,4.680561134846388,10,ENGATIVÁ,26,LAS FERIAS,2021-06-19,00:00:00,19,6,2021,Sábado,LA ESTRADA,MASCULINO,1
-74.11586931599999,4.720825443845084,10,ENGATIVÁ,72,BOLIVIA,2020-11-25,00:00:00,25,11,2020,Miércoles,CIUDADELA COLSUBSIDIO,MASCULINO,1
-74.14227429599998,4.535937521851065,19,CIUDAD BOLÍVAR,68,EL TESORO,2021-07-16,00:00:00,16,7,2021,Viernes,EL MINUTO DE MARIA,MASCULINO,1
-74.10939999999994,4.749979999844112,11,SUBA,71,TIBABUYES,2022-09-17,00:00:00,17,9,2022,Sábado,SABANA DE TIBABUYES,MASCULINO,1
-74.10699999999997,4.594149999849206,15,ANTONIO NARIÑO,38,RESTREPO,2022-01-11,00:00:00,11,1,2022,Martes,LA FRAGUA,MASCULINO,1
-74.07309999999995,4.585859999849433,03,SANTA FE,96,LOURDES,2022-03-14,00:00:00,14,3,2022,Lunes,GIRARDOT,FEMENINO,1
-74.13429999999994,4.612039999848586,08,KENNEDY,45,CARVAJAL,2022-01-24,00:00:00,24,1,2022,Lunes,PROVIVIENDA,MASCULINO,1
-74.09759999999994,4.580259999849652,15,ANTONIO NARIÑO,35,CIUDAD JARDIN,2022-01-06,00:00:00,6,1,2022,Jueves,CIUDAD JARDIN SUR,MASCULINO,1
-74.12829999999997,4.626939999848116,08,KENNEDY,44,AMERICAS,2022-12-17,00:00:00,17,12,2022,Sábado,HIPOTECHO,MASCULINO,1
-74.17349999999993,4.6068799998487675,08,KENNEDY,48,TIMIZA,2023-02-26,00:00:00,26,2,2023,Domingo,ROMA,MASCULINO,1
-74.16359999999997,4.541379999850909,19,CIUDAD BOLÍVAR,67,LUCERO,2022-07-10,00:00:00,10,7,2022,Domingo,LA TORRE,MASCULINO,1
-74.14749999999998,4.626549999848148,08,KENNEDY,47,KENNEDY CENTRAL,2022-10-14,00:00:00,14,10,2022,Viernes,TECHO,MASCULINO,1
-74.13879999999995,4.593989999849223,06,TUNJUELITO,42,VENECIA,2022-03-13,00:00:00,13,3,2022,Domingo,VENECIA,MASCULINO,1
-74.02959999999996,4.74295999984433,01,USAQUÉN,10,LA URIBE,2022-11-26,00:00:00,26,11,2022,Sábado,SANTA TERESA,MASCULINO,1
-74.17479999999995,4.650389999847378,08,KENNEDY,82,PATIO BONITO,2022-02-06,00:00:00,6,2,2022,Domingo,GALAN,FEMENINO,1
-74.04149999999998,4.736759999844564,01,USAQUÉN,12,TOBERIN,2022-02-23,00:00:00,23,2,2022,Miércoles,ESTRELLA DEL NORTE,MASCULINO,1
-74.13609999999994,4.6441699998475405,08,KENNEDY,46,CASTILLA,2022-10-05,00:00:00,5,10,2022,Miércoles,VILLA ALSACIA II,MASCULINO,1
-74.06779999999998,4.68180999984633,12,BARRIOS UNIDOS,21,LOS ANDES,2022-08-18,00:00:00,18,8,2022,Jueves,RIONEGRO,FEMENINO,1
-74.03049999999996,4.748049999844162,01,USAQUÉN,10,LA URIBE,2023-08-02,00:00:00,2,8,2023,Miércoles,LA GRANJA NORTE,FEMENINO,1
-74.11429999999996,4.717549999845191,10,ENGATIVÁ,72,BOLIVIA,2022-01-04,00:00:00,4,1,2022,Martes,BOLIVIA,MASCULINO,1
-74.06889999999999,4.590199999849301,03,SANTA FE,96,LOURDES,2022-11-23,00:00:00,23,11,2022,Miércoles,SAN FRANCISCO RURAL,FEMENINO,1
-74.16989999999998,4.63139999984796,08,KENNEDY,82,PATIO BONITO,2022-06-21,00:00:00,21,6,2022,Martes,DINTALITO,FEMENINO,1
-74.16399999999999,4.613979999848514,08,KENNEDY,48,TIMIZA,2022-04-28,00:00:00,28,4,2022,Jueves,TOCAREMA,MASCULINO,1
-74.04649999999998,4.744969999844246,01,USAQUÉN,12,TOBERIN,2023-05-04,00:00:00,4,5,2023,Jueves,LAS ORQUIDEAS,MASCULINO,1
-74.11789999999996,4.623049999848236,16,PUENTE ARANDA,43,SAN RAFAEL,2022-09-02,00:00:00,2,9,2022,Viernes,SAN GABRIEL,MASCULINO,1
-74.14999999999998,4.573779999849852,19,CIUDAD BOLÍVAR,65,ARBORIZADORA,2022-06-30,00:00:00,30,6,2022,Jueves,ARBORIZADORA BAJA,MASCULINO,1
-74.14279999999997,4.626539999848116,08,KENNEDY,44,AMERICAS,2022-10-15,00:00:00,15,10,2022,Sábado,CIUDAD KENNEDY,MASCULINO,1
-74.14149999999995,4.638369999847763,08,KENNEDY,46,CASTILLA,2022-12-02,00:00:00,2,12,2022,Viernes,BAVARIA,MASCULINO,1
-74.20149999999995,4.620889999848298,07,BOSA,84,BOSA OCCIDENTAL,2022-11-26,00:00:00,26,11,2022,Sábado,EL REMANSO I,MASCULINO,1
-74.02769999999998,4.743969999844312,01,USAQUÉN,10,LA URIBE,2022-02-06,00:00:00,6,2,2022,Domingo,SANTA TERESA,MASCULINO,1
-74.11329999999998,4.602719999848889,16,PUENTE ARANDA,40,CIUDAD MONTES,2022-09-23,00:00:00,23,9,2022,Viernes,REMANSO,FEMENINO,1
-74.18929999999995,4.631679999847984,07,BOSA,86,EL PORVENIR,2022-04-27,00:00:00,27,4,2022,Miércoles,LA CABANA,MASCULINO,1
-74.02619999999996,4.7339199998446535,01,USAQUÉN,11,SAN CRISTOBAL NORTE,2022-08-16,00:00:00,16,8,2022,Martes,BARRANCAS NORTE,MASCULINO,1
-74.08519999999999,4.694539999845943,10,ENGATIVÁ,26,LAS FERIAS,2022-02-23,00:00:00,23,2,2022,Miércoles,SANTA ROSA,FEMENINO,1
-74.11169999999998,4.583389999849545,18,RAFAEL URIBE URIBE,39,QUIROGA,2022-09-13,00:00:00,13,9,2022,Martes,QUIROGA I,MASCULINO,1
-74.11469999999997,4.600499999848996,16,PUENTE ARANDA,40,CIUDAD MONTES,2022-10-14,00:00:00,14,10,2022,Viernes,REMANSO,FEMENINO,1
-74.11199999999997,4.568399999850025,18,RAFAEL URIBE URIBE,53,MARCO FIDEL SUAREZ,2022-12-18,00:00:00,18,12,2022,Domingo,LA RESURRECCION,MASCULINO,1
-74.01809999999995,4.743629999844324,01,USAQUÉN,11,SAN CRISTOBAL NORTE,2022-06-03,00:00:00,3,6,2022,Viernes,LA CITA,MASCULINO,1
-74.17989999999998,4.605459999848817,07,BOSA,85,BOSA CENTRAL,2022-05-08,00:00:00,8,5,2022,Domingo,JOSE ANTONIO GALAN,MASCULINO,1
-74.16809999999998,4.607359999848728,08,KENNEDY,48,TIMIZA,2022-12-12,00:00:00,12,12,2022,Lunes,CATALINA,MASCULINO,1
-74.15199999999999,4.621499999848274,08,KENNEDY,47,KENNEDY CENTRAL,2022-09-23,00:00:00,23,9,2022,Viernes,CIUDAD KENNEDY CENTRAL,MASCULINO,1
-74.15809999999993,4.6406499998476765,08,KENNEDY,82,PATIO BONITO,2022-08-09,00:00:00,9,8,2022,Martes,TAIRONA,MASCULINO,1
-74.12309999999997,4.626939999848116,16,PUENTE ARANDA,43,SAN RAFAEL,2022-12-11,00:00:00,11,12,2022,Domingo,HIPOTECHO SUR,MASCULINO,1
-74.07249999999993,4.642669999847625,13,TEUSAQUILLO,100,GALERIAS,2022-10-30,00:00:00,30,10,2022,Domingo,SAN LUIS,MASCULINO,1
-74.17809999999997,4.58771999984939,19,CIUDAD BOLÍVAR,69,ISMAEL PERDOMO,2022-05-19,00:00:00,19,5,2022,Jueves,LOS TRES REYES I,MASCULINO,1
