"LONGITUD","LATITUD","codigo_localidad","nombre_localidad","codigo_upz","nombre_upz","FECHA_HECHO","HORA_HECHO","DIA","MES","AÑO","DIA_SEMANA","DIRECCION_HECHO","GENERO","sexual"
"-74.09067532699999","4.566532490850072","4","SAN CRISTÓBAL","34","20 DE JULIO","2018-07-11","00:00:00","11","7","2018","Miércoles","MONTEBELLO","FEMENINO","1"
"-74.08731722399995","4.7204031008450675","11","SUBA","28","EL RINCON","2018-03-25","00:00:00","25","3","2018","Domingo","CIUDAD HUNZA","FEMENINO","1"
"-74.10701436399995","4.6580186628471205","9","FONTIBÓN","110","CIUDAD SALITRE OCCIDENTAL","2019-01-30","00:00:00","30","1","2019","Miércoles","LA ESPERANZA NORTE","MASCULINO","1"
"-74.11633299999994","4.494084999852435","5","USME","58","COMUNEROS","2019-08-10","00:00:00","10","8","2019","Sábado","DESARROLLO BRAZUELOS","FEMENINO","1"
"-74.09929999999997","4.694799999845905","10","ENGATIVÁ","30","BOYACA REAL","2021-03-21","00:00:00","21","3","2021","Domingo","TABORA","MASCULINO","1"
"-74.17438499999997","4.594070999849176","19","CIUDAD BOLÍVAR","69","ISMAEL PERDOMO","2021-06-12","00:00:00","12","6","2021","Sábado","LA ESTANCIA","FEMENINO","1"
"-74.19887322599999","4.610048011848664","7","BOSA","85","BOSA CENTRAL","2018-05-03","00:00:00","3","5","2018","Jueves","GRAN COLOMBIANO","FEMENINO","1"
"-74.13693987199997","4.574216938849832","6","TUNJUELITO","42","VENECIA","2018-03-28","00:00:00","28","3","2018","Miércoles","TUNAL ORIENTAL","FEMENINO","1"
"-74.10668599999997","4.740922999844426","11","SUBA","71","TIBABUYES","2019-11-25","00:00:00","25","11","2019","Lunes","LA GAITANA","FEMENINO","1"
"-74.06592675199994","4.63309780384791","2","CHAPINERO","99","CHAPINERO","2021-07-08","00:00:00","8","7","2021","Jueves","MARLY","MASCULINO","1"
"-74.15895999999998","4.549559999850627","19","CIUDAD BOLÍVAR","67","LUCERO","2021-02-15","00:00:00","15","2","2021","Lunes","EL MIRADOR","FEMENINO","1"
"-74.08980999999994","4.6750456828465685","10","ENGATIVÁ","26","LAS FERIAS","2019-05-28","00:00:00","28","5","2019","Martes","BELLAVISTA OCCIDENTAL","FEMENINO","1"
"-74.14958999999999","4.555184999850453","19","CIUDAD BOLÍVAR","67","LUCERO","2019-05-01","00:00:00","1","5","2019","Miércoles","JUAN PABLO II","FEMENINO","1"
"-74.18360899999993","4.637109999847797","7","BOSA","86","EL PORVENIR","2018-11-26","00:00:00","26","11","2018","Lunes","OSORIO X URBANO","-","1"
"-74.13980999999995","4.552869999850522","19","CIUDAD BOLÍVAR","67","LUCERO","2018-06-15","00:00:00","15","6","2018","Viernes","LUCERO DEL SUR","FEMENINO","1"
"-74.16004723499998","4.544113511850786","19","CIUDAD BOLÍVAR","67","LUCERO","2020-04-18","00:00:00","18","4","2020","Sábado","BELLA FLOR","MASCULINO","1"
"-74.15916699999997","4.613920999848554","8","KENNEDY","48","TIMIZA","2021-03-22","00:00:00","22","3","2021","Lunes","TIMIZA C","FEMENINO","1"
"-74.10211999999996","4.729003999844778","11","SUBA","28","EL RINCON","2018-06-10","00:00:00","10","6","2018","Domingo","LECH WALESA","MASCULINO","1"
