LONGITUD,LATITUD,codigo_localidad,nombre_localidad,codigo_upz,nombre_upz,FECHA_HECHO,HORA_HECHO,GENERO,AÑO,homicide
-74.11219999999997,4.569989999849998,18,RAFAEL URIBE URIBE,53,MARCO FIDEL SUAREZ,2022-05-17,00:00:00,MASCULINO,2022,1
-74.16589536399994,4.572463977849873,19,CIUDAD BOLÍVAR,70,JERUSALEM,2020-12-08,00:00:00,MASCULINO,2020,1
-74.07319805299994,4.6773432818464675,12,BARRIOS UNIDOS,22,DOCE DE OCTUBRE,2019-07-17,00:00:00,MASCULINO,2019,1
-74.09576577199994,4.607349111848776,14,LOS MÁRTIRES,102,LA SABANA,2021-02-05,00:00:00,MASCULINO,2021,1
-74.19309999999996,4.625569999848151,07,BOSA,84,BOSA OCCIDENTAL,2022-12-08,00:00:00,MASCULINO,2022,1
-74.09008746199999,4.603965342848843,14,LOS MÁRTIRES,102,LA SABANA,2020-07-29,00:00:00,MASCULINO,2020,1
-74.18065891299995,4.611600129848623,07,BOSA,85,BOSA CENTRAL,2020-07-02,00:00:00,MASCULINO,2020,1
-74.07794216799994,4.609493651848666,14,LOS MÁRTIRES,102,LA SABANA,2021-04-25,00:00:00,MASCULINO,2021,1
-74.17003699199995,4.637090612847793,08,KENNEDY,82,PATIO BONITO,2019-09-07,00:00:00,MASCULINO,2019,1
-74.09973270399996,4.5574046528503835,04,SAN CRISTÓBAL,50,LA GLORIA,2018-06-02,00:00:00,MASCULINO,2018,1
-74.17149999999998,4.63913999984773,08,KENNEDY,82,PATIO BONITO,2022-02-08,00:00:00,MASCULINO,2022,1
-74.20071285399996,4.621770442848297,07,BOSA,84,BOSA OCCIDENTAL,2021-04-19,00:00:00,MASCULINO,2021,1
-74.13425584799995,4.539122549850981,19,CIUDAD BOLÍVAR,68,EL TESORO,2019-04-15,00:00:00,MASCULINO,2019,1
-74.10794020399999,4.506098556852041,05,USME,58,COMUNEROS,2021-07-25,00:00:00,MASCULINO,2021,1
-74.14775091099995,4.533449943851149,19,CIUDAD BOLÍVAR,68,EL TESORO,2018-11-24,00:00:00,MASCULINO,2018,1
-74.11202376199998,4.558827029850323,18,RAFAEL URIBE URIBE,54,MARRUECOS,2020-09-02,00:00:00,MASCULINO,2020,1
-74.17210491499998,4.572161003849918,19,CIUDAD BOLÍVAR,69,ISMAEL PERDOMO,2020-05-23,00:00:00,MASCULINO,2020,1
-74.09575015299998,4.548800339850687,04,SAN CRISTÓBAL,50,LA GLORIA,2018-03-01,00:00:00,MASCULINO,2018,1
-74.08986868199997,4.528292596851356,04,SAN CRISTÓBAL,51,LOS LIBERTADORES,2021-09-19,00:00:00,MASCULINO,2021,1
-74.13712996199996,4.602208672848937,08,KENNEDY,45,CARVAJAL,2018-10-05,00:00:00,MASCULINO,2018,1
-74.08252797999995,4.58726020084941,03,SANTA FE,95,LAS CRUCES,2021-08-02,00:00:00,MASCULINO,2021,1
-74.03719999999998,4.783209999843032,01,USAQUÉN,1,PASEO DE LOS LIBERTADORES,2022-09-10,00:00:00,MASCULINO,2022,1
-74.07667438599998,4.604860904848851,03,SANTA FE,93,LAS NIEVES,2021-02-06,00:00:00,MASCULINO,2021,1
-74.17791704099994,4.613813752848546,08,KENNEDY,81,GRAN BRITALIA,2018-08-01,00:00:00,MASCULINO,2018,1
-74.11839999999995,4.729559999844781,10,ENGATIVÁ,72,BOLIVIA,2022-01-05,00:00:00,MASCULINO,2022,1
-74.15072665299994,4.557078558850392,19,CIUDAD BOLÍVAR,67,LUCERO,2018-10-13,00:00:00,FEMENINO,2018,1
-74.07355275499998,4.601626036848968,03,SANTA FE,93,LAS NIEVES,2019-10-28,00:00:00,MASCULINO,2019,1
-74.15598354699995,4.600791825848952,07,BOSA,49,APOGEO,2018-08-01,00:00:00,MASCULINO,2018,1
-74.09673967999998,4.554524049850483,04,SAN CRISTÓBAL,50,LA GLORIA,2020-08-08,00:00:00,MASCULINO,2020,1
-74.14747732599994,4.532326939851222,19,CIUDAD BOLÍVAR,68,EL TESORO,2018-10-06,00:00:00,MASCULINO,2018,1
-74.14857108499996,4.5516759498505746,19,CIUDAD BOLÍVAR,67,LUCERO,2019-03-11,00:00:00,MASCULINO,2019,1
-74.16496528999994,4.569454893849991,19,CIUDAD BOLÍVAR,70,JERUSALEM,2018-01-16,00:00:00,MASCULINO,2018,1
-74.14329731799995,4.713911753845278,10,ENGATIVÁ,74,ENGATIVA,2021-04-25,00:00:00,MASCULINO,2021,1
-74.08510429699999,4.5950307938491255,03,SANTA FE,95,LAS CRUCES,2020-04-26,00:00:00,FEMENINO,2020,1
-74.20574474199998,4.61995596784835,07,BOSA,87,TINTAL SUR,2020-06-21,00:00:00,MASCULINO,2020,1
-74.08889409799997,4.70368460284563,10,ENGATIVÁ,29,MINUTO DE DIOS,2020-11-24,00:00:00,MASCULINO,2020,1
-74.09219232299995,4.727102192844869,11,SUBA,28,EL RINCON,2019-05-05,00:00:00,MASCULINO,2019,1
-74.15988704799997,4.63911438784773,08,KENNEDY,82,PATIO BONITO,2021-10-09,00:00:00,MASCULINO,2021,1
-74.09820711799995,4.502203823852177,05,USME,57,GRAN YOMASA,2019-09-08,00:00:00,MASCULINO,2019,1
-74.15150600399994,4.5331504768511675,19,CIUDAD BOLÍVAR,UPR3,UPR RIO TUNJUELO,2020-04-26,00:00:00,MASCULINO,2020,1
-74.14852816899997,4.5514192698505775,19,CIUDAD BOLÍVAR,67,LUCERO,2019-09-16,00:00:00,MASCULINO,2019,1
-74.07807867899999,4.658155225847129,12,BARRIOS UNIDOS,103,PARQUE SALITRE,2018-02-14,00:00:00,MASCULINO,2018,1
-74.14198055199995,4.547500914850713,19,CIUDAD BOLÍVAR,67,LUCERO,2019-10-31,00:00:00,MASCULINO,2019,1
-74.17949999999996,4.649759999847393,08,KENNEDY,82,PATIO BONITO,2023-07-10,00:00:00,MASCULINO,2023,1
-74.08848166299998,4.548782102850674,04,SAN CRISTÓBAL,32,SAN BLAS,2019-01-01,00:00:00,MASCULINO,2019,1
-74.11819763499994,4.58506156584947,18,RAFAEL URIBE URIBE,39,QUIROGA,2018-06-03,00:00:00,MASCULINO,2018,1
-74.15357646499996,4.616806536848458,08,KENNEDY,48,TIMIZA,2019-06-18,00:00:00,MASCULINO,2019,1
-74.10450369199998,4.603748206848846,16,PUENTE ARANDA,40,CIUDAD MONTES,2019-02-22,00:00:00,MASCULINO,2019,1
-74.10561933799994,4.733978465844642,11,SUBA,71,TIBABUYES,2021-02-08,00:00:00,MASCULINO,2021,1
-74.30619999999993,4.001229999868486,20,SUMAPAZ,999,,2022-03-03,00:00:00,MASCULINO,2022,1
-74.09205617899994,4.754032963843962,11,SUBA,27,SUBA,2019-04-12,00:00:00,MASCULINO,2019,1
