LONGITUD,LATITUD,codigo_localidad,nombre_localidad,codigo_upz,nombre_upz,FECHA_HECHO,HORA_HECHO,GENERO,AÑO,sexual_crimes
-74.18360899999993,4.637109999847797,07,BOSA,86,EL PORVENIR,2018-11-26,00:00:00,-,2018,1
-74.13980999999995,4.552869999850522,19,CIUDAD BOLÍVAR,67,LUCERO,2018-06-15,00:00:00,FEMENINO,2018,1
-74.16004723499998,4.544113511850786,19,CIUDAD BOLÍVAR,67,LUCERO,2020-04-18,00:00:00,MASCULINO,2020,1
-74.15916699999997,4.613920999848554,08,KENNEDY,48,TIMIZA,2021-03-22,00:00:00,FEMENINO,2021,1
-74.10211999999996,4.729003999844778,11,SUBA,28,EL RINCON,2018-06-10,00:00:00,MASCULINO,2018,1
-74.06912054199995,4.717298459845183,11,SUBA,24,NIZA,2020-03-01,00:00:00,FEMENINO,2020,1
-74.11163299999998,4.504159999852132,05,USME,58,COMUNEROS,2020-07-12,00:00:00,FEMENINO,2020,1
-74.16897474199999,4.614807471848519,08,KENNEDY,47,KENNEDY CENTRAL,2019-06-12,00:00:00,FEMENINO,2019,1
-74.10138536399995,4.490596662852586,05,USME,59,ALFONSO LOPEZ,2019-01-30,00:00:00,FEMENINO,2019,1
-74.11839899999995,4.479016999852938,05,USME,61,CIUDAD USME,2021-03-16,00:00:00,FEMENINO,2021,1
-74.14844299999999,4.650152999847358,08,KENNEDY,79,CALANDAIMA,2020-04-09,00:00:00,FEMENINO,2020,1
-74.13460999999995,4.714519999845266,10,ENGATIVÁ,74,ENGATIVA,2021-03-18,00:00:00,MASCULINO,2021,1
-74.09181100399996,4.5502342228506425,04,SAN CRISTÓBAL,50,LA GLORIA,2018-06-11,00:00:00,FEMENINO,2018,1
-74.07866999999999,4.67315999984662,12,BARRIOS UNIDOS,22,DOCE DE OCTUBRE,2020-05-29,00:00:00,MASCULINO,2020,1
-74.10423799999995,4.4999639998522305,05,USME,59,ALFONSO LOPEZ,2018-06-10,00:00:00,FEMENINO,2018,1
-74.07125461299995,4.61327587484857,03,SANTA FE,91,SAGRADO CORAZON,2018-03-11,00:00:00,FEMENINO,2018,1
-74.17820683499997,4.636066499847796,08,KENNEDY,83,LAS MARGARITAS,2018-10-19,00:00:00,FEMENINO,2018,1
-74.19017899999994,4.614851999848504,07,BOSA,84,BOSA OCCIDENTAL,2018-12-13,00:00:00,FEMENINO,2018,1
-74.13677999999999,4.679698999846378,09,FONTIBÓN,75,FONTIBON,2019-08-15,00:00:00,FEMENINO,2019,1
-74.20603399999999,4.620090999848349,07,BOSA,87,TINTAL SUR,2019-08-01,00:00:00,FEMENINO,2019,1
-74.21831799999995,4.616299999848445,07,BOSA,87,TINTAL SUR,2020-03-19,00:00:00,FEMENINO,2020,1
-74.07715354199996,4.594999444849154,17,CANDELARIA,94,LA CANDELARIA,2020-08-28,00:00:00,FEMENINO,2020,1
-74.09432699999996,4.732879335844674,11,SUBA,28,EL RINCON,2019-02-20,00:00:00,FEMENINO,2019,1
