ZAT,year,cantidad_oxxo,dummy_oxxo,cantidad_ara,dummy_ara,cantidad_d1,dummy_d1,cantidad_jb,dummy_jb,spillover_oxxo,codigo_upz,nombre_upz,codigo_localidad,nombre_localidad,estrato_mean,poblacion_2005,area_urbana_2009,poblacion_urbana_2009,densidad_urbana_2009,poblacion_por_localidad_2005,personas_por_localidad_2007,personas_por_hogar_2007_localidad,gasto_promedio_mensual_2007_localidad,ICV_2007_localidad,num_est_transmi,acceso_transmi,accesibilidad_arterial,theft_to_people,homicide,sexual,theft_to_vehicle,theft_to_motorbike,genero_FEMENINO,genero_MASCULINO
1.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2.0,LA ACADEMIA,11.0,SUBA,,703.0,672.073.080.488,920.0,136.889.875.031,923.064,981.613,"3,41",1.388.086,"91,6",0.0,0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
308.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,0.0,76.0,FONTIBON SAN PABLO,9.0,FONTIBON,2.0,30005.0,359.967.843.163,32134.0,892.690.850.317,301.375,317.179,"3,46",1.428.379,"90,03",0.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
805.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,0,0.0,0,,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
310.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,0.0,76.0,FONTIBON SAN PABLO,9.0,FONTIBON,2.56,30005.0,359.967.843.163,32134.0,892.690.850.317,301.375,317.179,"3,46",1.428.379,"90,03",0.0,0,10.0,61.0,3.0,8.0,0.0,2.0,29.0,45.0
405.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,0.0,77.0,ZONA FRANCA,9.0,FONTIBON,2.07,31542.0,490.212.344.089,39664.0,809.118.751.869,301.375,317.179,"3,46",1.428.379,"90,03",0.0,0,3.0,23.0,0.0,3.0,3.0,3.0,8.0,24.0
407.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,0.0,77.0,ZONA FRANCA,9.0,FONTIBON,2.0,31542.0,490.212.344.089,39664.0,809.118.751.869,301.375,317.179,"3,46",1.428.379,"90,03",0.0,0,3.0,12.0,1.0,0.0,3.0,0.0,2.0,14.0
119.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,0.0,72.0,BOLIVIA,10.0,ENGATIVA,,82839.0,474.504.159.406,86279.0,181.829.807.579,804.47,824.337,"3,41",1.089.512,"91,78",0.0,0,1.0,12.0,0.0,1.0,0.0,0.0,4.0,9.0
76.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,2.0,13.0,LOS CEDROS,1.0,USAQUEN,4.94,95424.0,672.263.207.867,102364.0,152.267.740.971,425.192,430.156,"3,12",1.867.529,"93,6",0.0,0,5.0,38.0,0.0,9.0,0.0,1.0,22.0,26.0
75.0,2015,1.0,1,0.0,0,2.0,1,0.0,0,1.0,13.0,LOS CEDROS,1.0,USAQUEN,4.17,95424.0,672.263.207.867,102364.0,152.267.740.971,425.192,430.156,"3,12",1.867.529,"93,6",0.0,0,2.0,33.0,0.0,9.0,0.0,1.0,20.0,23.0
74.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,2.0,13.0,LOS CEDROS,1.0,USAQUEN,4.0,95424.0,672.263.207.867,102364.0,152.267.740.971,425.192,430.156,"3,12",1.867.529,"93,6",0.0,0,2.0,10.0,0.0,1.0,1.0,0.0,3.0,9.0
73.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,4.0,13.0,LOS CEDROS,1.0,USAQUEN,4.0,95424.0,672.263.207.867,102364.0,152.267.740.971,425.192,430.156,"3,12",1.867.529,"93,6",0.0,0,5.0,31.0,0.0,1.0,0.0,0.0,10.0,22.0
72.0,2015,2.0,1,0.0,0,0.0,0,0.0,0,0.0,13.0,LOS CEDROS,1.0,USAQUEN,4.0,95424.0,672.263.207.867,102364.0,152.267.740.971,425.192,430.156,"3,12",1.867.529,"93,6",0.0,0,8.0,49.0,0.0,3.0,1.0,0.0,22.0,31.0
87.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,2.0,15.0,COUNTRY CLUB,1.0,USAQUEN,5.79,87775.0,285.606.835.551,24678.0,864.054.949.959,425.192,430.156,"3,12",1.867.529,"93,6",3.0,1,13.0,78.0,0.0,6.0,1.0,1.0,34.0,52.0
86.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,1.0,14.0,USAQUEN,1.0,USAQUEN,5.0,34100.0,492.691.983.265,41634.0,8.450.310.014,425.192,430.156,"3,12",1.867.529,"93,6",0.0,0,8.0,47.0,0.0,5.0,1.0,2.0,24.0,31.0
154.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,0.0,14.0,USAQUEN,1.0,USAQUEN,2.87,34100.0,492.691.983.265,41634.0,8.450.310.014,425.192,430.156,"3,12",1.867.529,"93,6",0.0,0,3.0,14.0,0.0,0.0,0.0,1.0,4.0,11.0
194.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,0.0,74.0,ENGATIVA,10.0,ENGATIVA,2.0,118752.0,58.763.454.342,130828.0,222.634.971.795,804.47,824.337,"3,41",1.089.512,"91,78",0.0,0,0.0,13.0,8.0,10.0,1.0,10.0,16.0,26.0
195.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,0.0,74.0,ENGATIVA,10.0,ENGATIVA,2.01,118752.0,58.763.454.342,130828.0,222.634.971.795,804.47,824.337,"3,41",1.089.512,"91,78",0.0,0,2.0,18.0,2.0,5.0,1.0,13.0,8.0,31.0
196.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,0.0,74.0,ENGATIVA,10.0,ENGATIVA,2.0,118752.0,58.763.454.342,130828.0,222.634.971.795,804.47,824.337,"3,41",1.089.512,"91,78",0.0,0,8.0,16.0,3.0,12.0,2.0,6.0,14.0,25.0
197.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,0.0,74.0,ENGATIVA,10.0,ENGATIVA,2.0,118752.0,58.763.454.342,130828.0,222.634.971.795,804.47,824.337,"3,41",1.089.512,"91,78",0.0,0,3.0,36.0,5.0,9.0,0.0,15.0,12.0,53.0
201.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,2.0,116.0,ALAMOS,10.0,ENGATIVA,2.91,12319.0,200.244.113.699,13641.0,681.218.526.129,804.47,824.337,"3,41",1.089.512,"91,78",0.0,0,8.0,30.0,0.0,9.0,13.0,3.0,20.0,35.0
191.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,0.0,73.0,GARCES NAVAS,10.0,ENGATIVA,3.0,136527.0,555.040.743.711,149186.0,268.783.871.617,804.47,824.337,"3,41",1.089.512,"91,78",0.0,0,4.0,16.0,2.0,4.0,1.0,20.0,10.0,33.0
190.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,0.0,73.0,GARCES NAVAS,10.0,ENGATIVA,2.01,136527.0,555.040.743.711,149186.0,268.783.871.617,804.47,824.337,"3,41",1.089.512,"91,78",0.0,0,9.0,16.0,0.0,6.0,2.0,9.0,14.0,19.0
302.0,2015,1.0,1,0.0,0,0.0,0,0.0,0,0.0,116.0,ALAMOS,10.0,ENGATIVA,3.4,12319.0,200.244.113.699,13641.0,681.218.526.129,804.47,824.337,"3,41",1.089.512,"91,78",3.0,1,9.0,46.0,0.0,14.0,3.0,4.0,20.0,47.0
