codigo_upz,year,cantidad_oxxo,dummy_oxxo,cantidad_ara,dummy_ara,cantidad_d1,dummy_d1,cantidad_jb,dummy_jb,spillover_oxxo,estrato_mean,poblacion_2005,poblacion_urbana_2009,num_est_transmi,acceso_transmi,accesibilidad_arterial,personas_por_localidad_2007,personas_por_hogar_2007_localidad,gasto_promedio_mensual_2007_localidad,ICV_2007_localidad,nombre_localidad,nombre_upz,theft_to_people,genero_-,genero_FEMENINO,genero_MASCULINO,TOTAL_POBLACION,Hombre,Mujer,crime_index,theft_to_people_index,male_index,female_index
26.0,2018,0.0,0,3.0,1,5.0,1,1.0,1,5.0,3.0646153846153847,1441973.0,1441167.0,19.0,5,69.0,824.337,"3,41",1.089.512,"91,78",ENGATIVA,LAS FERIAS,132.0,0.0,62.0,70.0,99530.0,47242.0,52288.0,13.262332964935196,13.262332964935196,14.817323568011515,11.857405140758873
102.0,2018,1.0,1,2.0,1,3.0,1,0.0,0,11.0,2.8186666666666667,764715.0,782955.0,131.0,15,94.0,94.944,"3,53",1.059.511,"89,78",LOS MARTIRES,LA SABANA,229.0,0.0,88.0,141.0,35073.0,17460.0,17613.0,65.29239015767114,65.29239015767114,80.75601374570448,49.96309544086754
2.0,2018,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5.058,10545.0,13800.0,3.0,2,95.0,981.613,"3,41",1.388.086,"91,6",SUBA,LA ACADEMIA,15.0,0.0,7.0,8.0,4077.0,1982.0,2095.0,36.79175864606328,36.79175864606328,40.363269424823415,33.41288782816229
116.0,2018,1.0,1,1.0,1,0.0,0,1.0,1,4.0,3.155,24638.0,27282.0,3.0,1,17.0,824.337,"3,41",1.089.512,"91,78",ENGATIVA,ALAMOS,43.0,0.0,19.0,24.0,11820.0,5550.0,6270.0,36.37901861252115,36.37901861252115,43.24324324324324,30.303030303030305
81.0,2018,0.0,0,0.0,0,1.0,1,3.0,1,1.0,2.0025,290204.0,283616.0,1.0,1,16.0,979.914,"3,72",999.300,"88,94",KENNEDY,GRAN BRITALIA,42.0,0.0,16.0,26.0,63264.0,30735.0,32529.0,6.638846737481032,6.638846737481032,8.459411094843013,4.918687939992007
52.0,2018,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,614920.0,740280.0,0.0,0,176.0,314.431,"4,07",569.872,"82,91",USME,LA FLORA,8.0,0.0,2.0,6.0,18178.0,8980.0,9198.0,4.400924194080757,4.400924194080757,6.6815144766147,2.1743857360295715
33.0,2018,0.0,0,0.0,0,2.0,1,0.0,0,0.0,2.8193333333333332,1647904.0,748256.0,42.0,13,30.0,404.35,"3,73",706.208,"83,68",SAN CRISTOBAL,SOSIEGO,34.0,0.0,19.0,15.0,42167.0,20418.0,21749.0,8.06317736618683,8.06317736618683,7.346459006758741,8.73603384063635
19.0,2018,2.0,1,3.0,1,6.0,1,2.0,1,9.0,3.51625,692512.0,712104.0,25.0,8,34.0,981.613,"3,41",1.388.086,"91,6",SUBA,EL PRADO,87.0,0.0,34.0,53.0,96752.0,44278.0,52474.0,8.992062179593187,8.992062179593187,11.969827002122951,6.479399321568777
41.0,2018,0.0,0,0.0,0,2.0,1,0.0,0,1.0,3.0,523602.0,513468.0,24.0,8,22.0,250.715,"3,55",1.116.511,"90,43",PUENTE ARANDA,MUZU,54.0,0.0,25.0,29.0,56895.0,26833.0,30062.0,9.491167940943845,9.491167940943845,10.807587671896545,8.316146630297386
37.0,2018,0.0,0,1.0,1,1.0,1,0.0,0,5.0,3.0,307027.0,315602.0,40.0,7,41.0,94.944,"3,53",1.059.511,"89,78",LOS MARTIRES,SANTA ISABEL,39.0,0.0,15.0,24.0,38204.0,18413.0,19791.0,10.208355146058004,10.208355146058004,13.03426926627926,7.579202667879339
107.0,2018,0.0,0,1.0,1,3.0,1,1.0,1,3.0,3.77,207448.0,216792.0,32.0,8,35.0,139.298,"2,87",1.933.116,"96,03",TEUSAQUILLO,QUINTA PAREDES,67.0,0.0,32.0,35.0,25448.0,11749.0,13699.0,26.32819867966048,26.32819867966048,29.789769342071665,23.359369297028977
73.0,2018,1.0,1,0.0,0,3.0,1,1.0,1,3.0,2.775714285714286,955689.0,1044302.0,4.0,2,40.0,824.337,"3,41",1.089.512,"91,78",ENGATIVA,GARCES NAVAS,59.0,0.0,22.0,37.0,160612.0,75640.0,84972.0,3.673449057355615,3.673449057355615,4.891591750396616,2.589088170220778
31.0,2018,0.0,0,1.0,1,2.0,1,1.0,1,4.0,3.318333333333334,409362.0,391260.0,10.0,4,38.0,824.337,"3,41",1.089.512,"91,78",ENGATIVA,SANTA CECILIA,69.0,0.0,34.0,35.0,65800.0,30709.0,35091.0,10.486322188449847,10.486322188449847,11.397310234784591,9.689094069704483
58.0,2018,0.0,0,0.0,0,0.0,0,1.0,1,0.0,1.5654545454545454,857659.0,954745.0,0.0,0,29.0,314.431,"4,07",569.872,"82,91",USME,COMUNEROS,24.0,0.0,8.0,16.0,91633.0,44615.0,47018.0,2.619143758253031,2.619143758253031,3.586237812394934,1.701476030456421
13.0,2018,4.0,1,1.0,1,5.0,1,3.0,1,3.0,4.381666666666667,1717632.0,1842552.0,20.0,5,88.0,430.156,"3,12",1.867.529,"93,6",USAQUEN,LOS CEDROS,131.0,0.0,56.0,75.0,123293.0,54733.0,68560.0,10.625096315281485,10.625096315281485,13.702884914037236,8.168028004667445
63.0,2018,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,1596.0,5864.0,2.0,2,6.0,593.937,"4,09",505.335,"83,5",CIUDAD BOLIVAR,EL MOCHUELO,2.0,0.0,1.0,1.0,36.0,18.0,18.0,555.5555555555555,555.5555555555555,555.5555555555555,555.5555555555555
87.0,2018,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1.765,212992.0,339512.0,0.0,0,47.0,546.809,"3,98",703.807,"85,4",BOSA,TINTAL SUR,21.0,0.0,12.0,9.0,97019.0,45633.0,51386.0,2.164524474587452,2.164524474587452,1.972256919334692,2.335266414976842
77.0,2018,1.0,1,0.0,0,0.0,0,0.0,0,1.0,2.045,283878.0,356976.0,0.0,0,13.0,317.179,"3,46",1.428.379,"90,03",FONTIBON,ZONA FRANCA,13.0,0.0,5.0,8.0,56771.0,26670.0,30101.0,2.289901534234028,2.289901534234028,2.9996250468691414,1.6610743829108667
