codigo_upz,year,semester,cantidad_oxxo,dummy_oxxo,cantidad_ara,dummy_ara,cantidad_d1,dummy_d1,cantidad_jb,dummy_jb,spillover_oxxo,estrato_mean,poblacion_2005,poblacion_urbana_2009,num_est_transmi,acceso_transmi,accesibilidad_arterial,personas_por_localidad_2007,personas_por_hogar_2007_localidad,gasto_promedio_mensual_2007_localidad,ICV_2007_localidad,nombre_localidad,nombre_upz,theft_to_people,genero_-,genero_FEMENINO,genero_MASCULINO,TOTAL_POBLACION,Hombre,Mujer,crime_index,theft_to_people_index,male_index,female_index
77.0,2018,1,0.0,0,0.0,0,0.0,0,0.0,0,1.0,2.045,283878.0,356976.0,0.0,0,13.0,317.179,"3,46",1.428.379,"90,03",FONTIBON,ZONA FRANCA,7.0,0.0,3.0,4.0,56771.0,26670.0,30101.0,1.2330239030490922,1.2330239030490922,1.4998125234345707,0.9966446297465201
39.0,2018,1,1.0,1,1.0,1,5.0,1,0.0,0,0.0,3.0,1410480.0,1306815.0,45.0,15,69.0,378.78,"3,72",591.317,"87,06",RAFAEL URIBE URIBE,QUIROGA,39.0,0.0,10.0,29.0,88243.0,42702.0,45541.0,4.419614020375554,4.419614020375554,6.791250995269542,2.1958235436200346
108.0,2018,1,0.0,0,0.0,0,0.0,0,1.0,1,2.0,2.685714285714286,33520.0,33976.0,48.0,8,66.0,250.715,"3,55",1.116.511,"90,43",PUENTE ARANDA,ZONA INDUSTRIAL,30.0,0.0,7.0,23.0,5977.0,2974.0,3003.0,50.192404216161954,50.192404216161954,77.33691997310021,23.31002331002331
61.0,2018,1,0.0,0,0.0,0,0.0,0,4.0,1,0.0,1.2366666666666666,79500.0,134960.0,0.0,0,65.0,314.431,"4,07",569.872,"82,91",USME,CIUDAD USME,1.0,0.0,1.0,0.0,22637.0,10939.0,11698.0,0.4417546494676856,0.4417546494676856,0.0,0.8548469823901521
1.0,2018,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4.0,52488.0,63828.0,3.0,3,83.0,430.156,"3,12",1.867.529,"93,6",USAQUEN,PASEO DE LOS LIBERTADORES,11.0,0.0,3.0,8.0,2567.0,1279.0,1288.0,42.85157771717959,42.85157771717959,62.54886630179828,23.29192546583851
46.0,2018,1,0.0,0,0.0,0,2.0,1,1.0,1,1.0,2.72,884656.0,1003288.0,18.0,6,40.0,979.914,"3,72",999.300,"88,94",KENNEDY,CASTILLA,43.0,0.0,14.0,29.0,138657.0,65654.0,73003.0,3.101177726331884,3.101177726331884,4.417095683431322,1.9177294083804777
85.0,2018,1,0.0,0,1.0,1,1.0,1,2.0,1,1.0,1.9988888888888892,2537808.0,2654832.0,17.0,6,39.0,546.809,"3,98",703.807,"85,4",BOSA,BOSA CENTRAL,57.0,0.0,35.0,22.0,233322.0,112383.0,120939.0,2.4429758016817957,2.4429758016817957,1.9575914506642462,2.894020952711698
60.0,2018,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.11,10544.0,15584.0,0.0,0,0.0,314.431,"4,07",569.872,"82,91",USME,PARQUE ENTRENUBES,4.0,0.0,4.0,0.0,1014.0,517.0,497.0,39.447731755424066,39.447731755424066,0.0,80.48289738430584
30.0,2018,1,1.0,1,2.0,1,6.0,1,0.0,0,4.0,3.001818181818182,1427481.0,1341120.0,25.0,7,42.0,824.337,"3,41",1.089.512,"91,78",ENGATIVA,BOYACA REAL,53.0,0.0,17.0,36.0,125315.0,59415.0,65900.0,4.229342058013805,4.229342058013805,6.059075990911386,2.579666160849772
72.0,2018,1,0.0,0,0.0,0,1.0,1,0.0,0,2.0,3.0,331356.0,345116.0,4.0,2,21.0,824.337,"3,41",1.089.512,"91,78",ENGATIVA,BOLIVIA,24.0,0.0,12.0,12.0,81481.0,37070.0,44411.0,2.945471950516071,2.945471950516071,3.2371189641219313,2.7020332800432323
57.0,2018,1,0.0,0,1.0,1,0.0,0,0.0,0,0.0,1.7740000000000002,1391324.0,1519562.0,3.0,3,23.0,314.431,"4,07",569.872,"82,91",USME,GRAN YOMASA,14.0,0.0,4.0,10.0,123476.0,59837.0,63639.0,1.133823577051411,1.133823577051411,1.6712067784146933,0.6285453888338911
23.0,2018,1,0.0,0,0.0,0,4.0,1,14.0,1,4.0,3.5728571428571425,209118.0,255647.0,7.0,5,41.0,981.613,"3,41",1.388.086,"91,6",SUBA,CASA BLANCA SUBA,15.0,0.0,9.0,6.0,52913.0,24468.0,28445.0,2.834842099295069,2.834842099295069,2.452182442373713,3.1640007031112676
88.0,2018,1,0.0,0,0.0,0,0.0,0,0.0,0,15.0,5.9375,358776.0,369156.0,3.0,2,60.0,122.507,"2,43",2.288.835,"96,61",CHAPINERO,EL REFUGIO,23.0,0.0,14.0,9.0,36695.0,16397.0,20298.0,6.267883907889358,6.267883907889358,5.488808928462524,6.897231254310769
9.0,2018,1,0.0,0,1.0,1,4.0,1,1.0,1,0.0,2.7445454545454546,927663.0,1059410.0,9.0,4,60.0,430.156,"3,12",1.867.529,"93,6",USAQUEN,VERBENAL,12.0,0.0,6.0,6.0,119080.0,56578.0,62502.0,1.0077258985555928,1.0077258985555928,1.0604828732015978,0.9599692809830086
109.0,2018,1,0.0,0,0.0,0,0.0,0,0.0,0,2.0,4.123333333333334,44058.0,53832.0,12.0,3,32.0,139.298,"2,87",1.933.116,"96,03",TEUSAQUILLO,CIUDAD SALITRE ORIENTAL,21.0,0.0,15.0,6.0,21236.0,9763.0,11473.0,9.88886796006781,9.88886796006781,6.145651951244495,13.074174147999651
49.0,2018,1,0.0,0,1.0,1,0.0,0,1.0,1,1.0,2.3333333333333335,124191.0,114375.0,10.0,3,11.0,546.809,"3,98",703.807,"85,4",BOSA,APOGEO,22.0,0.0,12.0,10.0,36791.0,17636.0,19155.0,5.979723301894484,5.979723301894484,5.670220004536176,6.264682850430697
14.0,2018,1,0.0,0,0.0,0,1.0,1,0.0,0,13.0,4.66,375100.0,457974.0,0.0,0,45.0,430.156,"3,12",1.867.529,"93,6",USAQUEN,USAQUEN,38.0,0.0,15.0,23.0,39868.0,18825.0,21043.0,9.531453797531855,9.531453797531855,12.217795484727755,7.128261179489616
32.0,2018,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.7457142857142858,1408200.0,1428675.0,0.0,0,47.0,404.35,"3,73",706.208,"83,68",SAN CRISTOBAL,SAN BLAS,8.0,0.0,5.0,3.0,97856.0,47245.0,50611.0,0.8175277959450622,0.8175277959450622,0.6349878293999365,0.9879275256367193
92.0,2018,1,0.0,0,0.0,0,0.0,0,0.0,0,8.0,2.5425,132324.0,86100.0,26.0,6,25.0,96.241,"3,18",896.890,"88,28",SANTA FE,LA MACARENA,23.0,0.0,8.0,15.0,12041.0,5866.0,6175.0,19.101403537912134,19.101403537912134,25.57108762359359,12.955465587044534
