codigo_upz,year,quarter,cantidad_oxxo,dummy_oxxo,cantidad_ara,dummy_ara,cantidad_d1,dummy_d1,cantidad_jb,dummy_jb,spillover_oxxo,estrato_mean,poblacion_2005,poblacion_urbana_2009,num_est_transmi,acceso_transmi,accesibilidad_arterial,personas_por_localidad_2007,personas_por_hogar_2007_localidad,gasto_promedio_mensual_2007_localidad,ICV_2007_localidad,nombre_localidad,nombre_upz,theft_to_people,homicide,sexual,theft_to_vehicle,theft_to_motorbike,genero_-,genero_FEMENINO,genero_MASCULINO,TOTAL_POBLACION,Hombre,Mujer,crime_index_eb,theft_to_people_index_eb,homicide_index_eb,sexual_index_eb,theft_to_vehicle_index_eb,theft_to_motorbike_index_eb,crime_index,theft_to_people_index,homicide_index,sexual_index,theft_to_vehicle_index,theft_to_motorbike_index,male_index,female_index
45.0,2018,1,0.0,0,0.0,0,1.0,1,1.0,1,0.0,2.7914285714285714,737583.0,674359.0,9.0,4,35.0,979.914,"3,72",999.300,"88,94",KENNEDY,CARVAJAL,16.0,4.0,8.0,11.0,17.0,0.0,12.0,44.0,90556.0,43525.0,47031.0,6.1850661301599175,1.7685476037450785,0.4246713873700372,0.9050656138357831,1.2053830100166543,1.7421681403781788,6.184018728742435,1.7668624939264101,0.44171562348160254,0.8834312469632051,1.214717964574407,1.8772913997968108,10.109132682366456,2.5515085794475985
20.0,2018,1,1.0,1,0.0,0,7.0,1,30.0,1,2.0,4.996666666666667,231126.0,219822.0,33.0,6,26.0,981.613,"3,41",1.388.086,"91,6",SUBA,LA ALHAMBRA,13.0,0.0,1.0,3.0,1.0,0.0,8.0,10.0,39506.0,17788.0,21718.0,4.633366712138408,3.2223596075515433,0.1312514404593923,0.33986434265236504,0.8277849441491396,0.6435726671860422,4.55626993368096,3.29063939654736,0.0,0.25312610742672,0.75937832228016,0.25312610742672,5.621767483696875,3.6835804401878627
51.0,2018,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.68875,263745.0,660861.0,0.0,0,15.0,404.35,"3,73",706.208,"83,68",SAN CRISTOBAL,LOS LIBERTADORES,3.0,1.0,12.0,3.0,7.0,0.0,11.0,15.0,73845.0,35930.0,37915.0,3.5890290396952866,0.4434995682664626,0.18801040581365586,1.626199209409182,0.4863017736249171,1.0263129499455061,3.5208883472137584,0.4062563477554337,0.13541878258514456,1.6250253910217347,0.4062563477554337,0.9479314780960119,4.174784302811021,2.9012264275352764
115.0,2018,1,0.0,0,1.0,1,0.0,0,0.0,0,1.0,3.314,77135.0,83285.0,6.0,3,26.0,317.179,"3,46",1.428.379,"90,03",FONTIBON,CAPELLANIA,8.0,0.0,2.0,0.0,2.0,0.0,6.0,6.0,17190.0,8131.0,9059.0,6.906506815388273,4.366470069540715,0.2042541410506161,1.2285708255874772,0.3942007352507749,1.2185718712509515,6.980802792321117,4.653868528214078,0.0,1.1634671320535195,0.0,1.1634671320535195,7.379166154224572,6.623247599072745
43.0,2018,1,0.0,0,0.0,0,1.0,1,0.0,0,0.0,3.0,844074.0,844239.0,17.0,8,31.0,250.715,"3,55",1.116.511,"90,43",PUENTE ARANDA,SAN RAFAEL,6.0,0.0,9.0,29.0,7.0,0.0,18.0,33.0,71167.0,33640.0,37527.0,7.142003970701121,0.86998390038706,0.08708990615384132,1.2785336299431194,3.7297659356226016,1.0548400781549723,7.166242781064257,0.8430873860075596,0.0,1.2646310790113395,4.074922365703205,0.983601950342153,9.80975029726516,4.7965464865296985
25.0,2018,1,2.0,1,1.0,1,4.0,1,0.0,0,0.0,4.04,127070.0,126620.0,24.0,5,25.0,981.613,"3,41",1.388.086,"91,6",SUBA,LA FLORESTA,10.0,2.0,2.0,1.0,4.0,0.0,8.0,11.0,40557.0,18384.0,22173.0,4.754197687407876,2.4371117515034775,0.4440943837130173,0.5633177608682153,0.4099898918169958,1.0896560892589655,4.684764652217866,2.465665606430456,0.4931331212860912,0.4931331212860912,0.2465665606430456,0.9862662425721824,5.983463881636205,3.607991701619086
56.0,2018,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.508,205135.0,253351.0,6.0,6,8.0,314.431,"4,07",569.872,"82,91",USME,DANUBIO,2.0,0.0,6.0,3.0,0.0,0.0,6.0,5.0,50027.0,24123.0,25904.0,2.3466245459495707,0.45433436052358056,0.11232439549151847,1.222060805543433,0.6812227462758592,0.4205705746296025,2.1988126411737663,0.39978411657704843,0.0,1.1993523497311451,0.5996761748655726,0.0,2.0727106910417445,2.316244595429277
26.0,2018,1,0.0,0,2.0,1,5.0,1,1.0,1,0.0,3.0646153846153847,1441973.0,1441167.0,19.0,5,69.0,824.337,"3,41",1.089.512,"91,78",ENGATIVA,LAS FERIAS,36.0,2.0,18.0,13.0,13.0,0.0,37.0,45.0,99530.0,47242.0,52288.0,8.20115306861974,3.582798483078254,0.23023539720451466,1.8047137861165947,1.2896871791451574,1.2960547756058372,8.238721993368834,3.6169998995277806,0.20094443886265445,1.8084999497638903,1.3061388526072542,1.3061388526072542,9.525422293721688,7.076193390452876
102.0,2018,1,1.0,1,1.0,1,3.0,1,0.0,0,1.0,2.8186666666666667,764715.0,782955.0,131.0,15,94.0,94.944,"3,53",1.059.511,"89,78",LOS MARTIRES,LA SABANA,31.0,10.0,25.0,12.0,17.0,0.0,34.0,61.0,35073.0,17460.0,17613.0,26.013898514747172,8.468561731822184,1.8652745219546367,6.751058041323263,2.934199452942404,3.346450145750011,27.086362729164883,8.838707837938015,2.8511960767541984,7.1279901918854955,3.421435292105038,4.847033330482137,34.93699885452463,19.303923238517005
2.0,2018,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5.058,10545.0,13800.0,3.0,2,95.0,981.613,"3,41",1.388.086,"91,6",SUBA,LA ACADEMIA,4.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4077.0,1982.0,2095.0,8.673604023916006,7.224904495160487,0.3034208759426462,0.6457077947596399,0.7778761736827511,1.0811331046550605,9.811135638950208,9.811135638950208,0.0,0.0,0.0,0.0,5.045408678102927,14.319809069212411
116.0,2018,1,1.0,1,0.0,0,0.0,0,1.0,1,0.0,3.155,24638.0,27282.0,3.0,1,17.0,824.337,"3,41",1.089.512,"91,78",ENGATIVA,ALAMOS,12.0,0.0,1.0,8.0,4.0,0.0,6.0,19.0,11820.0,5550.0,6270.0,19.08337934412309,8.970685341426776,0.2358162915366545,0.9925517595996216,4.264766185976963,1.935995250083838,21.150592216582066,10.152284263959391,0.0,0.8460236886632826,6.768189509306261,3.3840947546531304,34.234234234234236,9.569377990430622
