zat,year,cantidad_oxxo,dummy_oxxo,cantidad_ara,dummy_ara,cantidad_d1,dummy_d1,cantidad_jb,dummy_jb,spillover_oxxo,codigo_upz,nombre_upz,codigo_localidad,nombre_localidad,estrato_mean,poblacion_2005,area_urbana_2009,poblacion_urbana_2009,densidad_urbana_2009,poblacion_por_localidad_2005,personas_por_localidad_2007,personas_por_hogar_2007_localida,gasto_promedio_mensual_2007_loca,icv_2007_localidad,num_est_transmi,acceso_transmi,accesibilidad_arterial
520,2011,0,0,0,0,0,0,0,0,1,45,CARVAJAL,8,KENNEDY,3,105369,438.593.005.327,96337,219.650.105.747,951.073,979.914,"3,72",999.300,"88,94",0,0,5
521,2011,0,0,0,0,0,0,0,0,1,45,CARVAJAL,8,KENNEDY,3,105369,438.593.005.327,96337,219.650.105.747,951.073,979.914,"3,72",999.300,"88,94",0,0,3
521,2023,0,0,2,1,0,0,0,0,7,45,CARVAJAL,8,KENNEDY,3,105369,438.593.005.327,96337,219.650.105.747,951.073,979.914,"3,72",999.300,"88,94",0,0,3
521,2015,0,0,0,0,0,0,0,0,1,45,CARVAJAL,8,KENNEDY,3,105369,438.593.005.327,96337,219.650.105.747,951.073,979.914,"3,72",999.300,"88,94",0,0,3
521,2019,0,0,0,0,0,0,0,0,2,45,CARVAJAL,8,KENNEDY,3,105369,438.593.005.327,96337,219.650.105.747,951.073,979.914,"3,72",999.300,"88,94",0,0,3
522,2019,0,0,0,0,0,0,0,0,2,47,KENNEDY CENTRAL,8,KENNEDY,3,108199,337.213.395.794,96282,285.522.465.006,951.073,979.914,"3,72",999.300,"88,94",1,1,4
522,2023,4,1,0,0,0,0,0,0,3,47,KENNEDY CENTRAL,8,KENNEDY,3,108199,337.213.395.794,96282,285.522.465.006,951.073,979.914,"3,72",999.300,"88,94",1,1,4
522,2015,0,0,0,0,0,0,0,0,1,47,KENNEDY CENTRAL,8,KENNEDY,3,108199,337.213.395.794,96282,285.522.465.006,951.073,979.914,"3,72",999.300,"88,94",1,1,4
522,2011,0,0,0,0,0,0,0,0,1,47,KENNEDY CENTRAL,8,KENNEDY,3,108199,337.213.395.794,96282,285.522.465.006,951.073,979.914,"3,72",999.300,"88,94",1,1,4
523,2015,0,0,0,0,0,0,0,0,1,47,KENNEDY CENTRAL,8,KENNEDY,3,108199,337.213.395.794,96282,285.522.465.006,951.073,979.914,"3,72",999.300,"88,94",2,1,3
523,2011,0,0,0,0,0,0,0,0,1,47,KENNEDY CENTRAL,8,KENNEDY,3,108199,337.213.395.794,96282,285.522.465.006,951.073,979.914,"3,72",999.300,"88,94",2,1,3
523,2019,1,1,0,0,2,1,0,0,0,47,KENNEDY CENTRAL,8,KENNEDY,3,108199,337.213.395.794,96282,285.522.465.006,951.073,979.914,"3,72",999.300,"88,94",2,1,3
523,2023,2,1,0,0,2,1,0,0,5,47,KENNEDY CENTRAL,8,KENNEDY,3,108199,337.213.395.794,96282,285.522.465.006,951.073,979.914,"3,72",999.300,"88,94",2,1,3
524,2019,0,0,0,0,0,0,0,0,1,48,TIMIZA,8,KENNEDY,3,145608,430.438.314.853,147298,342.204.666.539,951.073,979.914,"3,72",999.300,"88,94",0,0,3
524,2011,0,0,0,0,0,0,0,0,1,48,TIMIZA,8,KENNEDY,3,145608,430.438.314.853,147298,342.204.666.539,951.073,979.914,"3,72",999.300,"88,94",0,0,3
524,2023,0,0,0,0,0,0,0,0,6,48,TIMIZA,8,KENNEDY,3,145608,430.438.314.853,147298,342.204.666.539,951.073,979.914,"3,72",999.300,"88,94",0,0,3
524,2015,0,0,0,0,0,0,0,0,1,48,TIMIZA,8,KENNEDY,3,145608,430.438.314.853,147298,342.204.666.539,951.073,979.914,"3,72",999.300,"88,94",0,0,3
525,2023,0,0,0,0,0,0,0,0,6,47,KENNEDY CENTRAL,8,KENNEDY,3,108199,337.213.395.794,96282,285.522.465.006,951.073,979.914,"3,72",999.300,"88,94",0,0,3
525,2015,0,0,0,0,0,0,0,0,1,47,KENNEDY CENTRAL,8,KENNEDY,3,108199,337.213.395.794,96282,285.522.465.006,951.073,979.914,"3,72",999.300,"88,94",0,0,3
525,2019,0,0,0,0,0,0,0,0,1,47,KENNEDY CENTRAL,8,KENNEDY,3,108199,337.213.395.794,96282,285.522.465.006,951.073,979.914,"3,72",999.300,"88,94",0,0,3
525,2011,0,0,0,0,0,0,0,0,1,47,KENNEDY CENTRAL,8,KENNEDY,3,108199,337.213.395.794,96282,285.522.465.006,951.073,979.914,"3,72",999.300,"88,94",0,0,3
526,2019,0,0,0,0,0,0,0,0,1,47,KENNEDY CENTRAL,8,KENNEDY,3,108199,337.213.395.794,96282,285.522.465.006,951.073,979.914,"3,72",999.300,"88,94",0,0,3
526,2015,0,0,0,0,0,0,0,0,1,47,KENNEDY CENTRAL,8,KENNEDY,3,108199,337.213.395.794,96282,285.522.465.006,951.073,979.914,"3,72",999.300,"88,94",0,0,3
526,2023,0,0,0,0,0,0,0,0,5,47,KENNEDY CENTRAL,8,KENNEDY,3,108199,337.213.395.794,96282,285.522.465.006,951.073,979.914,"3,72",999.300,"88,94",0,0,3
526,2011,0,0,0,0,0,0,0,0,1,47,KENNEDY CENTRAL,8,KENNEDY,3,108199,337.213.395.794,96282,285.522.465.006,951.073,979.914,"3,72",999.300,"88,94",0,0,3
527,2023,0,0,0,0,0,0,0,0,1,80,CORABASTOS,8,KENNEDY,2,61954,184.525.478.991,69277,375.433.248.453,951.073,979.914,"3,72",999.300,"88,94",2,1,4
527,2011,0,0,0,0,0,0,0,0,1,80,CORABASTOS,8,KENNEDY,2,61954,184.525.478.991,69277,375.433.248.453,951.073,979.914,"3,72",999.300,"88,94",2,1,4
527,2019,0,0,0,0,0,0,0,0,1,80,CORABASTOS,8,KENNEDY,2,61954,184.525.478.991,69277,375.433.248.453,951.073,979.914,"3,72",999.300,"88,94",2,1,4
527,2015,0,0,0,0,0,0,0,0,1,80,CORABASTOS,8,KENNEDY,2,61954,184.525.478.991,69277,375.433.248.453,951.073,979.914,"3,72",999.300,"88,94",2,1,4
