codigo_localidad,year,cantidad_oxxo,dummy_oxxo,cantidad_ara,dummy_ara,cantidad_d1,dummy_d1,cantidad_jb,dummy_jb,spillover_oxxo,nombre_upz,nombre_localidad,estrato_mean,poblacion_2005,area_urbana_2009,poblacion_urbana_2009,densidad_urbana_2009,poblacion_por_localidad_2005,personas_por_localidad_2007,personas_por_hogar_2007_localidad,gasto_promedio_mensual_2007_localidad,ICV_2007_localidad,num_est_transmi,acceso_transmi,accesibilidad_arterial,theft_to_people,genero_-,genero_FEMENINO,genero_MASCULINO,TOTAL_POBLACION,Hombre,Mujer,crime_index,theft_to_people_index,male_index,female_index
20.0,2019,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2019,19.0,1,7.0,1,8.0,1,1.0,1,30.0,PARDO RUBIO,CHAPINERO,4.468367346938775,16410.29411764706,285.199.005.156,29034.92156862745,130.403.680.685,122.827,122.507,"2,43",2.288.835,"96,61",2.156862745098039,0.6470588235294118,5.549019607843137,802.0,0.0,357.0,445.0,162232.0,77517.0,84715.0,49.435376497854925,49.435376497854925,57.4067623876053,42.1412972909166
4.0,2019,0.0,0,3.0,1,4.0,1,1.0,1,10.0,SAN BLAS,SAN CRISTOBAL,2.1577966101694916,66652.77272727272,400.032.231.099,81488.09090909091,238.093.314.977,407.552,404.35,"3,73",706.208,"83,68",1.0454545454545454,0.3939393939393939,2.1666666666666665,163.0,0.0,72.0,91.0,392261.0,189882.0,202379.0,4.155396534450277,4.155396534450277,4.7924500479245005,3.5576813799850777
13.0,2019,3.0,1,2.0,1,9.0,1,3.0,1,41.0,GALERIAS,TEUSAQUILLO,3.854242424242424,24554.26829268293,237.568.113.094,25420.09756097561,144.564.855.749,137.53,139.298,"2,87",1.933.116,"96,03",4.512195121951219,0.975609756097561,6.0,515.0,0.0,217.0,298.0,152414.0,69301.0,83113.0,33.789546892017796,33.789546892017796,43.00082249895384,26.109032281351894
1.0,2019,9.0,1,8.0,1,26.0,1,23.0,1,30.0,LOS CEDROS,USAQUEN,3.940281690140845,50163.87640449438,672.263.207.867,53775.85393258427,152.267.740.971,425.19200000000006,430.156,"3,12",1.867.529,"93,6",0.7865168539325843,0.2808988764044944,5.044943820224719,641.0,0.0,296.0,345.0,550190.0,253550.0,296640.0,11.65052072920264,11.65052072920264,13.606783671859594,9.978425026968717
3.0,2020,7.0,1,5.0,1,3.0,1,1.0,1,28.0,LOURDES,SANTA FE,2.404857142857143,39191.21621621621,200.137.127.152,25448.675675675677,231.346.380.648,109.107,96.241,"3,18",896.890,"88,28",4.621621621621622,0.6756756756756757,3.918918918918919,241.0,0.0,94.0,147.0,106860.0,53170.0,53690.0,22.552872917836424,22.552872917836424,27.64716945646041,17.507915813000558
12.0,2020,2.0,1,3.0,1,17.0,1,1.0,1,48.0,LOS ANDES,BARRIOS UNIDOS,3.219705882352941,72396.13888888889,274.816.645.782,74789.69444444444,169.658.573.145,223.073,230.066,"3,36",1.462.840,"92,44",5.361111111111111,0.9444444444444444,4.333333333333333,192.0,0.0,71.0,121.0,140237.0,66673.0,73564.0,13.691108623259197,13.691108623259197,18.14827591378819,9.651459953237996
9.0,2020,8.0,1,6.0,1,11.0,1,8.0,1,15.0,AEROPUERTO EL DORADO,FONTIBON,2.9831578947368422,49739.63636363636,743.536.979.514,54196.5,112.301.072.173,301.375,317.179,"3,46",1.428.379,"90,03",0.5227272727272727,0.2272727272727272,5.886363636363637,323.0,0.0,114.0,209.0,383577.0,181305.0,202272.0,8.42073429845898,8.42073429845898,11.52753647169135,5.635975320360703
10.0,2020,6.0,1,11.0,1,22.0,1,9.0,1,23.0,ENGATIVA,ENGATIVA,2.872586206896552,111799.42372881356,58.763.454.342,113678.98305084746,222.634.971.795,804.47,824.337,"3,41",1.089.512,"91,78",1.6779661016949152,0.5254237288135594,4.830508474576271,616.0,0.0,216.0,400.0,816160.0,386180.0,429980.0,7.547539698098412,7.547539698098412,10.357864208400226,5.023489464626262
17.0,2020,4.0,1,0.0,0,0.0,0,2.0,1,8.0,LA CANDELARIA,CANDELARIA,2.40875,22622.0,206.024.323.421,24095.0,116.952.210.302,22.621,22.115,"2,83",1.050.888,"88,9",4.777777777777778,0.8888888888888888,4.0,50.0,0.0,21.0,29.0,17508.0,9175.0,8333.0,28.558373315055974,28.558373315055974,31.607629427792915,25.20100804032161
6.0,2020,0.0,0,3.0,1,3.0,1,6.0,1,10.0,VENECIA,TUNJUELITO,2.3194736842105264,109452.43478260867,659.377.024.137,118026.65217391304,219.024.920.058,184.528,182.532,"3,63",829.895,"87,19",2.652173913043478,0.8695652173913043,4.0,124.0,0.0,39.0,85.0,178491.0,87302.0,91189.0,6.947128986895698,6.947128986895698,9.736317610134934,4.27683163539462
16.0,2020,4.0,1,0.0,0,8.0,1,2.0,1,17.0,CIUDAD MONTES,PUENTE ARANDA,2.9430232558139533,59670.51111111111,445.578.698.505,60731.48888888889,237.134.316.238,253.63800000000003,250.71499999999995,"3,55",1.116.511,"90,43",2.8,0.8222222222222222,5.4222222222222225,244.0,0.0,86.0,158.0,250855.0,122500.0,128355.0,9.726734567778198,9.726734567778198,12.897959183673468,6.700167504187605
18.0,2020,2.0,1,4.0,1,6.0,1,0.0,0,5.0,QUIROGA,RAFAEL URIBE URIBE,2.476363636363636,80121.6888888889,384.046.822.311,79297.2,226.849.943.649,378.164,378.78,"3,72",591.317,"87,06",2.511111111111111,0.8,3.0444444444444443,220.0,0.0,77.0,143.0,379794.0,187871.0,191923.0,5.79261389068811,5.79261389068811,7.6116058359193275,4.012025656122508
8.0,2020,2.0,1,5.0,1,16.0,1,11.0,1,14.0,TIMIZA,KENNEDY,2.611194029850746,90693.52857142856,430.438.314.853,93878.0,342.204.666.539,951.073,979.914,"3,72",999.300,"88,94",1.3428571428571427,0.5571428571428572,4.314285714285714,605.0,1.0,217.0,387.0,1046951.0,503223.0,543728.0,5.778684962333481,5.778684962333481,7.690427504307236,3.9909660712709294
5.0,2020,0.0,0,2.0,1,0.0,0,6.0,1,3.0,CIUDAD USME,USME,1.2341975308641977,33564.545454545456,925.470.476.509,42141.34065934066,145.828.530.921,305.3897373737374,319.6309191919192,"4,07",569.872,"82,91",0.0909090909090909,0.0909090909090909,3.101010101010101,128.0,0.0,52.0,76.0,374481.0,183191.0,191290.0,3.418063933817737,3.418063933817737,4.148675426194519,2.718385697109101
14.0,2020,1.0,1,3.0,1,4.0,1,0.0,0,19.0,LA SABANA,LOS MARTIRES,2.8763636363636365,48715.545454545456,450.942.153.879,49934.40909090909,11.575.098.835,94.842,94.944,"3,53",1.059.511,"89,78",7.772727272727272,1.0,6.136363636363637,209.0,0.0,58.0,151.0,84302.0,39409.0,44893.0,24.791819885649215,24.791819885649215,38.3161206830927,12.919608847704541
19.0,2020,1.0,1,2.0,1,3.0,1,2.0,1,3.0,JERUSALEM,CIUDAD BOLIVAR,1.4298333333333335,93968.73913043478,537.476.344.439,101520.01449275362,183.622.965.031,570.619,593.937,"4,09",505.335,"83,5",0.4347826086956521,0.217391304347826,2.1449275362318843,201.0,0.0,75.0,126.0,633443.0,311110.0,322333.0,3.1731347571920443,3.1731347571920443,4.050014464337372,2.3267862738224134
11.0,2020,10.0,1,24.0,1,64.0,1,89.0,1,37.0,LA ACADEMIA,SUBA,3.6279775280898874,92596.23423423425,672.073.080.488,102797.96396396396,136.889.875.031,923.064,981.613,"3,41",1.388.086,"91,6",1.5945945945945943,0.4954954954954955,4.4324324324324325,576.0,0.0,232.0,344.0,1209766.0,570978.0,638788.0,4.761251349434518,4.761251349434518,6.024750515781694,3.631877868713877
7.0,2020,1.0,1,2.0,1,5.0,1,5.0,1,3.0,TINTAL SUR,BOSA,1.9174074074074072,123136.85294117648,576.903.769.222,133841.88235294115,735.633.952.561,508.828,546.809,"3,98",703.807,"85,4",0.8235294117647058,0.2941176470588235,4.705882352941177,261.0,0.0,93.0,168.0,722905.0,347767.0,375138.0,3.6104329061218277,3.6104329061218277,4.830820635655482,2.4790876957279724
15.0,2020,1.0,1,5.0,1,5.0,1,1.0,1,14.0,CIUDAD JARDIN,ANTONIO NARIÑO,2.9225000000000003,70750.5,133.239.133.285,65494.75,23.201.141.615,116.828,119.565,"3,92",1.095.184,"90,79",4.35,1.0,4.85,107.0,0.0,49.0,58.0,81356.0,38705.0,42651.0,13.152072373273022,13.152072373273022,14.985144038237955,11.488593467913999
20.0,2020,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2020,19.0,1,7.0,1,12.0,1,1.0,1,32.0,PARDO RUBIO,CHAPINERO,4.468367346938775,16410.29411764706,285.199.005.156,29034.92156862745,130.403.680.685,122.827,122.507,"2,43",2.288.835,"96,61",2.156862745098039,0.6470588235294118,5.549019607843137,337.0,0.0,151.0,186.0,164974.0,78892.0,86082.0,20.427461296931636,20.427461296931636,23.576535009886936,17.541414000604075
4.0,2020,0.0,0,3.0,1,4.0,1,1.0,1,10.0,SAN BLAS,SAN CRISTOBAL,2.1577966101694916,66652.77272727272,400.032.231.099,81488.09090909091,238.093.314.977,407.552,404.35,"3,73",706.208,"83,68",1.0454545454545454,0.3939393939393939,2.1666666666666665,152.0,0.0,54.0,98.0,399704.0,193560.0,206144.0,3.8028140824209915,3.8028140824209915,5.0630295515602395,2.619528096864328
13.0,2020,3.0,1,3.0,1,10.0,1,3.0,1,47.0,GALERIAS,TEUSAQUILLO,3.854242424242424,24554.26829268293,237.568.113.094,25420.09756097561,144.564.855.749,137.53,139.298,"2,87",1.933.116,"96,03",4.512195121951219,0.975609756097561,6.0,286.0,0.0,103.0,183.0,154339.0,70288.0,84051.0,18.530637104037215,18.530637104037215,26.035738675165035,12.25446455128434
1.0,2020,10.0,1,9.0,1,30.0,1,28.0,1,31.0,LOS CEDROS,USAQUEN,3.940281690140845,50163.87640449438,672.263.207.867,53775.85393258427,152.267.740.971,425.19200000000006,430.156,"3,12",1.867.529,"93,6",0.7865168539325843,0.2808988764044944,5.044943820224719,372.0,0.0,152.0,220.0,558331.0,257543.0,300788.0,6.662714411343808,6.662714411343808,8.542262845427754,5.053393087490193
