codigo_upz,year,cantidad_oxxo,dummy_oxxo,cantidad_ara,dummy_ara,cantidad_d1,dummy_d1,cantidad_jb,dummy_jb,spillover_oxxo,estrato_mean,poblacion_2005,poblacion_urbana_2009,num_est_transmi,acceso_transmi,accesibilidad_arterial,personas_por_localidad_2007,personas_por_hogar_2007_localidad,gasto_promedio_mensual_2007_localidad,ICV_2007_localidad,nombre_localidad,nombre_upz,theft_to_people,homicide,sexual,theft_to_vehicle,theft_to_motorbike,genero_-,genero_FEMENINO,genero_MASCULINO,TOTAL_POBLACION,Hombre,Mujer,crime_index,theft_to_people_index,homicide_index,sexual_index,theft_to_vehicle_index,theft_to_motorbike_index,male_index,female_index
20.0,2018,1.0,1,0.0,0,7.0,1,30.0,1,16.0,4.996666666666667,231126.0,219822.0,33.0,6,26.0,981.613,"3,41",1.388.086,"91,6",SUBA,LA ALHAMBRA,1040.0,0.0,12.0,18.0,18.0,0.0,462.0,626.0,39506.0,17788.0,21718.0,275.40120488027134,263.2511517237888,0.0,3.03751328912064,4.55626993368096,4.55626993368096,351.9226444794243,212.72677042084905
51.0,2018,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.68875,263745.0,660861.0,0.0,0,15.0,404.35,"3,73",706.208,"83,68",SAN CRISTOBAL,LOS LIBERTADORES,239.0,22.0,104.0,20.0,53.0,1.0,190.0,246.0,73845.0,35930.0,37915.0,59.31342677229332,32.36508903784955,2.9792132168731804,14.083553388855034,2.708375651702891,7.177195477012662,68.46646256610074,50.112092839245676
115.0,2018,1.0,1,1.0,1,0.0,0,0.0,0,3.0,3.314,77135.0,83285.0,6.0,3,26.0,317.179,"3,46",1.428.379,"90,03",FONTIBON,CAPELLANIA,836.0,2.0,28.0,10.0,16.0,1.0,421.0,469.0,17190.0,8131.0,9059.0,518.9063408958697,486.3292611983711,1.1634671320535195,16.288539848749274,5.817335660267597,9.307737056428156,576.8048210552207,464.73120653493766
43.0,2018,0.0,0,0.0,0,1.0,1,0.0,0,0.0,3.0,844074.0,844239.0,17.0,8,31.0,250.715,"3,55",1.116.511,"90,43",PUENTE ARANDA,SAN RAFAEL,1058.0,6.0,76.0,225.0,70.0,0.0,588.0,847.0,71167.0,33640.0,37527.0,201.63839982014136,148.66440906599968,0.8430873860075596,10.679106889429088,31.615776975283488,9.83601950342153,251.78359096313912,156.6871852266368
25.0,2018,2.0,1,1.0,1,4.0,1,0.0,0,6.0,4.04,127070.0,126620.0,24.0,5,25.0,981.613,"3,41",1.388.086,"91,6",SUBA,LA FLORESTA,583.0,4.0,30.0,16.0,18.0,0.0,266.0,385.0,40557.0,18384.0,22173.0,160.51483097862268,143.7483048548956,0.9862662425721824,7.396996819291368,3.9450649702887297,4.4381980915748205,209.4212358572672,119.96572407883463
56.0,2018,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.508,205135.0,253351.0,6.0,6,8.0,314.431,"4,07",569.872,"82,91",USME,DANUBIO,415.0,6.0,78.0,26.0,18.0,0.0,236.0,307.0,50027.0,24123.0,25904.0,108.54138765066864,82.95520418973754,1.1993523497311451,15.591580546504888,5.1971935155016284,3.5980570491934354,127.26443642996311,91.10562075355158
26.0,2018,0.0,0,2.0,1,5.0,1,1.0,1,5.0,3.0646153846153847,1441973.0,1441167.0,19.0,5,69.0,824.337,"3,41",1.089.512,"91,78",ENGATIVA,LAS FERIAS,2063.0,10.0,142.0,127.0,93.0,0.0,1034.0,1401.0,99530.0,47242.0,52288.0,244.64985431528183,207.2741886868281,1.0047221943132725,14.267055159248468,12.759971867778559,9.343916407113433,296.5581474112019,197.75091799265607
102.0,2018,1.0,1,1.0,1,3.0,1,0.0,0,11.0,2.8186666666666667,764715.0,782955.0,131.0,15,94.0,94.944,"3,53",1.059.511,"89,78",LOS MARTIRES,LA SABANA,3927.0,98.0,146.0,84.0,85.0,3.0,1594.0,2739.0,35073.0,17460.0,17613.0,1237.419097311322,1119.6646993413735,27.941721552191147,41.6274627206113,23.950047044735264,24.235166652410687,1568.7285223367696,905.0133424175325
2.0,2018,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5.058,10545.0,13800.0,3.0,2,95.0,981.613,"3,41",1.388.086,"91,6",SUBA,LA ACADEMIA,185.0,0.0,12.0,6.0,4.0,0.0,91.0,116.0,4077.0,1982.0,2095.0,507.72626931567333,453.7650233014472,0.0,29.433406916850625,14.716703458425313,9.811135638950208,585.2674066599395,434.36754176610975
116.0,2018,1.0,1,0.0,0,0.0,0,1.0,1,4.0,3.155,24638.0,27282.0,3.0,1,17.0,824.337,"3,41",1.089.512,"91,78",ENGATIVA,ALAMOS,653.0,2.0,12.0,50.0,20.0,0.0,305.0,432.0,11820.0,5550.0,6270.0,623.5194585448393,552.4534686971235,1.6920473773265652,10.152284263959391,42.30118443316413,16.920473773265652,778.3783783783783,486.4433811802233
81.0,2018,0.0,0,0.0,0,1.0,1,3.0,1,1.0,2.0025,290204.0,283616.0,1.0,1,16.0,979.914,"3,72",999.300,"88,94",KENNEDY,GRAN BRITALIA,538.0,22.0,91.0,38.0,163.0,0.0,303.0,549.0,63264.0,30735.0,32529.0,134.67374810318665,85.04046535154275,3.4774911482043502,14.384167931208902,6.006575619625695,25.765048052604957,178.6237188872621,93.14765286359864
52.0,2018,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,614920.0,740280.0,0.0,0,176.0,314.431,"4,07",569.872,"82,91",USME,LA FLORA,122.0,28.0,88.0,20.0,28.0,2.0,124.0,158.0,18178.0,8980.0,9198.0,157.33303993838706,67.11409395973155,15.403234679282649,48.41016613488833,11.002310485201892,15.403234679282649,175.94654788418705,134.81191563383342
33.0,2018,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2.8193333333333332,1647904.0,748256.0,42.0,13,30.0,404.35,"3,73",706.208,"83,68",SAN CRISTOBAL,SOSIEGO,550.0,4.0,89.0,63.0,74.0,1.0,357.0,421.0,42167.0,20418.0,21749.0,184.97877487134488,130.43375151184577,0.9486091019043328,21.106552517371405,14.940593354993242,17.549268385230157,206.1906161230287,164.14547795300933
19.0,2018,2.0,1,2.0,1,5.0,1,2.0,1,9.0,3.51625,692512.0,712104.0,25.0,8,34.0,981.613,"3,41",1.388.086,"91,6",SUBA,EL PRADO,1617.0,6.0,54.0,72.0,26.0,0.0,795.0,980.0,96752.0,44278.0,52474.0,183.4587398710104,167.1283280965768,0.6201422192822887,5.581279973540599,7.441706631387464,2.6872829502232514,221.32887664302814,151.50360178374052
41.0,2018,0.0,0,0.0,0,1.0,1,0.0,0,1.0,3.0,523602.0,513468.0,24.0,8,22.0,250.715,"3,55",1.116.511,"90,43",PUENTE ARANDA,MUZU,774.0,12.0,66.0,189.0,76.0,0.0,485.0,632.0,56895.0,26833.0,30062.0,196.3265664821162,136.0400738201951,2.1091484313208544,11.600316372264698,33.21908779330345,13.357940065032077,235.5308761599523,161.3332446277693
37.0,2018,0.0,0,1.0,1,1.0,1,0.0,0,5.0,3.0,307027.0,315602.0,40.0,7,41.0,94.944,"3,53",1.059.511,"89,78",LOS MARTIRES,SANTA ISABEL,760.0,14.0,51.0,81.0,41.0,0.0,364.0,583.0,38204.0,18413.0,19791.0,247.87980316197257,198.9320490001047,3.664537744738771,13.349387498691238,21.201968380274316,10.731860538163541,316.6241242600337,183.92198474053865
107.0,2018,0.0,0,0.0,0,3.0,1,1.0,1,3.0,3.77,207448.0,216792.0,32.0,8,35.0,139.298,"2,87",1.933.116,"96,03",TEUSAQUILLO,QUINTA PAREDES,1244.0,4.0,24.0,23.0,26.0,0.0,584.0,737.0,25448.0,11749.0,13699.0,519.0977679974851,488.83998742533794,1.5718327569946557,9.430996541967936,9.038038352719271,10.216912920465262,627.2874287173375,426.3084896707789
73.0,2018,1.0,1,0.0,0,2.0,1,0.0,0,3.0,2.775714285714286,955689.0,1044302.0,4.0,2,40.0,824.337,"3,41",1.089.512,"91,78",ENGATIVA,GARCES NAVAS,1254.0,6.0,130.0,205.0,259.0,1.0,654.0,1198.0,160612.0,75640.0,84972.0,115.43346698876796,78.07635793091426,0.3735710905785371,8.094040295868304,12.763678928100017,16.12581874330685,158.3818085668958,76.9665301511086
31.0,2018,0.0,0,0.0,0,2.0,1,1.0,1,4.0,3.318333333333334,409362.0,391260.0,10.0,4,38.0,824.337,"3,41",1.089.512,"91,78",ENGATIVA,SANTA CECILIA,1237.0,4.0,81.0,91.0,53.0,0.0,626.0,840.0,65800.0,30709.0,35091.0,222.79635258358664,187.9939209726444,0.60790273556231,12.310030395136778,13.829787234042554,8.054711246200608,273.5354456348302,178.393320224559
