codigo_upz,year,semester,cantidad_oxxo,dummy_oxxo,cantidad_ara,dummy_ara,cantidad_d1,dummy_d1,cantidad_jb,dummy_jb,spillover_oxxo,nombre_upz,   ,nombre_localidad,estrato_mean,poblacion_2005,area_urbana_2009,poblacion_urbana_2009,densidad_urbana_2009,poblacion_por_localidad_2005,personas_por_localidad_2007,personas_por_hogar_2007_localidad,gasto_promedio_mensual_2007_localidad,ICV_2007_localidad,num_est_transmi,acceso_transmi,accesibilidad_arterial,theft_to_people,homicide,sexual,theft_to_vehicle,theft_to_motorbike,dia_Domingo,dia_Jueves,dia_Lunes,dia_Martes,dia_Miércoles,dia_Sábado,dia_Viernes,genero_FEMENINO,genero_MASCULINO,TOTAL_POBLACION,Hombre,Mujer,crime_index,theft_to_people_index,homicide_index,sexual_index,theft_to_vehicle_index,theft_to_motorbike_index,male_index,female_index
20.0,2015,1,1.0,1,0.0,0,2.0,1,0.0,0,9.0,LA ALHAMBRA,11,SUBA,4.996666666666667,38521.0,284.774.117.529,36637.0,128.652.843.587,923.064,981.613,"3,41",1.388.086,"91,6",5.5,1.0,4.333333333333333,105.0,1.0,10.0,2.0,2.0,9.0,17.0,17.0,18.0,27.0,12.0,20.0,53.0,67.0,40161.0,18050.0,22111.0,29.879734070366776,26.14476731157093,0.2489977839197231,2.4899778391972314,0.4979955678394462,0.4979955678394462,37.119113573407205,23.969969698340194
51.0,2015,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,LOS LIBERTADORES,4,SAN CRISTOBAL,1.68875,29305.0,364.939.485.846,73429.0,2.012.087.013,407.552,404.35,"3,73",706.208,"83,68",0.0,0.0,1.6666666666666667,25.0,6.0,6.0,4.0,4.0,10.0,7.0,5.0,10.0,4.0,7.0,2.0,22.0,23.0,72249.0,35162.0,37087.0,6.2284599094797155,3.4602555052665087,0.8304613212639621,0.8304613212639621,0.5536408808426414,0.5536408808426414,6.54115238041067,5.93199773505541
115.0,2015,1,0.0,0,0.0,0,0.0,0,0.0,0,1.0,CAPELLANIA,9,FONTIBON,3.314,15427.0,272.109.155.246,16657.0,612.144.048.771,301.375,317.179,"3,46",1.428.379,"90,03",1.2,0.6,5.2,58.0,0.0,2.0,7.0,5.0,4.0,13.0,16.0,10.0,7.0,8.0,14.0,27.0,45.0,17116.0,8093.0,9023.0,42.06590324842252,33.88642206122926,0.0,1.1684973124561815,4.089740593596635,2.921243281140453,55.60360805634499,29.923528759835975
43.0,2015,1,0.0,0,0.0,0,0.0,0,0.0,0,1.0,SAN RAFAEL,16,PUENTE ARANDA,3.0,76734.0,329.312.713.782,76749.0,23.305.811.403,253.638,250.71500000000003,"3,55",1.116.511,"90,43",1.5454545454545454,0.7272727272727273,2.8181818181818183,108.0,5.0,12.0,24.0,18.0,21.0,20.0,24.0,24.0,32.0,21.0,25.0,57.0,110.0,71524.0,33993.0,37531.0,23.348805995190425,15.099826631620155,0.6990660477601924,1.6777585146244618,3.3555170292489236,2.5166377719366926,32.359603447768656,15.187445045429111
25.0,2015,1,1.0,1,0.0,0,1.0,1,0.0,0,5.0,LA FLORESTA,11,SUBA,4.04,25414.0,393.477.586.199,25324.0,643.594.473.694,923.064,981.613,"3,41",1.388.086,"91,6",4.8,1.0,5.0,78.0,0.0,9.0,3.0,1.0,9.0,14.0,12.0,14.0,15.0,10.0,17.0,40.0,50.0,37653.0,17113.0,20540.0,24.16806097787693,20.715480838180223,0.0,2.390247789020795,0.7967492630069317,0.2655830876689772,29.217553906386957,19.474196689386563
56.0,2015,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,DANUBIO,5,USME,1.508,29305.0,288.740.865.613,36193.0,125.347.688.223,298.992,314.431,"4,07",569.872,"82,91",0.8571428571428571,0.8571428571428571,1.1428571428571428,43.0,7.0,4.0,15.0,6.0,15.0,8.0,13.0,13.0,8.0,6.0,12.0,27.0,48.0,45568.0,22258.0,23310.0,16.458918539325843,9.436446629213483,1.5361657303370786,0.8778089887640449,3.2917837078651684,1.3167134831460674,21.565279899362025,11.583011583011583
26.0,2015,1,0.0,0,0.0,0,1.0,1,0.0,0,3.0,LAS FERIAS,10,ENGATIVA,3.0646153846153847,110921.0,473.343.150.688,110859.0,234.204.297.324,804.47,824.337,"3,41",1.089.512,"91,78",1.4615384615384617,0.3846153846153846,5.3076923076923075,150.0,5.0,22.0,26.0,38.0,23.0,32.0,30.0,43.0,45.0,33.0,35.0,70.0,170.0,100458.0,47763.0,52695.0,23.990125226462798,14.93161321149137,0.49772044038304564,2.189969937685401,2.5881462899918373,3.7826753469111467,35.59240416221761,13.283992788689629
102.0,2015,1,1.0,1,0.0,0,0.0,0,0.0,0,8.0,LA SABANA,14,LOS MARTIRES,2.8186666666666667,50981.0,450.942.153.879,52197.0,11.575.098.835,94.842,94.944,"3,53",1.059.511,"89,78",8.733333333333333,1.0,6.266666666666667,642.0,33.0,31.0,9.0,20.0,68.0,105.0,112.0,92.0,119.0,122.0,117.0,219.0,515.0,36187.0,17240.0,18947.0,203.11161466825104,177.41177771022743,9.119296985105148,8.5666123193412,2.487080995937768,5.526846657639484,298.723897911833,115.58558083073838
2.0,2015,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,LA ACADEMIA,11,SUBA,5.058,703.0,672.073.080.488,920.0,136.889.875.031,923.064,981.613,"3,41",1.388.086,"91,6",0.2,0.1333333333333333,6.333333333333333,17.0,0.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,1.0,6.0,3.0,7.0,12.0,2791.0,1390.0,1401.0,68.07595843783591,60.91006807595844,0.0,0.0,3.582945180938731,3.582945180938731,86.33093525179856,49.96431120628123
116.0,2015,1,1.0,1,0.0,0,0.0,0,0.0,0,0.0,ALAMOS,10,ENGATIVA,3.155,12319.0,200.244.113.699,13641.0,681.218.526.129,804.47,824.337,"3,41",1.089.512,"91,78",1.5,0.5,8.5,34.0,0.0,10.0,7.0,4.0,9.0,11.0,6.0,6.0,11.0,6.0,6.0,23.0,32.0,11648.0,5508.0,6140.0,47.21840659340659,29.18956043956044,0.0,8.585164835164836,6.009615384615385,3.4340659340659343,58.09731299927378,37.45928338762215
