codigo_upz,year,quarter,cantidad_oxxo,dummy_oxxo,cantidad_ara,dummy_ara,cantidad_d1,dummy_d1,cantidad_jb,dummy_jb,spillover_oxxo,estrato_mean,poblacion_2005,poblacion_urbana_2009,num_est_transmi,acceso_transmi,accesibilidad_arterial,personas_por_localidad_2007,personas_por_hogar_2007_localidad,gasto_promedio_mensual_2007_localidad,ICV_2007_localidad,nombre_localidad,nombre_upz,theft_to_people,genero_-,genero_FEMENINO,genero_MASCULINO,TOTAL_POBLACION,Hombre,Mujer,crime_index,theft_to_people_index,male_index,female_index
26.0,2018,1,0.0,0,2.0,1,5.0,1,1.0,1,5.0,3.0646153846153847,1441973.0,1441167.0,19.0,5,69.0,824.337,"3,41",1.089.512,"91,78",ENGATIVA,LAS FERIAS,36.0,0.0,12.0,24.0,99530.0,47242.0,52288.0,3.6169998995277806,3.6169998995277806,5.080225223318235,2.294981640146879
102.0,2018,1,1.0,1,1.0,1,3.0,1,0.0,0,9.0,2.8186666666666667,764715.0,782955.0,131.0,15,94.0,94.944,"3,53",1.059.511,"89,78",LOS MARTIRES,LA SABANA,31.0,0.0,14.0,17.0,35073.0,17460.0,17613.0,8.838707837938015,8.838707837938015,9.736540664375717,7.948674274683473
2.0,2018,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5.058,10545.0,13800.0,3.0,2,95.0,981.613,"3,41",1.388.086,"91,6",SUBA,LA ACADEMIA,4.0,0.0,3.0,1.0,4077.0,1982.0,2095.0,9.811135638950208,9.811135638950208,5.045408678102927,14.319809069212411
116.0,2018,1,1.0,1,0.0,0,0.0,0,1.0,1,2.0,3.155,24638.0,27282.0,3.0,1,17.0,824.337,"3,41",1.089.512,"91,78",ENGATIVA,ALAMOS,12.0,0.0,5.0,7.0,11820.0,5550.0,6270.0,10.152284263959391,10.152284263959391,12.612612612612612,7.974481658692185
81.0,2018,1,0.0,0,0.0,0,1.0,1,3.0,1,0.0,2.0025,290204.0,283616.0,1.0,1,16.0,979.914,"3,72",999.300,"88,94",KENNEDY,GRAN BRITALIA,4.0,0.0,1.0,3.0,63264.0,30735.0,32529.0,0.6322711178553364,0.6322711178553364,0.9760858955588091,0.30741799624950045
52.0,2018,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,614920.0,740280.0,0.0,0,176.0,314.431,"4,07",569.872,"82,91",USME,LA FLORA,2.0,0.0,0.0,2.0,18178.0,8980.0,9198.0,1.1002310485201892,1.1002310485201892,2.2271714922048997,0.0
33.0,2018,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2.8193333333333332,1647904.0,748256.0,42.0,13,30.0,404.35,"3,73",706.208,"83,68",SAN CRISTOBAL,SOSIEGO,5.0,0.0,0.0,5.0,42167.0,20418.0,21749.0,1.1857613773804159,1.1857613773804159,2.4488196689195805,0.0
19.0,2018,1,1.0,1,2.0,1,5.0,1,2.0,1,8.0,3.51625,692512.0,712104.0,25.0,8,34.0,981.613,"3,41",1.388.086,"91,6",SUBA,EL PRADO,23.0,0.0,7.0,16.0,96752.0,44278.0,52474.0,2.377211840582107,2.377211840582107,3.6135326798861738,1.3339939779700425
41.0,2018,1,0.0,0,0.0,0,1.0,1,0.0,0,1.0,3.0,523602.0,513468.0,24.0,8,22.0,250.715,"3,55",1.116.511,"90,43",PUENTE ARANDA,MUZU,8.0,0.0,5.0,3.0,56895.0,26833.0,30062.0,1.4060989542139029,1.4060989542139029,1.1180263108858495,1.663229326059477
37.0,2018,1,0.0,0,1.0,1,1.0,1,0.0,0,4.0,3.0,307027.0,315602.0,40.0,7,41.0,94.944,"3,53",1.059.511,"89,78",LOS MARTIRES,SANTA ISABEL,7.0,0.0,4.0,3.0,38204.0,18413.0,19791.0,1.8322688723693854,1.8322688723693854,1.6292836582849075,2.0211207114344907
107.0,2018,1,0.0,0,0.0,0,3.0,1,1.0,1,3.0,3.77,207448.0,216792.0,32.0,8,35.0,139.298,"2,87",1.933.116,"96,03",TEUSAQUILLO,QUINTA PAREDES,14.0,0.0,6.0,8.0,25448.0,11749.0,13699.0,5.501414649481296,5.501414649481296,6.809090135330666,4.379881743192934
73.0,2018,1,0.0,0,0.0,0,2.0,1,0.0,0,3.0,2.775714285714286,955689.0,1044302.0,4.0,2,40.0,824.337,"3,41",1.089.512,"91,78",ENGATIVA,GARCES NAVAS,17.0,0.0,7.0,10.0,160612.0,75640.0,84972.0,1.058451423305855,1.058451423305855,1.3220518244315178,0.8238007814338841
31.0,2018,1,0.0,0,0.0,0,2.0,1,1.0,1,3.0,3.318333333333334,409362.0,391260.0,10.0,4,38.0,824.337,"3,41",1.089.512,"91,78",ENGATIVA,SANTA CECILIA,14.0,0.0,7.0,7.0,65800.0,30709.0,35091.0,2.127659574468085,2.127659574468085,2.279462046956918,1.9948134849391583
58.0,2018,1,0.0,0,0.0,0,0.0,0,1.0,1,0.0,1.5654545454545454,857659.0,954745.0,0.0,0,29.0,314.431,"4,07",569.872,"82,91",USME,COMUNEROS,6.0,0.0,1.0,5.0,91633.0,44615.0,47018.0,0.6547859395632577,0.6547859395632577,1.120699316373417,0.21268450380705262
13.0,2018,1,4.0,1,1.0,1,5.0,1,2.0,1,2.0,4.381666666666667,1717632.0,1842552.0,20.0,5,88.0,430.156,"3,12",1.867.529,"93,6",USAQUEN,LOS CEDROS,24.0,0.0,9.0,15.0,123293.0,54733.0,68560.0,1.946582531043936,1.946582531043936,2.7405769828074473,1.3127187864644108
63.0,2018,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,1596.0,5864.0,2.0,2,6.0,593.937,"4,09",505.335,"83,5",CIUDAD BOLIVAR,EL MOCHUELO,1.0,0.0,0.0,1.0,36.0,18.0,18.0,277.77777777777777,277.77777777777777,555.5555555555555,0.0
87.0,2018,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.765,212992.0,339512.0,0.0,0,47.0,546.809,"3,98",703.807,"85,4",BOSA,TINTAL SUR,6.0,0.0,3.0,3.0,97019.0,45633.0,51386.0,0.6184355641678434,0.6184355641678434,0.657418973111564,0.5838166037442105
77.0,2018,1,0.0,0,0.0,0,0.0,0,0.0,0,1.0,2.045,283878.0,356976.0,0.0,0,13.0,317.179,"3,46",1.428.379,"90,03",FONTIBON,ZONA FRANCA,3.0,0.0,1.0,2.0,56771.0,26670.0,30101.0,0.528438815592468,0.528438815592468,0.7499062617172854,0.33221487658217336
39.0,2018,1,1.0,1,1.0,1,5.0,1,0.0,0,0.0,3.0,1410480.0,1306815.0,45.0,15,69.0,378.78,"3,72",591.317,"87,06",RAFAEL URIBE URIBE,QUIROGA,20.0,0.0,6.0,14.0,88243.0,42702.0,45541.0,2.26646872839772,2.26646872839772,3.278534963233572,1.3174941261720208
108.0,2018,1,0.0,0,0.0,0,0.0,0,1.0,1,2.0,2.685714285714286,33520.0,33976.0,48.0,8,66.0,250.715,"3,55",1.116.511,"90,43",PUENTE ARANDA,ZONA INDUSTRIAL,13.0,0.0,4.0,9.0,5977.0,2974.0,3003.0,21.750041827003514,21.750041827003514,30.26227303295225,13.32001332001332
61.0,2018,1,0.0,0,0.0,0,0.0,0,4.0,1,0.0,1.2366666666666666,79500.0,134960.0,0.0,0,65.0,314.431,"4,07",569.872,"82,91",USME,CIUDAD USME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2018,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4.0,52488.0,63828.0,3.0,3,83.0,430.156,"3,12",1.867.529,"93,6",USAQUEN,PASEO DE LOS LIBERTADORES,8.0,0.0,3.0,5.0,2567.0,1279.0,1288.0,31.164783794312427,31.164783794312427,39.09304143862392,23.29192546583851
46.0,2018,1,0.0,0,0.0,0,2.0,1,1.0,1,1.0,2.72,884656.0,1003288.0,18.0,6,40.0,979.914,"3,72",999.300,"88,94",KENNEDY,CASTILLA,19.0,0.0,6.0,13.0,138657.0,65654.0,73003.0,1.370287832565251,1.370287832565251,1.9800773753312824,0.8218840321630617
85.0,2018,1,0.0,0,1.0,1,1.0,1,2.0,1,1.0,1.9988888888888892,2537808.0,2654832.0,17.0,6,39.0,546.809,"3,98",703.807,"85,4",BOSA,BOSA CENTRAL,30.0,0.0,18.0,12.0,233322.0,112383.0,120939.0,1.285776737727261,1.285776737727261,1.0677771549077708,1.4883536328231588
60.0,2018,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.11,10544.0,15584.0,0.0,0,0.0,314.431,"4,07",569.872,"82,91",USME,PARQUE ENTRENUBES,2.0,0.0,2.0,0.0,1014.0,517.0,497.0,19.723865877712033,19.723865877712033,0.0,40.24144869215292
30.0,2018,1,1.0,1,2.0,1,6.0,1,0.0,0,4.0,3.001818181818182,1427481.0,1341120.0,25.0,7,42.0,824.337,"3,41",1.089.512,"91,78",ENGATIVA,BOYACA REAL,27.0,0.0,9.0,18.0,125315.0,59415.0,65900.0,2.154570482384391,2.154570482384391,3.029537995455693,1.3657056145675264
72.0,2018,1,0.0,0,0.0,0,1.0,1,0.0,0,2.0,3.0,331356.0,345116.0,4.0,2,21.0,824.337,"3,41",1.089.512,"91,78",ENGATIVA,BOLIVIA,10.0,0.0,5.0,5.0,81481.0,37070.0,44411.0,1.2272799793816964,1.2272799793816964,1.348799568384138,1.1258472000180135
57.0,2018,1,0.0,0,1.0,1,0.0,0,0.0,0,0.0,1.7740000000000002,1391324.0,1519562.0,3.0,3,23.0,314.431,"4,07",569.872,"82,91",USME,GRAN YOMASA,8.0,0.0,3.0,5.0,123476.0,59837.0,63639.0,0.6478991868865204,0.6478991868865204,0.8356033892073467,0.4714090416254184
23.0,2018,1,0.0,0,0.0,0,4.0,1,14.0,1,4.0,3.5728571428571425,209118.0,255647.0,7.0,5,41.0,981.613,"3,41",1.388.086,"91,6",SUBA,CASA BLANCA SUBA,8.0,0.0,5.0,3.0,52913.0,24468.0,28445.0,1.5119157862907038,1.5119157862907038,1.2260912211868564,1.7577781683951486
88.0,2018,1,0.0,0,0.0,0,0.0,0,0.0,0,15.0,5.9375,358776.0,369156.0,3.0,2,60.0,122.507,"2,43",2.288.835,"96,61",CHAPINERO,EL REFUGIO,7.0,0.0,3.0,4.0,36695.0,16397.0,20298.0,1.907616841531544,1.907616841531544,2.4394706348722326,1.4779781259237366
9.0,2018,1,0.0,0,1.0,1,4.0,1,1.0,1,0.0,2.7445454545454546,927663.0,1059410.0,9.0,4,60.0,430.156,"3,12",1.867.529,"93,6",USAQUEN,VERBENAL,7.0,0.0,3.0,4.0,119080.0,56578.0,62502.0,0.5878401074907625,0.5878401074907625,0.7069885821343985,0.4799846404915043
