"ZAT","codigo_upz","nombre_upz","codigo_localidad","nombre_localidad","estrato_mean","poblacion_2005","area_urbana_2009","poblacion_urbana_2009","densidad_urbana_2009","poblacion_por_localidad_2005","personas_por_localidad_2007","personas_por_hogar_2007_localidad","gasto_promedio_mensual_2007_localidad","ICV_2007_localidad","num_est_transmi","acceso_transmi","accesibilidad_arterial"
"100","28","EL RINCON","11","SUBA","2.01","271222","710.088.818.863","302006","42.530.735.871","923.064","981.613","3,41","1.388.086","91,6","0","0","1"
"101","28","EL RINCON","11","SUBA","1.84","271222","710.088.818.863","302006","42.530.735.871","923.064","981.613","3,41","1.388.086","91,6","0","0","3"
"102","24","NIZA","11","SUBA","3","66141","756.595.298.134","65073","860.076.716.846","923.064","981.613","3,41","1.388.086","91,6","0","0","1"
"103","28","EL RINCON","11","SUBA","2","271222","710.088.818.863","302006","42.530.735.871","923.064","981.613","3,41","1.388.086","91,6","0","0","3"
"104","28","EL RINCON","11","SUBA","2","271222","710.088.818.863","302006","42.530.735.871","923.064","981.613","3,41","1.388.086","91,6","0","0","1"
"105","28","EL RINCON","11","SUBA","2","271222","710.088.818.863","302006","42.530.735.871","923.064","981.613","3,41","1.388.086","91,6","0","0","3"
"106","28","EL RINCON","11","SUBA","3","271222","710.088.818.863","302006","42.530.735.871","923.064","981.613","3,41","1.388.086","91,6","3","1","6"
"107","28","EL RINCON","11","SUBA","2.84","271222","710.088.818.863","302006","42.530.735.871","923.064","981.613","3,41","1.388.086","91,6","4","1","5"
"108","28","EL RINCON","11","SUBA","2.45","271222","710.088.818.863","302006","42.530.735.871","923.064","981.613","3,41","1.388.086","91,6","4","1","6"
"109","28","EL RINCON","11","SUBA","2","271222","710.088.818.863","302006","42.530.735.871","923.064","981.613","3,41","1.388.086","91,6","2","1","2"
"110","28","EL RINCON","11","SUBA","2.81","271222","710.088.818.863","302006","42.530.735.871","923.064","981.613","3,41","1.388.086","91,6","2","1","4"
"111","28","EL RINCON","11","SUBA","2","271222","710.088.818.863","302006","42.530.735.871","923.064","981.613","3,41","1.388.086","91,6","0","0","3"
"112","28","EL RINCON","11","SUBA","2.01","271222","710.088.818.863","302006","42.530.735.871","923.064","981.613","3,41","1.388.086","91,6","0","0","6"
"113","71","TIBABUYES","11","SUBA","2","193830","726.380.148.869","222576","306.418.065.453","923.064","981.613","3,41","1.388.086","91,6","0","0","3"
"114","71","TIBABUYES","11","SUBA","2","193830","726.380.148.869","222576","306.418.065.453","923.064","981.613","3,41","1.388.086","91,6","0","0","3"
"115","71","TIBABUYES","11","SUBA","2","193830","726.380.148.869","222576","306.418.065.453","923.064","981.613","3,41","1.388.086","91,6","0","0","1"
"116","71","TIBABUYES","11","SUBA","2","193830","726.380.148.869","222576","306.418.065.453","923.064","981.613","3,41","1.388.086","91,6","0","0","1"
"117","71","TIBABUYES","11","SUBA","2","193830","726.380.148.869","222576","306.418.065.453","923.064","981.613","3,41","1.388.086","91,6","0","0","1"
"118","71","TIBABUYES","11","SUBA","2","193830","726.380.148.869","222576","306.418.065.453","923.064","981.613","3,41","1.388.086","91,6","0","0","0"
"119","72","BOLIVIA","10","ENGATIVA","","82839","474.504.159.406","86279","181.829.807.579","804.47","824.337","3,41","1.089.512","91,78","0","0","1"
"120","72","BOLIVIA","10","ENGATIVA","3","82839","474.504.159.406","86279","181.829.807.579","804.47","824.337","3,41","1.089.512","91,78","3","1","6"
"121","29","MINUTO DE DIOS","10","ENGATIVA","1.96","143506","373.264.507.687","147709","39.572.206.025","804.47","824.337","3,41","1.089.512","91,78","2","1","2"
"122","29","MINUTO DE DIOS","10","ENGATIVA","1.92","143506","373.264.507.687","147709","39.572.206.025","804.47","824.337","3,41","1.089.512","91,78","3","1","4"
"123","29","MINUTO DE DIOS","10","ENGATIVA","2.99","143506","373.264.507.687","147709","39.572.206.025","804.47","824.337","3,41","1.089.512","91,78","3","1","3"
"124","29","MINUTO DE DIOS","10","ENGATIVA","3","143506","373.264.507.687","147709","39.572.206.025","804.47","824.337","3,41","1.089.512","91,78","4","1","3"
"125","29","MINUTO DE DIOS","10","ENGATIVA","3","143506","373.264.507.687","147709","39.572.206.025","804.47","824.337","3,41","1.089.512","91,78","4","1","6"
"126","28","EL RINCON","11","SUBA","2.23","271222","710.088.818.863","302006","42.530.735.871","923.064","981.613","3,41","1.388.086","91,6","0","0","2"
"127","25","LA FLORESTA","11","SUBA","4.5","25414","393.477.586.199","25324","643.594.473.694","923.064","981.613","3,41","1.388.086","91,6","3","1","5"
"128","29","MINUTO DE DIOS","10","ENGATIVA","3","143506","373.264.507.687","147709","39.572.206.025","804.47","824.337","3,41","1.089.512","91,78","2","1","5"
"129","29","MINUTO DE DIOS","10","ENGATIVA","3","143506","373.264.507.687","147709","39.572.206.025","804.47","824.337","3,41","1.089.512","91,78","4","1","3"
"130","29","MINUTO DE DIOS","10","ENGATIVA","3","143506","373.264.507.687","147709","39.572.206.025","804.47","824.337","3,41","1.089.512","91,78","4","1","1"
"131","29","MINUTO DE DIOS","10","ENGATIVA","2.55","143506","373.264.507.687","147709","39.572.206.025","804.47","824.337","3,41","1.089.512","91,78","4","1","5"
"132","24","NIZA","11","SUBA","6","66141","756.595.298.134","65073","860.076.716.846","923.064","981.613","3,41","1.388.086","91,6","1","1","3"
"133","24","NIZA","11","SUBA","5","66141","756.595.298.134","65073","860.076.716.846","923.064","981.613","3,41","1.388.086","91,6","3","1","5"
"134","25","LA FLORESTA","11","SUBA","4.45","25414","393.477.586.199","25324","643.594.473.694","923.064","981.613","3,41","1.388.086","91,6","5","1","6"
"135","25","LA FLORESTA","11","SUBA","3.58","25414","393.477.586.199","25324","643.594.473.694","923.064","981.613","3,41","1.388.086","91,6","6","1","6"
"136","25","LA FLORESTA","11","SUBA","3.73","25414","393.477.586.199","25324","643.594.473.694","923.064","981.613","3,41","1.388.086","91,6","6","1","5"
"137","25","LA FLORESTA","11","SUBA","3.94","25414","393.477.586.199","25324","643.594.473.694","923.064","981.613","3,41","1.388.086","91,6","4","1","3"
"138","20","LA ALHAMBRA","11","SUBA","4.98","38521","284.774.117.529","36637","128.652.843.587","923.064","981.613","3,41","1.388.086","91,6","7","1","10"
"139","24","NIZA","11","SUBA","5","66141","756.595.298.134","65073","860.076.716.846","923.064","981.613","3,41","1.388.086","91,6","3","1","8"
"140","20","LA ALHAMBRA","11","SUBA","5","38521","284.774.117.529","36637","128.652.843.587","923.064","981.613","3,41","1.388.086","91,6","4","1","5"
"141","20","LA ALHAMBRA","11","SUBA","5","38521","284.774.117.529","36637","128.652.843.587","923.064","981.613","3,41","1.388.086","91,6","5","1","3"
"142","20","LA ALHAMBRA","11","SUBA","5","38521","284.774.117.529","36637","128.652.843.587","923.064","981.613","3,41","1.388.086","91,6","6","1","1"
"143","20","LA ALHAMBRA","11","SUBA","5","38521","284.774.117.529","36637","128.652.843.587","923.064","981.613","3,41","1.388.086","91,6","6","1","3"
"144","16","SANTA BARBARA","1","USAQUEN","6","51582","458.698.320.974","51474","112.217.546.144","425.192","430.156","3,12","1.867.529","93,6","5","1","5"
"145","16","SANTA BARBARA","1","USAQUEN","6","51582","458.698.320.974","51474","112.217.546.144","425.192","430.156","3,12","1.867.529","93,6","3","1","5"
"146","16","SANTA BARBARA","1","USAQUEN","5","51582","458.698.320.974","51474","112.217.546.144","425.192","430.156","3,12","1.867.529","93,6","3","1","8"
"147","16","SANTA BARBARA","1","USAQUEN","5.97","51582","458.698.320.974","51474","112.217.546.144","425.192","430.156","3,12","1.867.529","93,6","0","0","11"
"148","16","SANTA BARBARA","1","USAQUEN","5.98","51582","458.698.320.974","51474","112.217.546.144","425.192","430.156","3,12","1.867.529","93,6","0","0","10"
"149","16","SANTA BARBARA","1","USAQUEN","5.18","51582","458.698.320.974","51474","112.217.546.144","425.192","430.156","3,12","1.867.529","93,6","0","0","3"
"150","14","USAQUEN","1","USAQUEN","5.75","34100","492.691.983.265","41634","8.450.310.014","425.192","430.156","3,12","1.867.529","93,6","0","0","3"
"151","14","USAQUEN","1","USAQUEN","3.12","34100","492.691.983.265","41634","8.450.310.014","425.192","430.156","3,12","1.867.529","93,6","0","0","8"
"152","14","USAQUEN","1","USAQUEN","4.55","34100","492.691.983.265","41634","8.450.310.014","425.192","430.156","3,12","1.867.529","93,6","0","0","7"
"153","14","USAQUEN","1","USAQUEN","5","34100","492.691.983.265","41634","8.450.310.014","425.192","430.156","3,12","1.867.529","93,6","0","0","8"
"154","14","USAQUEN","1","USAQUEN","2.87","34100","492.691.983.265","41634","8.450.310.014","425.192","430.156","3,12","1.867.529","93,6","0","0","3"
"155","14","USAQUEN","1","USAQUEN","4.6","34100","492.691.983.265","41634","8.450.310.014","425.192","430.156","3,12","1.867.529","93,6","0","0","3"
"156","14","USAQUEN","1","USAQUEN","6","34100","492.691.983.265","41634","8.450.310.014","425.192","430.156","3,12","1.867.529","93,6","0","0","1"
"157","14","USAQUEN","1","USAQUEN","","34100","492.691.983.265","41634","8.450.310.014","425.192","430.156","3,12","1.867.529","93,6","0","0","0"
"158","14","USAQUEN","1","USAQUEN","4","34100","492.691.983.265","41634","8.450.310.014","425.192","430.156","3,12","1.867.529","93,6","0","0","2"
"159","89","SAN ISIDRO - PATIOS","2","CHAPINERO","2.11","9415","11.301.823.434","16201","143.348.549.857","122.827","122.507","2,43","2.288.835","96,61","0","0","1"
"160","89","SAN ISIDRO - PATIOS","2","CHAPINERO","2.09","9415","11.301.823.434","16201","143.348.549.857","122.827","122.507","2,43","2.288.835","96,61","0","0","1"
"161","89","SAN ISIDRO - PATIOS","2","CHAPINERO","2","9415","11.301.823.434","16201","143.348.549.857","122.827","122.507","2,43","2.288.835","96,61","0","0","1"
"162","88","EL REFUGIO","2","CHAPINERO","6","29898","335.978.485.908","30763","915.624.103.635","122.827","122.507","2,43","2.288.835","96,61","0","0","1"
"163","97","CHICO LAGO","2","CHAPINERO","5","5899","422.447.428.769","26291","622.349.627.659","122.827","122.507","2,43","2.288.835","96,61","6","1","7"
"164","97","CHICO LAGO","2","CHAPINERO","6","5899","422.447.428.769","26291","622.349.627.659","122.827","122.507","2,43","2.288.835","96,61","6","1","5"
"165","97","CHICO LAGO","2","CHAPINERO","6","5899","422.447.428.769","26291","622.349.627.659","122.827","122.507","2,43","2.288.835","96,61","5","1","7"
"166","97","CHICO LAGO","2","CHAPINERO","5.75","5899","422.447.428.769","26291","622.349.627.659","122.827","122.507","2,43","2.288.835","96,61","2","1","6"
"167","21","LOS ANDES","12","BARRIOS UNIDOS","4.54","45172","274.816.645.782","46625","169.658.573.145","223.073","230.066","3,36","1.462.840","92,44","11","1","7"
"168","98","LOS ALCAZARES","12","BARRIOS UNIDOS","4","80118","414.026.997.622","82086","198.262.433.299","223.073","230.066","3,36","1.462.840","92,44","13","1","14"
"169","21","LOS ANDES","12","BARRIOS UNIDOS","3.35","45172","274.816.645.782","46625","169.658.573.145","223.073","230.066","3,36","1.462.840","92,44","11","1","6"
"170","21","LOS ANDES","12","BARRIOS UNIDOS","4","45172","274.816.645.782","46625","169.658.573.145","223.073","230.066","3,36","1.462.840","92,44","11","1","4"
"171","21","LOS ANDES","12","BARRIOS UNIDOS","3","45172","274.816.645.782","46625","169.658.573.145","223.073","230.066","3,36","1.462.840","92,44","10","1","2"
"172","21","LOS ANDES","12","BARRIOS UNIDOS","3.92","45172","274.816.645.782","46625","169.658.573.145","223.073","230.066","3,36","1.462.840","92,44","9","1","3"
"173","22","DOCE DE OCTUBRE","12","BARRIOS UNIDOS","3.04","94134","336.255.107.979","98583","293.179.189.433","223.073","230.066","3,36","1.462.840","92,44","10","1","5"
"174","22","DOCE DE OCTUBRE","12","BARRIOS UNIDOS","3","94134","336.255.107.979","98583","293.179.189.433","223.073","230.066","3,36","1.462.840","92,44","4","1","0"
"175","22","DOCE DE OCTUBRE","12","BARRIOS UNIDOS","3.14","94134","336.255.107.979","98583","293.179.189.433","223.073","230.066","3,36","1.462.840","92,44","3","1","4"
